author,author_rating,body,real_rating
A**** Y***** - Eskişehir,4,"Laptop tolere edebilebilir bir sürede elime ulaştı. Tüm özelliklerini ayrı ayrı bir orta segment laptop klasmanında değerlendireceğim. Ekran 5/5 Full HD olması bu segmentte zaten olmazsa olmaz. IPS ekran da yanına eklenince ayna gibi güzel bir görüntü sunuyor. Klavye 5/5 Tuşların dokunuşları yumuşak Yerleri uygun. Num-pad de var. Caps-Num tuş ışıkları yok, olmasada olur tabiki. Klavyede 2 modda (yüksek ve orta ) beyaz bir ışık açma tuşunuz mevcut. Touchpad Çok kullanmadığımdan kıyaslayamayacağım ama. Fonksiyonu yüksek. Dokunuşu da fena değil Tasarım 4/5 gri metalik tonları ayrı bir güzellik katımış.İnce bir kasa tasarımı var. Hoparlörün olduğu yerde bir kavis var. Ekran çerçevesi siyah. Dış görünüş olarak detaylı ve hoş Fan/Isınma 3/5 Fan hava delikleri laptopun altında. Laptoğun alt orta-orta ve alt orta-üstü diğer yerlere göre fazla sıcak. Soğutma yeteri kadar kaliteli değil diye düşünüyorum. Bu bir kronik ve iç tasarım sorunu. Gereksiz yerde, bilgisayardan performans beklemeyeceğin bir anda fan çalışmaya başlıyor. Klavye üzerinde ise bu sıcaklığı hissedebiliyorsun. CPU 'yu zorladığında ise bu ileride bir daha da ısınma sorunlarına yol açabilir diye düşünüyorum. Sıcak havanın tahliyesi ve soğuması genel olarak orta düşük kalitede. Hoparlör 4.5/5 İdeal. maksimum ses şiddeti iyi seviyede. Girişler Bağlantı 4/5 Pek fazla giriş bulunmuyor. Çoklu bağlantılar için Portlar alınabilir Pil 4/5 Daha tam olarak sınırları zorlamadım ama şarj etme süresi kısa, dayanımı ideal Ram internet tarayıcısının bile %40larda bir kullanımı olduğundan, kişisel kullanımınıza bağlı olarak bi 8lik daha eklenebilir. 1 port boşta İşlemci 2020'de son nesil, klasmanında gayet iyi, hızlı. 14nm Harici Ekran kartı: Orta segment, GTA V 'nin 50 fps de oynandığı videolar var. İş görür Disk 5/5 SSD ayrı bir hız katıyor. HDD de biz kağnı sürüyormuşuz. 512GB pek iyi Genel anlamda multimedya için yüksek oyun için orta ,mühendislik için orta, ofis için orta-yüksek diyebilirim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A**** Y***** - Eskişehir,3,"Bir miktar kullandıktan sonra yorumuma ilave bir şeyler eklemek istiyorum. Bir puan daha düşürdüm. Bu düşürüşüm aşağıdaki gözlemlerime dayalıdır. 1) Soğutma ile alaklı makinede herhangi bir tasarım bulunmamakta. Fan delikleri bilgisayarın alt tarafında yer alıyor. Ve bilgisayar tabandan yalnızca birkaç milim yukarıda bu da herhangi bir performans gerektiren bir kullanımda inanilmaz derecede ısınmasına sebep oluyor. Oyunlarda bilgisayarın bir süre ısındıktan sonra takılmaya başladığı gözlemlenebiliyor.(GTA V-Normal Grafik Ayarları- 40-50 fps) 2) Fan sesi yüksek. bazen makine olmadık yere kendiliğinden max performansta çalışmaya başlıyor bu da fanları devreye sokuyor. 3) Bu belki de puan düşürmemdeki en önemli madde bu. PİL Sanıldığı kadar iyi değil. 2-2.30 saat ya dayanıyor ya dayanmıyor yalnızca internet tarayıcısını kullanıldığı bir koşulda dahi. Aslında ileri bir performans vadeden bir bilgisayar olmadığını, medya bilgisayarı olduğunu HP zaten dile getiriyor. Ama bu biraz çelişkiye götürüyor madem ileri performans düzeyinde kullanılmayacak niçin son nesil bir işlemci var ve orta segment de olsa bir ekran kartı var. Yalnızca multimedya kullanımının olağandışı uç koşullarında işe yarayacak özellikler gibiler. Esasen ben hala memnunum. Yalnızca beklentiyi bu türkiye-dolar-kur-pandemi şartlarına uyarlamak gerekiyor.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
S**** Y**** - İstanbul,5,"1- IPS EKRAN: Forumlarda cihazın IPS ekran olmadığını söyleyenler, hatta 'cihaz ips ekran değil diye iade ettim' diyenler olmuş. El insaf ya, ayıptır. Cihaz Fhd Ips ekran, kutusunda da ips ibaresi bulunmakta. 2- 10. Nesil i5 sistem, 516 gb SSD ve MX330 ekran kartıyla birlikte geldi ki bu bileşenler gündemdeki oyunlar/programlar için gayet yeterli. 3- Fan Sesi: Evet cihazda bariz bir fan sesi var fakat bu ses cihazı çalıştırdığınız andan itibaren kapanana kadar gelmemekte. Bilgisayarı zorladığınız zamanlarda duyulabiliyor ki bu durum gayet doğal. Benim bu konuda hassasiyetim var diyorsanız almayın. 4- Materyal/Kasa: Kasada kullanılan materyale dair korkum vardı, plastik yazanlar olmuş. Yani hayret ediyorum nasıl plastik yazabildiniz. Kesinlikle plastik değil, metal bir materyal kullanılmış ve gayet kaliteli bir hissiyat veriyor. Bulletproof çelikten bir kasa arıyorsanız 1.7kg hafiflikten feragat edeceksiniz. 5- Klavye Aydınlatması: Özelliklerde belirtilmemiş fakat ışıklı klavyeye sahip. Işığı 3 kademede (kapalı, yarı açık, full açık) manuel olarak ayarlayabiliyorsunuz. Klavyeyi bir süre kullanmayınca (takriben 1.5-2 dk) ışık sönmekte, klavyeyi kullanmaya baslayınca yeniden yanmakta. Bu aydınlatıcı özelliği bilgisayarı olduğundan daha kaliteli/havalı gösteriyor. 7-Ses Sistemi: Bir önceki laptopumda hoparlör kasanın altındaydı. Tam bir faciaydı, asla ses alamıyordum bilgisayardan ve sürekli kulaklık takarak işimi görüyordum. Şimdi ise sesi duyamamayı bırakın, komşular rahatsız olmasın diye sesi kısıyorum. Çok iyi bir hoparlörü var. Beklentimin çok ötesinde diyebilirim. 8- Tasarım: Çok şık bir cihaz. Ekran çerçevesi çok ince. Fhd ips de işin içine girince 3d hissiyatı veriyor. -Cihaz hem bir oyun pcsi hem de değil. 'Ben bu pcyi işim gereği alacağım, arada da 2-3 saat oyun oynarım' derseniz doğru yerdesiniz. 'Ben profesyonel oyuncuyum, 7/24 oyun oynarım,' derseniz önermiyorum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Mert A******* - İstanbul,5,"Mükemmel bir cihaz. Bilgisayar Mühendisliği öğrencisi olarak değerlendirme yapayım. Android Studio, Eclipse gibi yazılım geliştirme araçlarını süper hızlı çalıştırıyor ve aşırı rahat. Gta 5 720 ayarlarda 80-85 fps, 1080 ayarlarda 50-60 fps değerlerinde. Ses kalitesini beğendim, Pavilionları aratmıyor. Basları gayet yerinde. IPS ekran kalitesi gözle görülür derecede iyi. Cam gibi ekranı var cidden. Açıklamada yazmıyor fakat klavye ışıklı ve oldukça şık. Performanstan yana çok memnunum. Tek sıkıntı fan çıkışlarının altta olması. Bir laptop soğutucu ile çözülebilir. Gayet güzel ve keyifli bir ürün. Not : Bilgisayarı kurunca sadece güncelleştirme yapın ilk, driver booster falan bazı parçaları çalıştırmıyor. Windows keni kendine güncellemesini yapsın ve keyfinize bakın derim..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
H************ C***** - İstanbul,4,"Mühendis öğrenciler için on numara bu arada resimdeki gibi beyaz değil metalik gri dir bilgisayar arada bir durduk yere fan costuğuna dair yorum yapmış arkadaşlar ben 3 hafta önce aldım ve bu sesi yakından takip ettim kafasına göre çalışmıyor bu fan eğer turbo boostu açar ve işlemci bazlı bir uygulama çalıştırırsaniz yaklaşık 3ghz de işlemci bu fanları hızlandırıyor daha serin çalışması için ben yakından takip ettim yani kronik bir hata değil normal kullanımda okadar sessizki ekranı gormesem açık olduğunu fark etmem tasarımdan ödün vermemek için fanları aşağıda işlemci tam yükte 30° havada(havanın etkisi çok büyüktür) 65-70° civarında çalisiyor yani gayet iyi soğutuyor 1 yıldızı şunun için kırdım masaüstü ağırlıklı fakat taşıması gerektiğinde tasinabilicek bilgisayar arayıp bunu alanlar için bataryasını çıkarması tam bir işkence birde soketli batarya yani kablosunu çıkardığım içinde dursun batarya olmuyor ya bataryayi komple sokucen laptoptan yada tam takılı kullanican birde pili çıkartmak için alt kapağı tamamen açman gerek 8 vidayı sökerek uğraş babam uğraş ne vardı dışarı koyaydiniz bataryayı ne güzel 😂 bu fiyata değerDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
AHMET Ş***** - Mersin,4,"Güzel Klavye aydınlatmalı şık gösteriyor Ses çift hoparlör sayesinde yeterli Ekran kartı GTA V oyununu kasmadan oynatıyor Harici ekran kartı olduğu için işlemciyi fazla yormuyor Ekran full hd SSD harddisk baya hızlı Sorun yok gönül rahatlığı ile alınabilirDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Z***** A*** - Balıkesir,5,"olumlu yanlar ses kalitesi baya iyi ips ekran çok fark etmez sanmıştım ama baya laptopun kalitesini artırmış klavye ışıkları laptopu daha güzel yapıyor ağırlığı çok iyi baya hafif geldi bana laptop çok ince ve zarif duruyor ve ssd sayesinde baya hızlı olumsuz yanlar oyun indirmememe rağmen fan sesi olur olmadık yerde çalışıyor ve biraz fazla ısınıyor ama müthiş bir fan sesi yok bence almanız için engel değil genel olarak çok güzel bir laptop almanızı tavsiye ederim çok uzun araştırmalar sonucu bunu seçtim boşuna uğraşmayın derimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Erhan E*** (33) - İstanbul,4,"Artıları: Ips full hd ekran, hafif kasa, klavye aydınlatması var (özelliklerinde yazmıyor, gelince fark ettik), renk-tasarım olarak şık bir bilgisayar, iş-ev kullanımı için donanım oldukça başarılı. Intel işlemci, intel ssd ve samsung ram benchmark skorları testte bayağı yüksek çıkıyor. Uzun yıllar yük taşıyacak, video oynatma kalitesi ve seyir zevki yüksek bir laptop. Eksileri: Fan sesi yüksek, orta seviye işlemci yükünde bile fan son devirde dönmeye başlayıp gürültü yapıyor, fan çıkışı ekran menteşesine bakıyor, oyun oynamak isterseniz aşırı ısınma problemi yaşıyor. İyi bir soğutma dizaynı-donanımı yok. Orta-düşük ayarlarda arada oyun oynarım derseniz almayın. Hepsiburada'dan hp kdv indirimi kampanyasıyla sipariş ettim, bir gün sonra (arife günü) teslim edildi. Teşekkürler.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
RAŞİT Ç**** (38) - İstanbul,5,"Sizde benim gibi “önce ne istediğinizi belirleyin” diye başlayan öğütleri okuyup “İnternet için mi alsam yok oyun için mi alsam acaba düşük bişey alsam sonra oyun oynamak istersem nerelere gider ne yaparım korkusuyla bir türlü bişeye karar veremeyen kısıtlı bilgiye haiz birisi iseniz rahatlıkla alıp dert ve korkularınızı sonlandırabilirsiniz Ayrıca ips ekran olmadığını iddia edenler için ürünün kutusunu paylaşıyorum. Kutusunda ıps ekran olduğu açıkça yazıyorDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A************ K**** (23) - Gaziantep,5,"Görselden çok daha güzel ince çerçeveli bir laptop öyle denildiği gibi aşırı ısınması yok. İşlemci ve ekran kartı son nesil teknolojiye sahip eski HP müşterisi olanlar varsa almadan arayıp 480 TL sini geri hpden bazı prosedürler karşılığında alabiliyorlar. Laptop sessiz çalışıyor çoklu uygulama ve oyunlarda fan sesi geliyor buda çok normal. Tek sorun şarj biraz hızlı boşalıyor başkada ekşi bir yanı yok. Şuan piyasada muadilleri 5500 TL bandiydayken 4600 TL'ye böyle bir laptop aldım ki 480 tl si eski HP kullanıcısı olduğum için iade edilecek bana 4120 TL'ye gelmiş oluyor bu fiayata kaçmaz.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
