author,author_rating,body,real_rating
AHMET A**** - Batman,5,"Ürünle ilgili yorumlarımı 3 haftalık deneyimlerim sonucunda yazıyorum. Öncelikle ürünün malzeme kalitesi gayet güzel. Ancak neredeyse bütün bilgisayarlar gibi parmak izi kalıyor. İşlemci ryzen 7 3750h gayet hızlı ve güçlü bir işlemci. Gtx 1650 ekran kartının bu dönemde çalıştırmayacağı oyun yok. Çoğu oyunu high veya ultra ayarlarda oynayabiliyorsunuz. 4+4 toplamda 8 gb ram var. Şimdilik yeterli. Arttırmak şu an için gecerli değil. Ancak ileride yükseltme yapılabilir. 128 gb m2 ssd'ye işletim sistemini kurduğunuzda bilgisayarın performansını tam anlamıyla hissedebiliyorsunuz. HDD'yi ise oyunlarınız vs depolama için kullanabilirsiniz. Ips paneli geyet güzel ve renkler canlı. Hoparlör konusunda kullanadıkları bang ve olufsen markası kaliteli bir marka. Klavye ve mouse pad kullanımı gayet güzel ve kaliteli. Ekran çerçeve oranı gayet güzel. Çerçevelere gözü rahatsız etmiyor. Bence bilgisayarın iki tane eksik noktası ssd'nin 128 gb olması ve ramların 4+4 olması. Ancak bunlar sonradan yapılacak eklemelerle arttırılabilir. Laptopda önemli olan ekran kartı işlemci ve paneldir. Bu üç konuda da bu bilgisayar iyi bir seviyede. Youtube da modeli yazdığınız takdirde inceleme videoları bulabilirsiniz. Almayı düşünenlere gönül rahatlığıyla tavsiye ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
sammert ö****** (30) - Ankara,5,"arkadaslar ürün 27.03 de alime ulaştı 26 sı saat 3 de almıstım bu yoğunlukta güzel bir hizmet. Ürünü biraz kullandıktan sonra yazmak istedim. 1- 13 senedir hp laptop kullanıcısıyım müşteri hiz. hiç sorun yaşamadım.. (hatta 2010 yılında dv6 model pc 0 olarak değişim sağlandı) 2- Kullanım sürem boyunca herangibi bir ısınma problemi yaşamadım. (sony vegas proda rander alırken fan sesi yükseliyor- pubg yüksek ayarlarda oynarkende aynı şekilde yükseliyor ancak ısı 60 dereceyi geçmiyor.) 3- Ram kullanımı konusunda şu an için bana yeterli bir sıkıntı yaşamadım ancak 1-2 sene sonra yükseltmeyi düşünebilirim. 4- İşlemci + ekran kartı uyumu gayet iyi . 5- ssd 128 gb windows u o bölüme kurdum vede pubg orda alan olarak az ama bana şu anlık yetiyor ilerde yükseltmeyi düşünebilirim.geri kalan herşey 1 tb lık bölümde (size kalmış) 6- ekranın arka kısmı dayanıksız çizilmeye cok uygun bende şu anda bir adet çizik var nasıl oldu anlamadım. 7- Klavyesi yeşil ışıklı 3 adet ayarı var kapalı parlak ve orta , tuş hissi gayet iyi. 8- Fiyat performans açısından alınabilecek bir pc. düşük olan bütün herşey değiştirilebilir ilerde ram ve harddisk. önemli olan laptop larda işlemci ve ekran kartı çünkü onlar değişmiyor. 9- Kurulumları düzgün yaparsanız bir problem yaşamazsınız. Hp ekibinden kolayca yardım alabilirsiniz. 10- Kesinlikle tavsiye ederim 3 günlük süreçte memnun kaldım.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Muhammed A***** (34) - İstanbul,5,"Cihazı hepsiburadadan indirimde 5 bin liraya aldım. Cihaz gerçekten indirimdeki fiyatına göre üst seviye bir performans sergiledi. En zorlu oyunları ultra ayarlarda oynadım. Isınma, donma, kasılma vs gibi hiç bir negatif sorunla karşılaşmadım. 1650 ekran kartı ve ryzen 7 cidden mükemmel çalışıyor. Ram bence yeterli ama istenirse artırılır. Benim kullandığım video ve ses edit programlarını vs hiç zorlanmadan çalıştırıyor. Çoğu zaman fana gerek bile duymadı. Ekranı ise çok güzel renkleri canlı. Ses performansı ise, hoparlör aksamını hp bang&olufsen markasına yaptırmış. Bu markanın hoparlör kalitesini anlamak için Googlea yazın ve fiyatlarına bir bakın. Ses kalitesi cidden muazzam Şarjı uzun süre gidiyor. Kesinlikle tavsiye ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
o*** k******* (29) - İstanbul,5,"Öncelikle ürünü indirimden Hepsiburadadan temin ettim. Uzun süre araştırma yapıp bu ürünü almaya karar verdim bunun en büyük nedeni Ryzen 7 işlemcinin sadece bugün için değil önümüzdeki birkaç sene de güncelleme ve iyileştirmeler alacağını bilmemdir. Şu anki haliyle dahi son derece güçlü ve ısınma sorunları olmayan stabil bir işlemci. Ekran kartı tarafında GTX1650 çok başarılı bir ekran kartı. Oyunlarda ve yüksek grafik işlemleri gerektiren durumlarda performansı fazlasıyla tatmin ediyor. Cihazın birçok kişi tarafından eksik görülebilecek yanı 8gb RAM ve SSD kapasitesinin 128gb oluşu. Fakat HP Kurumsal ve HP Teknik ile satın alma öncesi yaptığım görüşmede RAM ve SSD değişiminin "siz cihazı açtığınızda donanımlara zarar verilmediği sürece garanti kapsamını bozmamaktadır" bilgisi olmuştur. Bir laptop için en önemli ve değiştirilemeyen 3 komponent bulunmakta ve satın alırken bunları önemsemeniz gerekmekte. İşlemci, ekran kartı ve monitör. Bu cihazda 1080p 60Hz Mat IPS panel bulunuyor. Görüntü kalitesi gerçekten çok başarılı. 60Hz üzeri olsa tabiki çok daha iyi olur ama eklenecek her üst donanım fiyatıda yukarı çekiyor. Son olarak cihaz görsel olarak çok kibar. Daha önce kullandığım cihazlardan çok daha taşınabilir yapıya sahip ve malzeme kalitesi tatmin edici. Bir Gaming laptop için özellikle soğutma çok önemlidir. Cihazı yükte test ettiğimde maksimum 75-77 dereceleri gördü, fakat standart Moba ve Fps oyunlarında 70 derecenin altında çalışmakta. Boşta ise maksimum 50 derecelerde. Umarım almak isteyen ve maddi durumu yeterli olan herkese faydalı olmuştur, döviz kurlarının bu kadar yüksek olduğu bu dönemde ne yazıkki bu fiyat bandındaki cihazları normal karşılamak zorundayız. İhtiyacı olan ve düşünenlere gönül rahatlığı ile tavsiye ederim. NOT: Freedos terimini herkes bilmek zorunda değil, belirtmekte fayda var, cihaz windows işletim sistemi kurulu gelmiyor, bu durum hemen hemen tüm oyuncu bilgisayarları için geçerlidir eksiklik olarak görmeyiniz. Sağlıklı günler..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Rahim A*** (33) - Konya,5,"Hepsiburada ya teşekkürler öncelikle süper bir fiyata aldım kampanyası ilaç gibi geldi Makine süper Ekranı daha parlak bekliyordum ama yinede çok çok iyi İşlemci mükemmel Ekran kartı mükemmel Depolama kısmı evet sıkıntılı ssd çok düşük hdd ise yavaş kalıyor ama bunlar sürekli değişebilecek parçalar çok önemsemedim RAM kısmı da evet pubg oynarken ara ara drop giriyor RAM dan kaynaklandığını düşünüyorum az geliyor 8 GB bazı oyunlarda Win 10 kurduktan sonra son sürümede güncellemeyi unutmayın bazı driverları son güncellemeden sonra yüklüyor Garanti süresi 7 ay önceden başlamış görünüyor sitesinde neden bilmiyorum merak ettim ama üstünde durmadım Ekranda herhangi bir ışık kaçağı şu bu yok ıps mükemmel Ben muhasebeciyim büroda kullanmak için aldım klavyesi o kadar güzel akıcı ki rahatlıkla ofis için alınabilir Klavye tek renk yeşil ama kapalı hariç 2 farklı parlaklık ayarı var klavyeden fn tuşu İle yapılıyor Touchpad kullanımı süper Sese gelirsek bence çok güzel driverlar kurulduktan sonra bo diye birşeyde yüklüyor ve ses çok tatmin edici hatta yüksek ve güzel bence Isınmasına gelirsek bir kaç saat pubg sonrası bi ses duyup rahatsız olmadım ama malum karantinadayız geçen evde çalışırken hanım niye çok sesli bu laptop dedi şaşırdım ben farkına varmadım halbuki ama ısınınca sesi yükselebiliyor demek ki USB yetersiz evet Hafifliği çok güzel Bataryası 1.5 saat pubg oynattı internete bağlı çalışırkende 5 saati buldu Şarjı çok hızlı şarj cihazı güzel kibar Laptop Hafif kaba değil kibar görünüşlü Ekranı açıp kapatırken sağlamlık olgusundan şüphe duyuyorum çok güven vermiyor sanki bozulup kendi kendine açılıp kapanacak gibi geliyor :) Benim aldığım fiyata bulunmaz bir makineydi tavsiye ediyorumDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
B***** K**** - İstanbul,5,"Ürünü 2020 Mart ayında satın aldım. Muadili ürünlere göre oldukça avantajlıydı. Ayrıca eski bir HP bilgisayarı olanlara HPnin bir kampanyası da vardı. Fiyat/Performans açısından tavsiye edeceğim bir ürün kesinlikle. İhtiyaçlarınızı karşılayan donanım ise tereddüt etmeyin. + Boyutu ve ağırlığı gayet iyi. Ekran ve klavye çerçevesi neredeyse yok böylelikle hem hoş bir görüntü var hem yer avantajı var. + Donanımı orta ve orta üzeri seviye kullanıcı için fazlasıyla yeterli. Gayet yeterli seviyede birçok oyun oynanabilir. Donanım ortada, ondan alabileceğiniz verimi alıyorsunuz. Performansı başarılı +Yüksek performansta ısınsa da aşırı bir ısınma değil. Ne yazık ki çok yüksek gereksinim duyan oyunlar hemen hemen her laptopu ısıtıyor çok ekstra bir cihazınız yoksa. Ondan daha fazla değil. +Yüksek performansta oynasanız ve ısınmaya başlasa da oynanabilirlik düşmüyor. Takılmalar yaşanmıyor. - 8GB RAM olması ve bunun yaklaşık 2GB kadarını sürekli AMDnin kullanması bir dezavantaj. Bu 8GB RAM isteyen oyunlarda bana bir sıkıntı yaratmadı. Ancak Intel işlemcilere göre bir eksi. - RAM ekletilebilir cihaza. Yalnız AMD işlemci çift slotlu ve 4GB 4GB RAM var cihazda. Daha iyi performans için 8GB 8GB ekletmeniz gerekecek. Yani 8in üzerine bir tane 8GB alayım şekli değil. Bu bir eksi. - Ben herhangi bir performans problemi yaşamasam da klavye konusunda şanssızlık yaşadım. Aldığım ilk hafta birbirinden bağımsız yerlerdeki 3-4 kadar tuş basmamaya başladı. Corona yüzünden evden çalışmam gerektiği için de henüz garantiye veremedim ama şikayet kaydı oluşturdum. Klavye hissiyatı ve tuşlar kötü değil ama neden kaynaklı bilmiyorum tuş arızaları yaşandı. Bozulan tuşların harflerden olmaması avantaj oldu.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Mehmet Tamer A******* (20) - Gaziantep,5,"Cihazı hepsiburada.com dan aldım ve 3 gün içinde elime ulaştı ürün fiyatına göre çok güzel özellikler sunuyor ısınma sorunu yok başka firmaların bilgisayarlarıda iyi olabilir ama hp kalitesi bambaşka piyasada bulunan mons... bilgisayarlarda birsürü sorun yaşamıştım klavye yazıları bile siliniyordu. Ama bu bilgisayarda hiçbir sorun yok Ürünün tek kötü yanı rgb klavye sevenler almayabilir ama hpnin klavyesinin ışığı gayet iyi onun dışında ekran 60 hz o da gayet normal fiyatına göre başka bir şeyi yok laptopun hoporlörleri muazzam muhteşem bir sesi var ztn b&o firmasını bilen bilir. Alacak arkadaş kafasında soru işareti kalmadan direk alabilir ısınma sorunu felan hiçbirşeyi yok. Normalde yazı yazmayı sevmem cihazı çok sevdiğim için bu kadar yazı yazdım artık siz düşünün. League of legends ta 130-200 fps arası alıyorum muazzam bir rakam.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
k**** b********* (29) - Ankara,5,"başta ürünü alırken bazı korkularım vardı. Isınma, donma, malzeme kalitesi vs hakkında, Ancak ürünün malzeme kalitesi beklentimin üzerinde çıktı. Şunu söyleyebilirim ki cihaz normal kullanımda oldukça serin çalışıyor hatta fanlar çalışmıyor. her türlü işler rahatlıkla yapılabiliyor. Performans moduna alıp oyuna girdiğiniz de ise tam bir hız canavarına dönüşüyor. O kadar zorlamama rağmen fanları %75 seviyesinden yukarı çıkaramadım zaten dediğim gibi cihaz oldukça serin çalışmakta. Performansı çok iyi, özellikle güncel sürücüler kurulduğunda bunu anlıyorsunuz. Ekran kartları çok güzel uyumda çalışıyorlar. Ekran kalitesini ise beğendim yansıma yapmıyor ve mat ekran görüntü kalitesi iyi, renkler ise doygun Beni tedirgin eden tek nokta şarj soketinin girdiği yer çabuk yıpranmaya müsait dikkatli kullanmak gerek. şu tarih itibariyle 4999 TL ye alınabilecek en iyi bilgisayar diyebilirimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Doğukan K*** - Kars,5,".Gerçekten fiyat performans ürünü. .Ben sadece şarjından memnun kalmadım yazılımsal bişey olabilir veya sadece bende olan bişey olabilir bu yüzden puan kıramam. .Tavsiyem ekran kartı güncellemesini nvdia'nın kendi sitesinden indirip kurun sistem 1-2 önceki sürümü kuruyor çünkü. .laptop bana geldiğinde ve w10 kurduğumda wi-fi sürücüsünü görmedi ve sorunu hp'nin kendi sitesinden sürücüyü indirip kendim kurdum. Yani kısacası bir sıkıntısı ederi kokardı yok arkadaşlar gönül rahatlığıyla alabilirsiniz..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
furkan a***** - Bursa,4,"Ürünün freedos olması biraz üzücü ama genel olarak iyi ürün tasarım ve oyun açısından çok iyi kargo biraz daha hızlı olabilirdi istanbuldan bursaya gelmesi 13 gün sürdüDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
