author,author_rating,body,real_rating
e***** g****,5,"Arkadaşlar Öncelikle Şunu Demek Istiyorum. Bu Notebook Ders Için Alacaklar Alsın Bir Arkadaş Yorumunda Oyun İçin Alabilirsiniz Demiş Gerçekten Anlamıyorum. İşlemcisi En Kötü İşlemci 2 Gb Ram Ve 32 Gb İle Googleden Bile Oyun Zor Oynarsınız Zaten Ekran Kartı Bile Yok Sadece İşlemciyle Çalışıyor Yani Uzun Lafın Kısası Ders Ve Medya İçın Alabilirsiniz Oyun İçin Almayı Aklınızdan Bile Geçirmeyin Ve Gözünüzü Seveyim Oyun İçin Alınır Diyenlere Kanmayın",4
K**** G***** (21) - Ankara,5,"Ürün fiyatına göre iyi işlev yapıyo içerisindeki işlemci z3735f değildi fakat içinde daha güçlü bi işlemci vardı modelide intel atom bay trail Z8350 QuadCore vardı. Yani daha iyi bi işlemci çıktı. Ben pc de denemek için devre çizim programı olan protheus 8.6 yı yükledim. Çalıştırdı. Sadece yeni proje açarken zorlanıyo ama açıldıktan sonra hiç takılmıyo bence fiyata göre alınabilir bi cihaz ama iki sıkıntısı var biri hoparlörleri kötü onuda bluetooth kulaklık ile kullanınca sorun kalmıyo ikinciside hafızası onu 64 gb lik bi sd kart ile çözebilirsiniz. Kısacası cihazdan memnunumDeğerlendirme sahibi bu ürünü metehan ticaret satıcısından aldı.",4
Erkan A******* (32) - Rize,4,"ürün aslında fiyatıyla mukaise edersek fena degil. Herseyi yapiyor.Hiz falan beklentisine girmek bu fiyata gore yersiz.Ancak ben urunu geri verecegim cunku sarj almiyor.Saatlerdir sarjda ama yok. Benim sanssizligim iade edecegim.Ama diger turlu bu sorunu kenara birakirsak alinabilir diyebiliriz.Değerlendirme sahibi bu ürünü nidaelektronik satıcısından aldı.",4
U*** S***** (36) - İstanbul,5,"3 gündür kullanıyorum. çok başarılı. hiç takılma durma vs söz konusu değil. Oyun oynamayacaksınız gözünüz kapalı alın. Temel tüm ihtiyaçlarınızı fazlasıyla karşılar.Değerlendirme sahibi bu ürünü nidaelektronik satıcısından aldı.",4
tuğrul g***** (7) - Erzurum,5,"Ürün gayet güzel. Ev kullanımı için ideal bir ürün tavsiye ederim.Değerlendirme sahibi bu ürünü nidaelektronik satıcısından aldı.",4
d**** d**** - Tunceli,5,"ürün fiyat performans değerlendirmesine göre çok iyi.Eğer çok fazla beklentiniz yoksa oyun oynamak gibi bu bilgisayarı almanızı tavsiye ederim.Ayrıca hızlı bir elime ulaştı.Değerlendirme sahibi bu ürünü nidaelektronik satıcısından aldı.",4
C**** S**** - Tekirdağ,4,"Bugün elime geçti fiyatına göre iyi bir ürün oyun için değil ama diğer ihtiyaçlarınızı karşılar hafızası az onuda hafıza kartıyla arttırabilirsinizDeğerlendirme sahibi bu ürünü alfabilgisayar satıcısından aldı.",4
H**** B****** - Malatya,5,"Fiyatina gore cok cok cok iyi!Değerlendirme sahibi bu ürünü tuanapark satıcısından aldı.",4
salih m**** (43) - İzmir,1,"Ürün internetsiz kullanımda dondu ve ekranın yarısına yakını karardı... Açıp kapatınca düzeldi... Daha detaylı temizlik için cihazı sıfırlama işlemini yapmak istedim... Fakat bu sefer de sıfırlama işlemi esnasında takılı kaldı... Ve kesinlikle ilerleyemedim... Hatta cihazı kapatmayı bile başaramadım... Takılı vaziyette şarjının bitmesi için bırakmak zorunda kaldım... Belki farklı çözümler vardı ama ben bu kadarını yapabildim... Anladığım kadarıyla bu cihazların arasında az miktarda sorun çıkarmayacak ürün var... Sadece çocuklarımın eğitim platformalında kullanmaları için almıştım ama malesef nasip olmadı... Ama bilgisayarın görünümü ve fiyatı mükkemel... Sorunsuz kullanabilmeyi çok isterdim...Değerlendirme sahibi bu ürünü demirciaga satıcısından aldı.",4
murat b**** (41) - İzmir,5,"bilgisayar bir kere açıldı . bir sorunla karşılaşıldı dedi. ekran dondu.sonra ekran hiç açılmadı bende geri gönderdim.Değerlendirme sahibi bu ürünü demirciaga satıcısından aldı.",4
