author,author_rating,body,real_rating
Ece G**** (20) - Edirne,5,"Öncelikle kargo çok hızlı 1 günde elime ulaştı.Teknik özelliklerinin iyiliği tartışılamaz zaten oraları geçiyorum.Oyun oynamak amaçlı değil de günlük işlerinizi halletmek için alın.Yine de birçok oyunu sorunsuz şekilde kaldırabilecek bir bilgisayar.Windows zaten yüklü geliyor bilgisayarı açıp hemen kullanmaya başlayabiliyorsunuz.Dış tasarımını beğenmeyenler olmuş bence gayet güzel bakınca hiç bilgisayar gibi bile durmuyor dosya gibi duruyor gayet sade.Bunun yanında hafif de.Görüntü kalitesi çok güzel.Şarjı 3 buçuk 4 saat gidiyor ve tam şarj dolumu da 2 saat civarı.Hoparlör konusunda şikayet olmuş ama bence dizüstü bilgisayar için gayet iyi ses kalitesi var ve sesiniz karşıya gidiyor.Kamerası pek iyi diyemeyeceğim ben beğenmedim ama yine de işimi görüyor.Sevmediğim bir diğer yanı da klavyesinin ışıklarının olmaması bunların dışında eksik hiçbir özelliği yok bu fiyata alabileceğinizin en iyisi.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
F***** D****** (23) - Ankara,4,"Ürününün özellikleri piyasa fiyatlarına göre gayet kabul edilebilir. Bu fiyat segmentinde alınabilecek en iyi bilgisayar bu diye düşünüyorum. Görünüm olarak çok sade ve eski bir kasası var gibi duruyor. Bir notebook için ağır sayılabilir çok hafif bir şey değil. 2.5 kilo civarında bir bilgisayar. Paylaşımcı ekran kartı var bu yüzden oyun oynamayı planlayanları biraz üzebilir eğer oyun oynamak istiyorlarsa direk ayrı ekran kartı olan bir bilgisayar baksınlar. Ama ev okul iş kullanımı için gayet yeterli ve iyi bir bilgisayar. Zaten günümüz bilgisayar fiyatlarında şunu daha iyi olsun bunu daha iyi olsun derseniz en az 7000-8000 lira segmentinde bilgisayarlara bakmanız lazım. O yüzden gayet cüzdan dostu bir bilgisayar. Herkese önerebilirimDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Orhan O*** - İstanbul,4,"Ürün kaliteli hızlı kullanışlı malzeme kalitesi iyi kamerası beklediğim kalitede değil fiyatına göre kaliteli ürün tavsiye ederimDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
M****** Y****** (4) - İstanbul,4,"Ürün 3 günde elime ulaştı. Sistem kurulu bir şekilde geldiği için ekstra uğraşmıyorsunuz ve sistem kurulumu icin para ödemiyorsunuz. Ekran çözünürlüğü cok güzel, hızı çok Iyi, 513 ssd olmasi da eksra güzel. 10 saniyede falan açılıyor. Sarji ortalama 3 4 saat gidiyor. Olumsuz yanları ise kullanılan malzeme plastik olması eksi yönü, ayrica sesi cok ama çok az çıkıyor. Açıkçası benim aldığım öç mi böyle yoksa geneli mi emin olamadım. Telefondan bile daha fazla ses çıkıyor. Hoparlör benim için hayal kırıklığı oldu. Ama bu fiyatlara alınacak iyi pc lerden birisi diyebilirim.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
s**** n** - İstanbul,5,"Yorumlarda mikrofon ve hoparlör ile ilgili olumsuz bildirimler okuduk satın aldıktan sonra. Malum uzaktan eğitim icin gerekli olduğu icin bunlar önemliydi. Ürünün mikrofon ve hoparlöründe sorun yok arkadaşlar. Biz okula yeni bilgisayarimizla başladık üstelik siparişimizin ertesi gün geldi, herkese sağlıklı gunlerDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
S**** C***** - Samsun,5,"Ürün 4 gün içinde bana ulaştı. Paketlemesi güzel ve özenliydi. Yaklaşık 3 haftadır kullanıyorum şu ana kadar karşılaştığım bir sorun olmadı. Denildiği gibi hızlı bir bilgisayar. Alırken hoparlöründen dolayı tereddüt etmiştim ama yorumların aksine sesi gayet iyi çıkıyor. Hafif bir bilgisayar. Fotoğraflarda açık gri duruyor ama rengi koyu gri zaten açıklamada da öyle yazıyor. Ben bir sıkıntısını görmedim umarım da görmeden severek kullanırım.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
B******** U**** (24) - İstanbul,4,"ürün açılmamış kutusuyla en hizli sekilde elime ulasti. O kadar hizli ki bugune kadar kullandiklarim bilgisayar degilmis diyorum. Windows10 yuklu gelmesi zaten cok buyuk bir arti bir iki guncellestirme yapiyorsunuz ve sonrasinda her sey hazir. Ayrica Cok hafif bir cihaz. Ogretmen oldugum icin uzaktan egitimde kullanacagim tek eksisi kulaklik olmadan ogrenciler sesimi duyamiyor ama ben zaten kulakliga aliskinim.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
h***** s******* - Erzurum,5,"günlük kullanım için aldım. gayet hızlı, hafif. sesi gayet normal geliyor yani diğer yorumlarda bahsedildiği kadar düşük gelmedi bana, kasası biraz hassas plastik olduğu için o kadar. kargo hızlı geldi, özenli paketlenmişti.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
A****** k***** - Tekirdağ,5,"gayet kullanisli hem oyun oynuyorsunuz hemde ev ve isde kullaniyorsunuz cihaz çok hizli acilmasi vs. 3-4 saniye suruyor windows 10 kurulu halde geliyor yeni nesil oyunlari oynayamazsiniz ama paladis GTA 5 gibi oyunları kaldiriyor benim su ana kadar gordugum eksileri sesi çok az cikiyor onuda kulaklik ve ses sistemi sayesinde cozebilirsiniz ve ekran kartı yok butceniz az ama hem oyun hemde is ev icin kullanacaksaniz bu urunu dusunmeden alabilirsinizDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
a*** K****** - Kocaeli,4,"ürün çok güzel. online eğitimde olan oğlum için aldım. ses seviyesi gayet iyi. neredeyse yorumlardan etkilenip almayacaktım.çok hafif. ürünü incelemem ile almam arasında geçen 5 dk içinde ürünün fiyatı arttı. tek sıkıntı bu. teslimat süper. 24 saat sürmeden geldi.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
e******* ç******* - Bilecik,4,"ürünün birkaç haftadır kullanıyorum. memnunum ancak hoparlör sesi bana az geldi aynı zamanda bilgisayarın kendisinde mikrofon çıkışı yok yani kulaklık takmadan sesli konuşmalar yapamadım.bir de görüntüler de hata var çünkü bilgisayar baya siyaha yakın koyu gri ona göre alınDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Ö*** Y**** (42) - İstanbul,5,"Gayet hızlı ve özellikleri iyi hem ev hemde iş amaçlı çok rahat kullanılabilir, hafif taşıması kolay, fiyat performans olarak makul, en önemlisi ürünün Windows olması,tek olumsuz yanı plastik dış kasası, tavsiye ederim.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Ö*** K**** (31) - Ordu,5,"birkaç ay önce aldığımız fiyatı görünce hala inanamıyorum. Performans olarak tatmin edici. Yonga setinde sıkıntı yaşamak istemiyorsanız tüm sürücüleri güncelleyiniz.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Berfe Faden K******* - Antalya,5,"Satın alalı neredeyse bir hafta oluyor ve şu ana kadar hiçbir sıkıntı yaşamadım. Okul için oldukça yeterli bir laptop. Sesin az geldiğine dair bir sıkıntısı da yok.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Efe Tuğberk Ö***** - Aydın,5,"Beklenenden çok önce geldi aras kargoya teşekkür ederiz. Fiyatı sürekli yükselen bir ürün kurla birlikte o yüzden almayı düşünen kısa süre içerisinde almalı firma güvenilir ve laptop da klas duruyor. Performansını zamanla göreceğiz.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Mustafa K**** - Ankara,4,"Üç günde elime ulaştı sorunsuz teslim aldım fakat rengi fotograflarda gözüktüğü gibi değil malzeme kalitesi bana biraz düşük geldi ama bi fiyattaki bir bilgisayar için oldukça iyi , Bilgisayar aşırı hızlı 10 saniyede açılıyor ekran kalitesi oldukça iyi tek eksiği ekran kartının olmaması ama yüksek performans isteyen oyunlar oynamıyorsaniz sorun olmayacaktir. Tavsiye ederim alabilirsinizDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
K*********** G**** (36) - Kastamonu,4,"Sistem kurulu bir şekilde geldiği için ekstra uğraşmıyorsunuz ve sistem kurulumu icin para ödemiyorsunuz. Ekran çözünürlüğü cok güzel, hızı çok Iyi, ssd olması sayesinde, Sarji ortalama 3 4 saat gidiyor.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
M***** İ****** (48) - Antalya,5,"Fiyatı ile değerlendirince çok iyi bir ürün .üstelik en uygun fiyat hepsi burada da idiDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
g*** ç**** (44) - Ankara,4,"Çarşamba günü sipariş verdim cuma günü elime ulaşmıştı. Yorumlarda yazıldığı gibi dış görünüşü plastik ve basit duruyor.Hizi ve sesi ise gayet tatmin edici.Canli dersler için aldım.Isimi görüyor.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Ayşegül A*** (40) - Konya,5,"Çok teşekkür ederim. Ürünü aldım 1 saat içerisinde kargoya verildi. Ertesi gün ürün elimdeydi. Mükemmel bir firmaDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
Y********* K*** - İstanbul,5,"üründe satıcıda başarılıDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
P**** Ö**** (24) - Tekirdağ,5,"Çok başarılı ve fiyatını hak eden bir ürün .Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
B****** T** (42) - Zonguldak,5,"Uygun güzel kullanışlı hızlı kargo teşekkür ederizDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
M****** K**** - Ankara,5,"Ürün gayet hızlı elime ulaştı, tek sıkıntı görsellerdekiyle birebir aynı malzeme olmaması ama rahatsız edici bir durum yok memnunumDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
S**** Ö* (33) - İstanbul,5,"Bir aydır gayet hızlı ve kullanışlı bir bilgisayar.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
EYUP E***** (47) - Elazığ,5,"Kargo hızlı bir şekilde elime ulaştı ürünü çok beğendim teşekkür ederimDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
H**** Y**** - İstanbul,5,"Ürün fiyata göre çok çok iyi kargo hızlı teşekkür ler hepsiburadaDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
İ***** B***** (43) - Bursa,5,"Süper hızlı gönderi yaptığınız için teşekkürlerDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
T**** T********* - İstanbul,5,"Satıcı çok ilgili, ürün mükemmel herşey için yeşekkürlerDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
ö*** t**** - Ordu,5,"Genel olarak beğendim hızı açılıp kapanması gayet güzelDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
A**** I*** - Van,3,"Kamerası ilk üretilen kameralardan herhalde. Maksimum çözünürlükte 1MP bile değil.Ekran parlaklığı sadece maksimumda yeterli oluyor. Biraz düşürdüğünüzde hemen kararıyor.Dış kaplaması plastikten olduğu için şık durmuyor.Kulaklık ile ses gayet iyi kulaklıksız daha düşük geliyor. Kısacası iş ofis işlemleri için gayet iyi ama oyun ve görüntülü proğramlar (eba, zoom) için yetersiz.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
i****** ö**** - Gaziantep,4,"Uzaktan eğitim için aldım. Beklentilerimi karşılıyor.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
f**** g**** (21) - Şanlıurfa,5,"Kargo hızlı geldi temiz ve özenli bir şekilde ulaştı elimeDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
s***** y***** (27) - Hatay,5,"İyi ürünDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
t**** e*** (34) - Yalova,3,"yorumlara bakarak almistik. Daha yeni kullanmaya basladik. simdilik iyi gorunuyor.ürünu actigimizda üzerinde cizik vardi.bu tur urunleri magzadan almak daha Dogru olur sanirim.Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
H************ Ş**** (34) - Afyon,3,"Görseli çok basit..yani 8 yıl önce aldığım Sony notebook bile daha güzel görünüyor yanında..çok sade dışı..Değerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
h**** b***** - İstanbul,2,"istek üzerine başkasına aldım ama berbar bir kaplaması var dandik plastik gördüğüm en kötü webcam e sahip bilgisayar ekran kartı dahili ram den yiyor en dandik oyunlarda bile kasar daha ne kaldıki aynı fiyata daha iyi laptoplar varDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
H************ Ş**** (34) - Afyon,3,"sadece bir adet flash yeri var..onu da mouse için kullandım.flashı nereye nereye takıcam böyle bişey nasıl olur anlamıyorumDeğerlendirme sahibi bu ürünü Bisistem satıcısından aldı.",4
