author,author_rating,body,real_rating
F***** Y**** (15) - Ankara,5,"21 Nisan Salı günü sipariş verdim 25 Nisan Cumartesi adresime ulaştı Kargo ve paketleme çok güzeldi özellikle telefonu güzel muhafaza etmişler telefonu 5 gündür kullanıyorum ve çok memnunum kamera konusunda gerçekten çok başarılı özellikle hem arkada hemde önde portresi çok güzel çok beğendim telefondan beklenen tüm kamera özelliklerini telefon size fazlasıyla sunuyor batarya konusunda 1 günü çok rahat geçiriyor hiç şüpheniz olmasın telefonda sadece sosyal medyada gezerseniz çok az oyun oynarsanız telefon 2 günüde rahat çıkarabilir hızlı şarjda ise ben %15 olunca şarja takıyorum kendim sayaç tuttum ve tam 50 dakikada %100 oldu telefon oyun konusunda'da çok başarılı telefonda (Pubg,Asphalt 9,Brawl stars)gibi bir çok oyun oynadım telefon hepsinde çok başarılı idi ısınma konusunda sadece pubg de ısındı oda çok aşırı değildi normal bi telefon ısınması pubg'yi son çözünürlük ayarlarında yaklaşık 2 saat oynadım e haliyle telefon ısınıyor bu ısınma ne oyuna nede telefonun kasmasına neden oldu gayet hızlı ve akıcı oynadım güzel performans sundu ses konusunda çok fazla ses verdiğini söyleyebilirim güzel ses deneyimi var ekran konusunda 90hz ekranı gayet güzel size hızlı bir deneyim sunuyor parmak izi ve yüz tanıma sistemi çok hızlı iyiki bu telefonu almışım çok beğendim beyaz rengini almıştım beyaz sadece beyaz değil gündüzleri üstleri masmavi oluyor altlarda mor renk geçişleri çok güzel, ışık yansımalarını pembe veriyor gerçekten tasarım konusunda'da şahane çok pahalı telefonların görevini görüyor her konuda çok başarılı 90hz ekranı 30w hızlı şarj telefonu alınabilir yapıyor tek kelime ile dört dörtlük bir telefon herkese tavsiye ederim umarım yardımcı olmuşumdur :)Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Senanur Ö****** - Kocaeli,5,"Telefon takıntısı olan bir insanım. Kameraya ve bataryaya çok önem veriyorum. Kamerasına bayıldım tartışmasız fiyatının çok daha üstünde bi performansı var telefonun her anlamda. İşlemcisi konusunda ısınır vs gibi yorumlar aldım ama hiçbir ısınma yok. Bu fiyata alınabilecek em güzel telefon dizi film çok izleyen bir insanım ve ful ekran deneyimi müthiş bir özellik. Telefonun daha anlatamayacağım birçok güzel özelliği var bu özellikler için farklı markalara daha fazla para vermeye hiç gerek yok. Şiddetle tavsiye ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Mustafa E****,3,"Ram 6 gb olsaydı daha iyi olurdu",5.0
H****** S*** (38),3,"Telefonun Fiyatının yüksek olduğunu düşünüyorum. Bu fiyata 4 GB RAM az olmuş. 6 veya 8 GB RAM olmalıydı.",5.0
V*********** T******* (55) - İstanbul,5,"Öncelikle özellikleri oldukça iyi ve ppi değeri oldukça başarılı. ips ekran ile yazılar, resimler, videolar oldukça net. 2020 telefonudur. 4 kameralı ve 64 mb çekim yanı sıra makro da başarılı görüntüler alıyor. Gene alan alsın güle güle kullansın, yanlış anlaşılmasın ama inanın çok pahalı bir telefon ile aynı görevi yapıyor. Pahalı bir telefonda çekilen fotoğrafta ortalama 6 inches bir ekranda ne kadar farklı bir görüntü alabilirsiniz? Bu fotoğraf makinesi değil sonuçta.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
E*** A****,5,"Pişman oldum batarya gitmiyor diyen kişiye cevap olarak yaziyorum yanilmayın 2 saat pubg 4 saat chrome video izleme 1.30 sosyal medya vb ekran suresinde 7.30 saat bluetooth wifi hucresel hep acik 1.30 saat el feneri acik kullandim 7 saat boyunca arka planda yt music ile muzik acmisim ekran parlakligi yarinin hep ustundeydi bazen full bazen %75 ama otomatikte degildi ekran 60hz 1 saat 90hz sonuc olarak bu verilerde 17 saat kullanim 7.30 saat ekran suresi aldim ve daha %24 sarj ekran suresini 10-11 e tamamlanabilir.",5.0
E*** A**** (22) - İstanbul,5,"Telefon elime ulaşalı 2 gün oldu. Araştırdığım bir cihazdı. %2 den %100 e tam 58 dakika da şarj doldu. Pil süresi de o kadar oyun oynamama rağmen gayet başarılı. 90 Hz ekran deneyimini call of duty de fazlasıyla fark ettim. Normal de ips ekran çok sevmem amoled taraftarıydım ama ekran canlılığı o kadar iyi ki amoledi aratmadı. Kamera konusuna gelince Gece çekimleri fiyatına göre iyi diyebilirim. Tabi ki daha üst segmen cihazlarda çok daha iyi gece çekimleri var. Ön ve arka ana kameralar oldukça başarılı. MTK G90T işlemci ve realme ui uyumu gayet başarılı olmuş. Genel olarak cihazdan memnun kaldığımı söyleyebilirim. Dezavantaj belirtecek olursam telefon kalın ve biraz ağır. Onun dışında bir problem görmedim. Umarım yardımcı olabilmişimdir. Alacaklara şimdiden hayırlı olsun.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
ibrahim ö**** (24) - Manisa,5,"17 Nisanda ön sipariş ile aldım. Bugün yani 23 Nisan'da elime ulaştı. Telefon çok iyi. Fiyatını hak ediyor. Özellikle 90 Hz ekranı çok iyi oyunlarda fark ediyor. Tavsiye ediyorum 👍Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
B**** Ç**** (35) - İstanbul,5,"Bu fiyat araliginda alinabilecek en iyi telefon oldugunu dusunuyorum Persembe gecesi siparis verdim cuma sabahi hepsijet adresime teslim ettiDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Ahmetmert T***** - Eskişehir,5,"A51 İle Bunun Arasında Kalmıştım Ama Emin Olun Bu Telefon Harika 90 Hz Ekran Harika. Fortnite Pubg Tarzı Oyunları Dropsuz Oynarsınız.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
S*** I****** (21) - İzmir,5,"anneme aldım memnun kaldıDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
uğur ç**** (46) - Zonguldak,5,"Döviz kurunun rekorlar kırdığı günlerde üstüne birde %50+%18 vergi alınan ülkemizde bu fiyata bu özelliklerde Cep Telefonu bulmak imkansız gibi.Donanım,performans ve fiyat olarak en cazip cihaz.İhtiyacı olanlar gönül rahatlığı ile hiç tereddütsüz alabilirler.Cihazın artılarını ve eksilerini burada yazmama gerek yok,bunlar her yerde yazıyor. Asıl önemli konu ve asla gözardı edilmemesi gereken husus şu: Bir cihaz aldığınızda ve cihazla ilgili herhangi bir sorunla karşılaştığınızda karşınızda muhatap olabileceğiniz güvenilir bir satıcı ve güvenilir bir ithalatçının olması.Bu sadece bu cihaz için değil her marka ve her model cihaz için geçerli.Özellikle son zamanlarda klonlu imeiler cihazlar piyasada çok fazla. Ürün başlığına Oppo Realme Türkiye Garantili yazan her satıcıya güvenmeyin,yada A,B,C,D marka Türkiye Garantili yazan her satıcıya güvenmeyin.A,B,C internet sitelerinden A,BC marka cihaz alıpta sorunla karşılaşırsanız; o alışveriş sitesini aradığınızda "satıcı biz değiliz,biz sadece aracıyız" cevabını alırsınız ve mağdur olursunuz. Ama HEPSİBURADA bu kötü ve güvenilirliği az katagorinin dışında.Çünkü çoğu ithal ürünü o ürünlerin Türkiye yetkili ithalatçıyla işbirliği yaparak satıcı HEPSİBURADA olarak kendisi satıyor ve kafanızda garanti ve orijinallik yönünden endişe kalmıyor. Şuan bu cihazı HEPSİBURADA satıcılı dışında hiçbiryerde daha ucuza bulamazsanız,bulsanız dahi başka yerden almayın ;HEPSİBURADA satıcısını tercihedin ki sonradan başınız ağrımasın.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
m**** S*** (37) - İstanbul,5,"Satıcı ve Kargo Hepsiburada olunca birde indirim varken tereddütsüz aldım. Teşekkürler HEPSİBURADA ve HEPSİJET kargo... Telefona çok söylenecek birşey yok. Mükemmel. Bu fiyata kaçırmayın... 👍Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
G**** E**** (26) - İstanbul,4,"Hepsijet ile Gebze'den İstanbul'a 2 günde gelmesi biraz fazla diye düşünüyorum. Sabah sipariş verdim, ertesi güne rahatlıkla gelebilecek bir mesafedeydi. Telefona gelecek olursak. Ben fiyat/performans olarak doğru bir seçim yaptığımı düşünüyorum. Asus Zenfone 3'ten Realme 6'ya geçtim. Kafamda çok telefon vardı. Poco f2, mi 9t pro gibi çok performanslı telefonlara takılıp kalmıştım. Şu an fark ediyorum ki Realme 6 bana yetecek performansı rahatlıkla sunuyormuş zaten. Bu telefonda Pubg'yi en yüksek ayarlarda maksimum kare hızında hiç takılmadan oynayabiliyorsam benim için yeterli performansı veriyor demektir. Kamerası da yeterli düzeyde. Beni rahatsız eden tek şey ekrandaki renkler oldu. Eski telefonumda renkler bu kadar canlı ve sıcak değildi. Bu benim gözlerimi yoruyor açıkçası. Beyazlar bembeyaz değil biraz kırık beyaz gibi. Telefonun kalın bir telefon olduğundan da bahsetmem gerekir. 191 gram ağırlığı var. Arayüzü sade ancak eski telefonumdaki bazı detaylı özelleştirmeler bunda yok.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
T***** C** (39) - Tekirdağ,5,"1 günde teslim aldım uygun ve güzel hepsi burada ya çok tekekkürler şeffaf kılıf içindeDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
E****** D***** (39) - Adana,5,"Eşime Realme 6 Pro aldıktan sonra kendime de alayım derken fiyatı birden yükseldi, o yüzden buna yöneldim. 128GB depolamalı modelde 4GB'den fazla RAM vardır diye düşünmüştüm, yanılmışım. Bir tek o üzdü. Yabancı sitelerde 4GB RAM sadece 64GB modelde görünüyor, Hepsiburada'ya yanlış bilgi vermişlerdir diye düşünmüştüm, doğruymuş. Bunlar dışında bu telefonun özelliği şarj süresi, özellikle de pil boşkenki şarj süresi. Pil düşükken şarja taktığınızda dakikada %2'den fazla dolduruyor, yarıyı geçtikten sonra yavaşlamaya başlıyor. Yani akşam şarja takmayı unutup sabah kalkınca boş pili şarja taksanız siz hazırlanıp işe gitmek için evden çıkana kadar günü kurtaracak şarjı alıyor. Pil ömrü için kullanımı vermek gerek, eski telefonum Le Max 2, yine Android 10 tabanlı LineageOS 17 yüklü, onunla yaklaşık 1.5 gün pil sürem vardı. Bunda önceki akşam şarjdan aldığım telefon şu anda %57'de. İnternetten teknik özelliklerine bakıp karşılaştırabilirsiniz. Ki Le Max 2 de gayet güzel telefondu. Şarj olurken Quick Charge telefonlar kadar ısınmıyor. Bu da pilin daha uzun ömürlü olmasına yardımcı olur diye tahmin ediyorum. Bunun dışında, oyun için almadım, genel özellikleri benim için yeterli. 4GB RAM de benim kullanımım için yeterli ancak Türkiye'ye böyle saçma sapan kırpılmış olması çirkin.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
M****** A*** - Malatya,5,"Telefon gerçekten fiyatının hakkını fazlasıyla veriyor, ki bu fiyata daha iyisi şu anda piyasada gerçekten yok. İndirimdeyken kaçırılmaması gereken bir cihaz. Cihazı övmeyi bırakıp 1 günde edindiğim tecrübelerden bahsedecek olursam eğer, cihaz ilk geldiğinde %52 gibi bir şarjla geliyor ve gayet stabil. Ama başıma gelen bir şeyden bahsedeyim. Ultra makro kamera modunda cihaz inanılmaz yavaşladı. Ve Instagram'da mesajlaşma sırasında ekran gidip geldi birkaç kere ve gerçekten endişelendim. Ama gerek yokmuş, telefon geldiğinde yazılım güncelleme zaten mevcut son sürümü yüklerseniz gerçekten hiçbir problem kalmıyor. Şu anda gerçekten çok severek ve hiç problem yaşamadan kullanıyorum, bütün özelliklerden burada bahsetmek mümkün değil ama telefonda şu kısım keşke şöyle olsaydı diyebileceğim hiçbir yer yok henüz öyle söyleyeyim. Aa belki ön kamera biraz daha iyi olabilirdi, ama o da gerçekten kötü değil. Eğer paylaşmak istediğim yeni bir şey olursa, yeni bir tecrübe edinirsem paylaşırım. iPhone'un yavanlığından sonra bu kadar hızlı ve rahat bir cihaz ilaç gibi geldi açıkçası. Not: Aslında kargodan dolayı 4 yıldız verecektim ama cihaz gerçekten yaşadığım o kadar sıkıntıya rağmen 4 yıldız verebileceğim bir cihaz değil, haksızlık olurdu. Ama açık söyleyeyim Hepsijet'e bulaşmadan önce bir kez daha düşünün. Belki ben şanssızdım, ama söylemiş olayım..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
B***** O***** (24),5,"Redmi 8 pro ile bu telefon arasında kalmistim inceleme videoları izledikten sonra bu telefonda karar kıldım sebebi ise 1 saat içinde full şarj olması şarjının 8 proya göre daha fazla gitmesi 90 hz ekran hızı kamerası güzel inceleme videolarında pro daha güzel görünüyordu ama dediğim gibi diğer özellikler benim için daha ağır bastığı için bu telefonda karar kıldım tek eksi olarak gördüğüm ekran soluk duruyor onun sebebi de şarjı çok yıprattiği için yapıyorlar sanırım çok memnunum",5.0
M**** R******* (24) - Antalya,5,"Telefon fiyata göre çok iyi. 90hz ekran, 64mp kamera, çok hızlı çalışıyor. Başka neler gerekiyor. Kargo da hızlı geldi HepsiJet teşekkür ederim, daha önce sıkıntı yaşadım ama bu sefer hızlı bir şekilde teslim edildi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
emin k*** - Amasya,5,"Çok hızlı bir şekilde 3 günde geldi sağlam bir kargo ile telefon zaten muhteşem tamamen fiyatı hakediyor (günümüz fiyatlarına göre ) kamerası beklediğinizden çok daha iyi ve ekran yenileme hızı ultra hızlı çok beğendim teşekkürler 🙏Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
