author,author_rating,body,real_rating
y**** u*** - Mersin,4,"12 saattir kullanıyorum telefonu. olumlu ve olumsuz deneyimlerimi paylaşayım. satın almadan önce okuyun. -öncelikle hepsiburada her zamanki gibi güvenli olmayan bir paketleme ile gönderdi. telefon kutusu hasarsız geldiği için şanslıyım. - incelemelerde de söylendiği gibi en büyük sorun hoparlör maksimum seviyede iken titreşim oluyor, telefonun içinde titreyen bir şey var. son sese almıyorum. ses seviyesi bayağı yüksek ama amiral gemilerindeki gibi net bir ses beklentiniz olmasın. -alt çerçeve fark edilir derecede kalın. ekran çerçeve oranını düşürüyor -ekran bazen dokunuşları algılamıyor. 5 yıllık telefonum lg g4 dokunmatik hassasiyetinde daha iyi. -kullanmak istemediğim google uygulamaları devre dışı bırakılamıyor. benim için sinir bozucu. +ekrana gömülü parmak izi okuyucu beklediğimden çok daha iyi. yeterince hızlı. +telefonu açtığımda %50 olan şarj düzeyi 'ağır' kullanıma rağmen 6 saatte %5 e düştü. %100 iken 12 saatten fazla ekran süresi alabilirsiniz. aşırı kullanım için söylüyorum. +65 watt şarj adaptörü çok havalı. realme'nin tanıtımda söylediği değerlerden birkaç dakika geç dolsa da muhteşem. m51 2 saatte dolarken bu telefon 38 dakikada sıfırdan yüze çıktı. +realme ui çok kullanışlı. one ui core yanında çok çirkin kalır. miui 12 ye göre daha şık. +telefon yağ gibi akıyor. hangi uygulamaya girsem ışık hızında açılıyor. +kırılmaz cam takılı geldi. boşluk kalmayacak şekilde tasarlanmış kılıf da çıktı içinden. + bu telefonu beklemek için m51 siparişimi iptal etmiştim, iyi ki beklemişim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Uğur M********* (35) - İstanbul,5,"Neredeyse 2 aydır araştırma yaptıktan sonra bir anda almaya karar verdim. Marka takıntısı değil her markadan bütçeye uygun birçok cihaz arasında kaldım. Hatta 6 pro yu beğenmiş keşke buna Amoled ekran koysalar mış dediğim zaman bile oldu. Bu cihazla muadil markalara göre çekindiğim en önemli konu malzeme kalitesiydi pilastik dedim, gorilla glass 3 dedim vs. Ama düşüncelerimi takıntı olduğunu elime alınca anladım. Adamlar cam diyip pilastiğe benzetmemiş, pilastik demiş ama baya alüminyum gibi kasa yapmış.. Ben malzeme kalitesini çok beğendim çekincesi olan varsa düşünmesin derim. Bu kadar iyi olacağını düşünmüyordum.. Ekrana, kameraya ve donanıma diyecek bişi yok. Amiral gemisi donanımı yok lakin kullanımda emin olun onlardan farkı da yok. Yazılım bu haliyle yeterli fakat yaklaşık 8 - 10 yıllık custom rom deneyimi sonrasında bazi şeyleri görüyorum. Lakin rutin kullanıcının her isteğini verecek başarılı çalışılmış tebrik etmek lazım. Açık kaynak çalışmalarını beğeniyorum. Biraz araştırırsanız bu telefonun en kötü 8 yıl ölmeyeceğini tahmin edebiliyorum.. Realmi 7 Pro tavsiye olunur..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
a** a*** (37) - Mersin,5,"Telefonu bugun aldim huawei mate 10 dan gectim mate 10. 2017 yili en iyi telefonu idi yani amiral gemisi. Öncelikle sterio sesi mate 10 dan cok daha iyi hoparlor cikis sesi daha iyi . Mikrofonu kamera video cekerken daha kötü.Kasa Plastik olmasi sorun degil zaten kilifsiz telefon kullanan yok. Ekran kalitesi fiyatina gore iyi fakat mate 10 da ki ekran cozünürlügü qhd ve ppi yüksek ips olmasindan daha güzel geldi bana sanirim nit le alakali . hizli sarjı gayet hizli :D sasirabilirsiiz. hiz olarak mate 10 2.36 ghz idi ona yakin uygulamalara speed test yaptim genelde aynı saniyede giriş yapiyor. kisacasi fp. Sonucta amiral gemisi degil. Tavsiye edermiyim evet ederimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
U*** Z******* - İzmir,5,"Telefonu satışa çıktığı ilk gün cuma 13:30 da sipariş ettim, 14:45 de kargoya verildi. Ertesi gün 12:00 de İzmir dağıtım merkezine geldi. Telefonu son derece korunaklı bir koli ile teslim aldım. Bir kaç gün yoğun kullanım sonucu izlenimlerim. Telefona baktığınızda elinize aldığınızda premium hissi veriyor, rengi Mat ama ışıl ışıl renk geçişleri olan mavi(mirror blue) son derece asil ve klas bir renk. Çevremde gören herkes bayıldı. Sd. 720 G SüperAmoled ekran çift stereo hoparlör 65 watt superdart şarj 64 megapixel sony Imx 682 kamera sensörü zaten beni cezbeden yönlerinden bir kaçı. Ön kamera 32 mega piksel UIS pek çok özellik mevcut özellikle ön plan renkli arka siyah beyaz yada tam tersi v. b. Fotoğraf ve video kabiliyeti benim için yeterli çok beğendim. Ana kamera 64 mega piksel UIS + Ultra Steady Max videolar sarsıntısı, fotoğraf ve videolarda pek çok seçenek ve efektler mevcut, çok beğendim. Telefon son derece hızlı, yüz tanıma ışık hızında loş ışıkta dahi açıyor, parmak izi de gayet hızlı. Ekran dokunma hassasiyeti 180 hz son derece hızlı. Uygulamaları hızla açıyor. Kullanım süresince hiç bir donma kasma uygulamadan atma yaşamadım, son derece stabil ve hızlı bir telefon. Yoğun kullanım sonucu 12 saat ekran açık kalma süresi aldım, normal kullanımda 2 gün kullanırım 3. Gün şarja takarım. Şarj dolum süresi;(pil %0) 5 dk % 22 10 dk % 41 12 dk % 50 15 dk % 58 20 dk % 73 25 dk % 86 30 dk % 95 33 dk % 99 3599 lira ya amiral gemisi telefon. Hepsiburada ve Realmi ailesine çok teşekkür ederim, böyle güzel bir telefonu bizlere ulaştırdıkları için ☺️Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Selman K****,5,"Realme x7pro gelmesini bekliyordum dimensity 1000+ işlemci ile nirvayı yaşamak istiyordum fakat gelse bile fiyatı malum vergininde vergisi olduğu için 5500 - 6000 TL olurdu. Bu zamanda kötü telefon yok piyasayada çinliler hakim oldu rekabetler güzel benim amacım fazla para vermeye gerek yok 3500 TL bandında 3 yıl beni idare etsin yeter. Hızlı şarj, batarya dayanıklığı 8/128, sterio çift hoparlör, süper Amoled, 64 mp kamera, snapdragon 720g, olması benim için yeterli sebeb batarya günümü kurtarsın birde hafif oyunlar oynuyorum bana makul. 3600 TL şu zamanda harika fiyat bir kaç ay sonra 4200 TL ye çıkar alacak olanlar kaçırmasın hemen alsınlar. Şuanki cihazım Sony Xperia XZ 4 yıl kullandım çok memnunum Realme 7 pro yu sabırsızlıkla bekliyorum.",5.0
sercan g**** (28) - İstanbul,5,"Honor Play kullanıcısı olarak bu telefona geçtikten sonra özellkle ses ve kamera kalitesi olarak farkı bariz hissettim.Sterio ses özelliği oldukça iyi, biraz kurcaladıktan sonra şarja taktım ve saniyeler içerisinde şarj olması gerçekten mükemmel :) Tek buruk noktam videolarda izlediğim kutulamalarda kahve ile birlikte çıkıyordu ( kahve alabilirim tabi ama ürünle birlikte gelmesi çok daha mutlu ederdi ) Ürün sadece telefon olarak geldi.O paketi açmanın mutluluğu biraz içimde kaldı diyebilirim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Serkan B****** (33) - Manisa,5,"Harika bir telefon çok beğendik. İndirim için teşekkürler. İndirim olmadan bir tane almayı düşünüyordum. İndirim ile birlikte eşime de bir tane aldık. Kamerası çok güzel. Ekran büyüklüğü ve ağırlığı çok iyi. Şarjı mükemmel. Mavi Rengi çok güzel. Gri renginide alabiliyor olsak daha iyi olurdu. Realme 6i yi bilerek aldım. 6 pro almayı düşünürken 7 proyu iyi ki beklemişim diyorum. Kaçırılmayacak bir telefon. Çok iyi satış yapacaktır.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Sümeyye F**** - Isparta,5,"Öncelikle siparişim 1 günde elime ulastı çok memnun kaldım. İphone SE1 kullanicisiydım. İos sınırlamalarından, küçük ekran ve batarya sorunlarindan sıkıldım. Android özgürlüğü olan büyük ekran bir telefon almaya karar verdim. Poco X3 NFC ile REALME 7 Pro arasinda kaldım. Super Amoled ekran, 65W hızlı şarj, 4500mAh batarya ve Snapdragon 720G işlemci tercihimin Realmi 7 Pro olmasını sağladı :)Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
a****** ö*** (30),5,"Fiyat olarak tebrikleri hak ediyor, görür görmez hemen bir tane sipariş verdim. Telefon elime ulaşmadan yapmış oluyorum bu yorumu ama özelliklerine bakınca, biraz da bu telefona ait inceleme videolarını izleyince fikir sahibi oluyor zaten insan; o da şöyle: cihaz harika bir cihaz, zaten şarj olayı başlı başına bir tercih sebebi. Üzülme ihtimalimiz yok gibi. Bizi böyle güzel bir cihazla bu fiyata buluşturduğun için Teşekkürler Hepsiburada!",5.0
A*** K**** (34) - Çanakkale,5,"Kesinlikle öneriyorum, 2 telefon taşımaktan bikmamla başlayan serüven bu telefonla son buldu. Sitede satışa sunulduğu anda sipariş verdim, malum meşhur ve pahalı markanın X modelini kullanıyordum öncesinde. Yarı fiyatından daha ucuz ve çok ta memnun kaldım. Sarji yaklaşık 40 dakikada fulleniyor (3% te taktım), 7 saat kullanım sonrasinda 75% kaldı (2 hat sürekli aktif). Bu fiyata inanılmaz, gayet makul ve mantıklı. Markacilik/modelcilik yapmıyorum, bundan sonra da o popüler ve pahalı markanın yanına yanasmam (çinliler bundan sonra da tartışmasız sektörü kasıp kavurur, zamanla herkesin farkına varacagina eminim). Kutu içeriğinde seffaf kap ve ekran filmi üzerinde geliyor (kulaklık yok).Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
