author,author_rating,body,real_rating
y**** ç**** (19) - Bursa,5,"internetten kendisinden telelefon aldım burak iletişim sahibi muhammetin gülün gönderdiği telefonu bir arıza nedeniyle geri iyade ettim bana bir üst modelini fark almadan gönderdi ancak ben daha sonra arızanın tel'de degil hatta olduğunu tespit ettim fark ücreti göndermek istedim kabul etmedi bu dünyada mesleği gereği hep yanlış insanları gören benim gibi şüpheci karakterlerin kafasını karıştıran sevgil insan hep böyle sevgilerDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
Pelin A********* - İzmir,5,"Askerde olan sevgilim için aldım kulaklık girişi var ama maalesef kulaklıklar yok onu ayrı almak gerekir. Ondan hariç her şey yolunda 👍🏻Değerlendirme sahibi bu ürünü Zorlu Teknoloji satıcısından aldı.",4.0
S**** P***** - Kırşehir,5,"Askere tuşlu telefon götürecek arkadaşlara belki bir faydam dokunur diye yazıyorum.Uzun araştırmalarım sonucunda birçok yorumu okuyup bu telefonu almaya karar verdim.Buradaki yorumlar sonucunda bu telefonu aldığım için bir yorum da benden olsun dedim.Telefon dün elime ulaştı 1 gündür kullanım sonucu izlenimlerim şunlardır; Tuş takımında herhangi bir sorun yok,tuşlar sağlam ve net basıyor. Deneme amaçlı farklı telefonlarla konuşmalar yaptım, ilk bir iki telefon konuşmasında derinden cızırtılar vardı,sonra düzeldi şuanda ses karşı tarafa net iletiliyor ve karşı taraftan net bir şekilde ses geliyor. Bataryası için konuşmam erken olur ama 1 günlük deneyim sonucunda sadece 1 dişin gittiğini söyleyebilirim, böyle devam ederse beklentimin üstünde bir bataryası var denilebilir. Telefonda kulaklık ve sanırım radyo özelliği yok. Boyutunun oldukça ideal olduğunu söyleyebilirim. Mesaj gönderip almada da bir problem olmadı. Kısacası askere gidecekler için yani sadece arama yapsın,mesaj çeksin diyecek insanlar için yeterli olduğunu düşünüyorum.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
N**** E**** (23) - Denizli,5,"Telefonun ses kalitesi iyi. Hem karşı tarafın hem de sizin sesiniz gayet anlaşılır bir şekilde. Tuş takımı da rahat. IMEI problemi de çıkmadı. Hattı taktığım gibi çalıştı. Kutuya naylonla güzelce sarmışlardı. Kargoda ezilme gibi bir şey olmamış. Yanında şarj aleti de geldi. Kulaklık ve şarj aleti girişi aynı yerde. Şarj konusunda da bir sıkıntı yaşamadım.Değerlendirme sahibi bu ürünü CeskaMarket satıcısından aldı.",4.0
Çağatay B**** (33) - Düzce,4,"İki telefon sipariş ettim biri sorunsuz cıktı fakat diğeri şarj olmuyordu satıcı üzerine düştü ve yenisini gönderdi. Benim gibi tüm yorumları didik didik okuyarak ürün alanlar için özetlemem gerekirse; Çok uygun fiyata tamamen konuşma telefonu başka bir özellik beklemeyin malum. mikrofunu gayet iyi ses iletiyor karşıya kulaklık hoperlörüde çok iyi ses seviyesine sahip, cok net duyuyorsunuz. Yani özellikle yaşlılar için ve ikinci iş telefonu için ideal (ben iki yaşlı akrabama aldım memnunlar). Şarjı normal konuşmaya bağlı olarak 3-4 gün gidiyor. Tamamen boşalınca yaklaşık 2-2.5 saatte doluyor bataryası. Siparişin eksi yönlerine gelirse; şarj aleti yan sanayi ama iş görüyor. Batarya bazen bozuk çıkabiliyor ama satıcı kendini telafi ediyor. Yanında kulaklık yok zaten bu fiyata da yanına kulaklık dahil olmasını beklemeyin Özetle uygun fiyat küçük hafif 3-4 günlük şarj gayet iyi ve net ses gönderimi ve alımı, deneyebilirsinizDeğerlendirme sahibi bu ürünü TeknoMyd satıcısından aldı.",4.0
K*** K********* (19) - Çorum,5,"Kalitenin tek adresiymiş ilk başta benim de aklımda bir düşünce kalmıştı ama sipariş ettim sonra telefonda önemsiz bir hata oldu benim için önemli değildi ama yetkililer geri gondermemi yeni bir ürün göndermek istediklerini söylediler gönderdim yenisini ve yanında bir hediye gönderdiler %100 müşteri memnuniyeti başarılarının devamını dilerimDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
k**** y**** (39) - Kocaeli,5,"Denildigi gibi sıfır ürün şarz orjinal hizli teslimat. Şeker ikrami :)) (hala içimde tuslu telefonlara karsi bi mutluluk varmis onu anladim) nostalji guzel bir sey. Umarim olumsuz yorumlardaki anlatilanlar basimiza gelmez alcak arkadaslara tavsiye ederim satici firma gayet anlayisli ve alakadar simdiden gule gule kullanmaniz dilegiyle...Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
Mehmet S****,5,"Ürün fiyat performans ürünü ayrıca kargo ve bilgilendirme hızlı annem için aldım şarj ve kullanım çok güzel",4.0
Kubilay A*** - Sakarya,5,"Ürün kullanım amacına göre güzel. Dedem için aldım ve fazlasıyla iş görüyor. Sonuçta tuşlu ve herhangi bir özelliği olmayan bir telefon. Temel şeyler hariç. Satıcı gayet güzel paketlemiş. TeşekkürlerDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
B************ B**** - Ankara,5,"Yorumlarda burakiletisim üzerine yazılanları görünce oradan almaya karar verdim. Gerçekten mükemmel bir müşteri iletişimi ve ürün hazırlamalari var. Bunun dışında telefonu annem için aldım, ses tonu o kadar yükseltilebiliyor ki adeta hoparlörden konuşuluyor gibi yüksek oluyor. Ağır duyma sorunu yaşayanlar için önerilir. Bunun dışında tek beğenmediğim kısım, mesaj seslerinin telefon sesi gibi uzun olmalı. Samsung mesaj sesi olarak minik bir bip sesi eklemeyi unutmuş herhalde. O yüzden sessizde duruyor mesaj sesleri.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
osman o**** - Trabzon,5,"sipariş verirken tereddütlü ve kararsızdım yorumları incelerken bisey farkettim herkes benim gibi Ya iş için yada yaşlılar için aldığını ama inanın parasında değilim amaç sadece kullanış ve ihtiyacı karşılamak yorumları okudukça kararim biraz daha olgunlaştı ve siparişi verdim elime geçen sureye kadar aklim dan çöpe atacağımı düşünüyordum ben öyle yok şurası böyle idi burası böyle cıktı diyen bi kişiliğim var ve hatayı bi kere daha yapanlar danim ikinci bi kez asla alış veriş yapmam telefon elime ulaştı ve açıp baktım şarji dolu ve harika kusursuz bi telefon teşekkür ederim paranın hakkını verio kargo ptt olduğu için biraz teslimat gecikio çokta Önem li deil sağlam gelsin diyorsanız çok önemsiz bi durum ürün için teşekkür ederimDeğerlendirme sahibi bu ürünü Zorlu Teknoloji satıcısından aldı.",4.0
E**** K****** (41) - İstanbul,4,"Telefon klasik tuşlu telefon. Özelliği olmayan, sadece konuşmaya yarayan yani telefon olma özelliğini taşıyan bir cihaz. Ben satıcıya yorum yapmak ve buradan da teşekkür etmek istedim. Aldığımda ufak bir sorunla karşılaştım. Saticiyi aradım, çok ilgilendi. Sorunu telefonda cozemeyince geri göndermemi, yenisini göndereceğini söyledi. Yolumun üstünde olduğu için dükkana uğrayıp kendim değiştirdim. Simkartla ilgili sorunumu da çözdü sagolsun. Kızıma verdiği şekerler için de teşekkürler Muhammed Bey:)Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
h**** g****** (43) - İstanbul,5,"Telefon sıfır olarak geldi sıkıntı yok sadece telefon kutusunun içinde kulaklık çıkmadı tek sorun bu oldu ama önemsiz extra ufak hediye için teşekkür ederim inşallah ileriki tarihlerde imei kolonlanmış olmaz ve tüketici haklarına gitmek zorunda kalmam emeği geçen herkese teşekkür ederim.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
Y***** S****,5,"2014 yılı ekim ayında askerde iken satın aldım. Askerliğimi çıkarsın yeter diye düşündüm. Yorum tarihim itibari ile annem halen sorunsuz şekilde kullanıyor. Karşı tarafa ses kaliteli gidiyor ve karşı taraftan kaliteli geliyor. Zil sesi seviyesi oldukça yüksek. Bugüne kadar sadece bataryası bozuldu. Hatta bozulmadı, şişti artık yıllarca şarj edilmekten. Sorun çıkartmayan, bozulmayan telefon yapmışlar. :) Al ömürlük kullan. Yaşlılar için kısayol tuşları atama özelliği var. Merak edenlere duyurulur. Hayırlı işler.",4.0
alpaslan d***** (36) - Diyarbakır,5,"Zorlu teknolojiden aldığım üründe şuan için çalışmayan bir aksam bulunmuyor ses kalitesi normal iyi yani hafif ve küçük kullanışlı. *#06# yaptığınızda arkasında yazılı imei numarasından farklı bir imei çıkıyor bu imei e devletten sorguladığımda kayıtlı diyor ancak telefon üzerinde yazılı kayıtsız çıkıyor yani imei çakılmış geldi ileride kapanırmı bilmiyorum şirketi aradığımda kapanırsa telefonu gönderin garantili yeni imei atarız dedi genel manada yaşlıların kullanabileceği bir telefon ben beğendimDeğerlendirme sahibi bu ürünü Zorlu Teknoloji satıcısından aldı.",4.0
b**** k****** (27) - Muğla,5,"Ben gerçekten bu kadar hızlı bir kargo görmedim, resmen bir günde Türkiye'nin bir ucundan öbür ucuna elime geçti, çok teşekkürler. Gayet özenli bir şekilde paketli geldi, kutunun içinden şekerler de çıktı, teşekkürler. Henüz kullanma fırsatım olmadı, olduğunda bir sıkıntı yaşanırsa yorumumu güncellerim. Fakat satıcının ilgili olduğu çok belli, teşekkürler.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
mehmet sinan k***** - İzmir,5,"Yıllardır bu platformdan alışveriş yaparım,Burakiletişimaksesuar gibi süper bir satıcı görmedim,aldığım ürünü beğenmedim geri gönderdim bir üst modelini fark almadan,hediyelerle gönderdi...Telime anında cevap verip koşulsuz destek ve yardımda bulundu.İşleri rast gitsin🙏Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
S**** A******** - Bursa,5,"Babam için aldım. Ürün çiziksiz sağlam bir şekilde kısa zamanda elime ulaştı. Düzgün çalışıyor ve koruyucu plastik ile gönderildi. Çok teşekkürler. Ayrıca kutuya bayram şekeri koyarak bize nostaljik anlar yaşatmanız da çok hoştu :)Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
e*** k********** (25) - İstanbul,5,"üç günde elime ulaştı. gayet kibar, ince bir telefon. Ben iş için ,ikinci bir telefon olarak kullanacağım. şu an sorunsuz gözüküyor. Gelir gelmez şarja taktım ,araması da sorunsuz. Teşekkür ederimmmmmDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
d**** ö****** (54) - Yalova,5,"Ürün de, satici da şahane. Müşteriye bu kadar yardimci olan bir satici görmedim. Alışverişlerinizde mutlaka burak iletisimi tercih edin👍Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
Selim A*** (41) - Kocaeli,5,"Telefonu annem için aldım hem kucuk hemde kolay kullanisi var ses netligi harika karsitarafada sesim cok net gidiyor siparişim gününden önce geldi teşekürler çok hızlı kargo içinDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
G***** A************** (48) - Antalya,5,"Güzel bir telefon. Ancak ekranı biraz küçük. Ben annem için almıştım. Yazıları fazla büyütemediğimiz için çok memnun olmadı. Yine de sadece konuşma için ideal. Ayrıca bize ulaşmasında emeği geçen herkese teşekkürler :)Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
A****** B***** - Manisa,5,"Telefon gayet güzel anne telefonu hiç sorun çıkmadı hızlı kargo içerisinde şarj aletide vardı, sadece arama geldiğinde zil sesi biraz düşük onun dışında hiç bir sorunla karşılaşmadık.Tabiki Hepsiburada farkıyla.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
S**** Ç***** - İstanbul,5,"Eğer telefon almak istiyorsanız kesinlikle burak iletişimi tercih etmelisiniz bataryam da problem vardı hemen sorunu çözdüler ilgilendiler bundan dolayı tekrar teşekkürlerimi iletiyorum. herkese tavsiye ederim. tereddüt etmeyin.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
HALİL İBRAHİM K******* - Ankara,5,"merhaba Ben buyıl lgs ye gireceğim ve bu telefonu aldım (telefonborsam dan) elime ulaştı ve ekranın işinde ya toz yada küçük bir çizik vardı ama sorun olmazdı telefonn kamerası yok okulda müdüre vermek zorunda kalmıyoruz askeri olarak bilmiyorum ama tam lgs telefonuDeğerlendirme sahibi bu ürünü Telefonborsam satıcısından aldı.",4.0
V***** K**** - Eskişehir,5,"Muhammed Bey'e ilgisi alakası için çok teşekkür ederim. Aldığım telefon sorunlu çıktı ve hiç sorgusuz sualsiz hem de daha pahalı olmasına rağmen herhangi bir fark talep etmeden bir üst modeli ile değiştirdi. Ayrıca gönderdiği şekerler için de oğlum çok teşekkür ediyor.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
M******* K******** (38) - Ağrı,5,"Fiyatına göre gayet başarılı bir ürün, Muhammed Gül beyden aldım ürünü, paketin içerisindeki şekerlemeler için de ayrıca teşekkür ederim, böyle ufak jestler müşteri olarak bizleri çok memnun ediyor, iyi çalışmalar hayırlı satışlar dilerimDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
N******** Ü***** (37) - Eskişehir,4,"Yorumlara bakarak aldım ve satıcıdan çok memnun kaldım. Daha uygun fiyata olmasına rağmen diğer satıcıları düşünmedim. Hemen elime ulaştı, hiçbir arıza yok. Satıcıya teşekkür ediyor 5/5 puan veriyorum. Ürüne ise 4/5 puan. Olumlu yönleri: Fiyat-performans süper, çok hafif, şarj uzun gidiyor, kullanımı çok kolay, tasarımı çok güzel. Olumsuz yönleri: düşse hemen kırılır, zil sesi kalitesi ve çeşitliliği düşük.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
F***** D****** - Kahramanmaraş,5,"şarjı gayet uzun. babam için aldım. gayet memnun kullanıyor. Telefonu sadece aramak ve mesaj atmak için kullananlar için gayet f/p ürünü.Değerlendirme sahibi bu ürünü Telefonborsam satıcısından aldı.",4.0
e*** d**** - Balıkesir,5,"Telefonun imeiyle kayitli imei farkli insallah kapanmaz kucuk avuç içi kadar telefon bunu bilerek aldik telefon kadar minik sekerleriniz icinde tesekkurler burak iletişimDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
F***** K******* - Antalya,5,"Burak İletişim'e hediye için teşekkürler kargolama hızlı ürün güzel fiyatına göre baya iş görür telefon saglam flaş'ı var bu modelde olduğunu hatırlamıyorum ama genede güzel sade anlaşılır bataryası şarj aleti içindeydi satıcı güvenilir extra kutunun içinde geldi begendimDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
alpaslan s***** (44) - Adana,5,"telefon eksiksiz zamanında teslim edildi. çocuğumu akıllı telefondan uzaklaştırmak, iletişim amaçlı aldım, şimdi de telefonda sudoku oynuyor gayet memnunum :))Değerlendirme sahibi bu ürünü TeknoEscem satıcısından aldı.",4.0
h**** b****** (37) - Bursa,5,"Ürünü eksiksiz ve hızlı bir şekilde teslim aldım. Telefonu babam için aldım. Babamın kulakları az duymasına rağmen çok rahat konuşabiliyor.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
R***** N**** (33) - Düzce,5,"Telefonu annem için aldım. Sorunsuz bir şekilde elimize ulaştı . Ses kalitesi çok iyi. Aramak ve mesaj atmak için gayet yeterli bir telefon .Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
Enes K****** (23) - Bursa,4,"Arkadaşlar genel olarak memnunum satıcı arkadaş da çok yardımcı oluyor bi sorun yaşarsanız dahi aradığınız da direk açıp size yardımcı oluyor. Telefonun radyosu da var fakat kulaklık içinde yok onu kendiniz almanız gerekiyo radyo dinlemek için. Askere gideceğim için aldım. Tavsiye ederimDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
i**** K**** - Batman,5,"Süper kargo paketleme mükemmel satıcı firma dürüst istediğimin üstünde beklemiyordum ihtiyacı olana kesinlikle tavsiye ediyorum teşekkürler hepsiburada ve satıcı firmaya.Değerlendirme sahibi bu ürünü RS.E-TİCARET satıcısından aldı.",4.0
Yunus Emre D**** - Afyon,4,"Sesi cidden yüksek. Yaşlılar için oldukça uygun. Yaklaşık 3, 4 gün şarjı gidiyor. Tabi daha uzun gider ancak kullanılan bölgede telefon rahat çekmiyor bu yüzden şebekeye bağlanacağım diye şarjını yiyor. Almanızı öneririmDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
A******* H****** - Adana,4,"Tuşlu telefon için yeterli. Bazı olabilecek basit özellikler yok ama amacınız aramak mesajlaşmak gibi basit şeylerse sağlam bir telefonDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
Ü*** K******** - Bursa,5,"Bu devirde tuşlu telefon bulmak çok zor, dedem için aldım ve tam bir dede telefonu. Sesi yüksek, şarjı uzun. Dedelere önerilir.Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
a******* ç****** (39) - Sakarya,5,"Burak İletişim çok ilgili, alacaksanız oradan almanızı tavsiye ederimDeğerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
y**** d**** (35) - Tekirdağ,5,"Fiyat performans ürünü anlatmaya gerek yok eskiler bilir tuşlu telefonun zevkini :)Değerlendirme sahibi bu ürünü Telefonborsam satıcısından aldı.",4.0
H**** C***** - İstanbul,4,"Telefon daha bugun elime ulaştı yani daha kullanmadım sadece öyle bir baktım şimdilik güzel duruyor telefon sıfır geldi fakat şarj aleti ikinci el geldi ama benim için sıkıntı yok çalışıyor ve şekerler için teşekkürler 😂Değerlendirme sahibi bu ürünü burakiletisimaksesuar satıcısından aldı.",4.0
