author,author_rating,body,real_rating
M**** S******* (35) - İstanbul,5,"İşim gereği bolca telefon görüşmeleri, whatsapp ve navigasyon kullanımı yapıyorum. Sosyal medya ve diğer aplikasyonları da gün içerisinde sıkça kullanıyorum, oyun oynama alışkanlığım yok. Şarjı 2 gün sonunda %23'e geldi, benim için şarj süresi çok önemliydi zaten. Kamerası güzel, hızı iyi, şık bir telefon. Ram ve hafızası yeterli, ekran parlaklığı renkler vs iyi. Teknoloji manyağı değilseniz, en iyi en pahalı telefonu alıp çağ atlayacağınızı zannetmiyorsanız bu telefonu tavsiye ederim. Yanında gelen kablosuz kulaklık hediyesi de çok kaliteli ve ses kalitesi güzel, oldukça beğendim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Aşkın H***** (49) - Samsun,5,"Hakikaten süper bir telefon. Özellikle kamerası bence gayet iyi.iki adet fotoğraf ekledim ki gece modunda farkı anlayın diye ( soldaki M31). 600 tl lik muhteşem kulaklığı da cabası.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Ş*** Z**** (34) - Antalya,5,"Eski telefonum ile kablolu yaşıyormuşum rahat 2 gün giden şarj süresi var. (2.5 yaş kızım oynuyor benim de sürekli kullanımımda olmasına rağmen) fotoğraf çekimi gayet güzel. Hızlı donma yok tabi ben ağır oyunlar oynayan biri değilim normal kullanımda donma yok. Çok sevdim telefonu özellikle şarj süresi açısından. Bazı fotoğraflar ekliyorum çekim kalitesini görürsünüz. Gece çekimi, makro çekim, odaklı çekimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
S******** B******* - Antalya,5,"Bir çok video seyrettim, bir çok teefon ile karşılaştırma yaptım, yorumlar okudum. Bir çok video ve yorum ön yargılı.Telefon kutusunu eleştiren var, sanki kutuyu kullanacak, Her yönü ile iyi. Bir S7 edge kullanıcısı olarak telefon harika Büyük diyenler, ağır diyenler, hiçte öyle abarttığınız gibi değil. Kamera güzel. Şarz aletne bahane bulanlar, çok hızlı dolan pil çabuk ölür, çabuk boşalır.Ekran alıntısı yapmıyor diyenler olmuş. Kullanmayı bilmeyen yorum yapmasın. Kamera da titreşim önleyici yok bulanık çıkar diyenler paylaşacağım makro resimler el ile telefonu sabitlemeden alel acele çekildi.Parmak oluma,yüz tanımlama gayet güzel işini görüyor. 64 mp de ayar yapmak zor denmiş eleştirmenler tarafından, fotoğrafçılık sadece denklanşöre basmaktan ibaret değil.Alan pişman olmaz.Değerlendirme sahibi bu ürünü Samsung Türkiye satıcısından aldı.",5.0
volkan p***** (37) - İstanbul,5,"Telefon güzel, hizmet kötü... hediye edilecek olan ekstra kulakligimi gondermediler rezillik yasadim. Hala ugrasiyorum almak için, Kulaklık var diye almıştım ihtiyacım da vardı.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Metin D**** (34) - Tekirdağ,3,"Piline diyecek birşey yok maşallah powerbank, telefon yeni ama başarılı görünüyor. Peki o 3. Sınıf hissettiren kutu ve kulaklık ne? Bu paraya biraz daha özenli olabilirdi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Murat A***** (36) - Trabzon,5,"1 aydır kullanıyorum. Fotoğrafları gerçekten çok güzel. Gündüz ne kadar harika ise gece o kadar berbat. 64megapiksel kandırmaca. Note 4 kamerası(16mp) uzaktaki bir yazıyı okuyabildik, m31 ile 64mp çektik okuyamadık. Resimlere çok yaklaştığınızda bulandırdığını görebiliyorsunuz. Bu durum resimlerin iyi çıkmasını kesinlikle etkilemiyor. Sadece çok yaklaştırısanız rahatsız ediyor. Batarya istisnasız 2 gün gidiyor. Diyecek birşey yok harika, alma sebebim. Şarz süresi haliyle diğer telefonlara göre bir miktar daha uzun sürüyor. Performanssızlık görmedim, menüler hızlı, takılma yok. Kulaklık sesi kaliteli. Androide ekolayzır var ve müzik kalitesini gerçekten olumlu yönde etkiliyor. Kulaklık kaliteli sese sahip. Kulak içi değil ama kulağınızın biraz içine giren bir çentiğe sahip. Tam aradığım gibi. Ekran harika, çok parlak. Ön kamerada da flash var. Ama ekranı beyaz ışık yaparak bunu sağlıyor ve işe de yarıyor açıkcası. Zekice düşünülmüş. Kamera otomodde makro veya normal poz arası değişimi kendi yapıyor. Video performansı çok güzel. Videoda bir çiçeğe odak aldığınızda arka plan gerçekten başarılı bir şekilde bulanıklaşıyor. Video https://bit.ly/m31video Ayrıca mikrofonu süper kaliteli. Videoda çok uzaktaki sohbetleri nasıl aldığına şaşıyorum. Ayrıca OK Google özelliği aktifken benden 3-4 metre uzaktakilerin sohbetleri ekrana düşüyor, şaşılşacak bir performans. Hızlı video yok. Note 4 te farklı hızlarda videolar çekebiliyor ve timelapse yapabiliyordum. Bunda yok. Canlı odakta arkayı bulandırıyor ama kafanızın etrafı da bazen bulanık oluyor. Yazılım tam oturmamış. Tüm samsunglarda böyle sanırım. Yüz tanıma yavaş çalışıyor o tanıyana kadar ben şekli çizerek giriş yapmış oluyorum. Hoparlör sesi hissedilir bir şekilde kısık. Şarz kablosu kısa gerçekten. 75cm. Eskiden kullandığım kablo ise 120cm. Şarj kafası eski note4 şarj aletimin değerleri ile aynı. Sadece kablo TypeC ucu var. M31 kılıfı ve ekran koruyucu bulamadım hala. m30 ürünleri kullanıyorum tam uymuyor haliyle.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
özkan ç**** (40) - Tokat,5,"Tokat/Başçiftlik ten sizlere Galaxy M31 ile çekilmiş fotolar atayım. sırasıyla, Makro, dar açı, geniş açı, gece. 64 mp resim de çektim ancak tripodla çekerseniz daha iyi anlaşılır kalitesi. Bu arada süper hızlı çekim özelliği var 10 saniyelik. Lütfen fotoğraf çekmekten anlamayanlar yürüyerek ve sarsıntıyla çektikleri resimle yorum yapmasın. Telefonun şarjı ideal. Ancak herkesin bahsettiği iki konu var 1. si dayanıklılık. Dayanıklı değil arka kapağı. iyi korumazsanız çizilir. kulaklık ise konuşma kulaklığı yani müzik kulaklığı değil. Müzik dinlemek için özel kulaklık almalısınız. Hız konusunda sıkıntı yok. Ekran açık özelliği güzel yani telefon kapalıyken saate bakabilirsiniz ve ekrana dokunarak telefonu açabilirsiniz.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
ozan ç**** - İstanbul,3,"Telefondan 600liralik kulaklık çıktı diyenlere tamah edipte sakın almayın,içinden tahtakaleden 20liraya alacağınız basit bir kulaklık çıkıyor,onun haricinde pil ve kamerası iyi ..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
ADEM A****** (36) - İstanbul,5,"Dün aldım bugün hepsijet le hızlı teslim oldu ürünü bugun aldığımdan tam bir yorum yapamicam ama beğendim hoş ve güzel bana göre fotoğrafı biraz kötü çekmiş olabilirim. Kargo paketinde darbe yada deforme yoktu özenle korunarak getirilmiş. Cihazla ilgili yorumları kıyaslamaları okuyarak aldım tabi birde cihazı isteyerekte almanız önemli memnuniyet açısından kullanıp görücez. Şuan görüşüm olumluDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
