author,author_rating,body,real_rating
Ömer C****** (31),5,"Samsung A71 ile çok çok yakın özelliklere sahip fiziksel olarak bataryadan dolayı daha kalın. Özel eleştiri olarak bu kadar yeni çıkmış bir telefonun orjinal Samsung kılıfı bile yok. İnternetten veya telefonculardan bulabilmemiz için 2 veya 3 hafta geçmesi gerekiyor. Diğer rakipleri ekran koruyucusunu üzerinde kılıfı da yanında gönderirken. Samsung u bu konuda eleştiriyorum.",5.0
A**** B**** (40),5,"Yaklaşık 2 haftadır telefon almak için araştırıyordum. M51 in tanıtımı yapıldığında özellikleri çok ideal gelmişti sdg 730g 8gb ram amoled ekran ve tabi 7000 mah batarya. Tam telefon alacağım gün ön siparişe açıldı. Siparişi verdim kablosuz kulaklık hediyesi ile beraber. Bence şu an en mantıklı seçim M51 gibi. Gelsin inceleyip daha ayrıntılı yorum yazacağım.",5.0
B************ A***** (33) - İstanbul,5,"Öncelikle hızlı kargo için teşekkürler. Cuma sabahı sipariş verdim Cumartesi günü elime ulaştı. Araştırarak ve benzerleri ile kıyaslayarak aldığım bir telefon. Güçlü bataryası ve büyük ekrandan dolayı kalın ve ağır bir telefon olduğunu belirteyim. Kılıf ile de kullanacaksınız daha önce büyük telefon kullanmamışları rahatsız edebilir. Ancak batarya performansı muazzam ve hızlı da şarj oluyor. Telefon %52 şarj ile geldi, yaklaşık 3 saat eski telefonu aktarma kurulum, keşif ile birfiil yüksek parlaklıkta kullandım. Şarj %38'e düştü anca. Kamera performansı yeterli. Canlı Odak ve Ağır Çekim özellikleri keyifli. iPhone 11 veya p40 Pro performansı beklemiyoruz nihayetinde. Ekran gayet tatmin edici, geniş ekran ve renkler dijital platformlarda keyifli deneyim sunuyor. Kesinlikle yavaş bir telefon değil. Yaklaşık 45 GB uygulama&dosya yüklemesi vs. yaptım en ufak bir takılma yaşamadım şimdilik. Parmak izi algılaması beklediğimden hızlı. Uyumlu finans uygulamaları kullanıyorum, erişim keyifli ve hızlı. Herhangi bir hediye kampanyası ile almadım. Kutu içinden Hızlı Şarj cihazı ve Samsung kablolu kulaklık çıktı. Bu fiyata beklentilerimi fazlasıyla karşıladı. Ağırlık ve Kalınlık takıntısı olmayan hiç düşünmeden alabilir.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
D****** Y***** (35),4,"bu üründen kampanya tarihlerini kapsayan dönemde ön sipariş verdim. Telefon konusunu epey araştırdım. Çok sık model yenilemesi yapan Samsung yine de bir şekilde tutunmayı başarıyor. Bu batarya ve kaliteyle m51 kısa sürede yok satar ve fiyatı da uçar...ama herşeye rağmen şu da var hediye ürünü yanında gelmezse paketi açmadan iade edeceğim.",5.0
h**** k****** - İstanbul,5,"Sipariş 25/9 verdim, mobile3/10 geldi, kulaklık 7/10 gelmişler mükemmel bir telefon, benim için çok iyi, pil 2 gün gidiyor kolay, bence para karşı en güzel telefon, Not: telefon biraz Ağır ama ben aliştimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Rasim K**** (45) - Manisa,5,"Ürün harika bişey tam elime oturuyor amoled ekranına hayran kaldım ve tabi 7000 mah pil gücü tes t ettim aralıksız sosyal medya oyun oynasanız 16 saat rahat götürüyor galaxy buds yanında gelmedi fakat hepsiburada ile iletişime geçince gönderdiler alacaklar hiç düşünmeden alsın derimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
U*** D**** - Ankara,5,"Telefonu aldim sadew diger emsallerindeki elefona gore birazck daha kalin ama bu kadar buyuk pataryaylada bolesi normal on siparisle aldm telefon elime ulastiktan sonra sikayetim uzerine galaxy buddsu gonderdiler oda bugun elime gecti ikisindende cok memnunumDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
ş**** k***** (44) - İSTANBUL,5,"Gerçekten bu kadarını beklemiyordum, ürün muhteşem cumartesi öğlen geldi sarj ettim bugün pazartesi akşam oldu haliyle kurcalamalar, denemeler, hatta çocukların oyun 3-4 saat oyun oynamasına rağmen şarj yeni %6 oldu yani yaklaşık 2,5 gün :) Galaxy S8'in artık yarım günde biten şarjından sonra en büyük önceliğim şarjdı ve sanırım çözdüm. Hediye Galaxy Buds için Hepsiburada'yla iletişime geçin hemen çözüyorlar. Zaten alışverişlerimde Hepsiburada'yı seçmemin en büyük sebebi en ufak bir sorun yada aklınıza takılan birşey olsa bile hızlıca çözüm bulunması, gerçekten çok güvenilir ve kurumsal çalışıyorlar, bunun için teşekkürler. İnanın hediye gelmediğinde nasıl olsa hepsiburada gönderir diye hiç tereddüt bile etmedim. Ürün fiyat performans ürünü elbette beklentilere göre değişir ama ben tavsiye ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Ali A**** (30) - İstanbul,5,"Sağlıklı bir yorum için bir süre bekledim cihazı kullandım denedim. -Hızlı şarj olayı çok güzel çok çabuk doluyor. -Batarya sürekli internet sosyal medya gündelik kullanım 2 günü çok rahat çıkarıyor. -Kamera ön ve arka kameranın gece çekimi başarılı arka kamera Makro modu güzel zoom kalitesi fena değil gece çekimi güzel gece çekimi derken düşük ışıklı ortamlardan bahsediyorum -Ekran genişliği muazzam -Hızı çok iyi telefonun yüz tanıma parmak izi okuma muazzam -Ses çıkışı yeterli düzeyde ama bir sterio olsa hiç de fena olmazdı Sonuç: 8 GB RAM 128 GB Rom 8 Çekirdek işlemci 4 lü arka kamera ve 7000 Mah Batarya bu fiyatın hakkını fazlasıyla veriyor bence alacaklara kesinlikle tavsiye ederim. Cihaz biraz kalın diyenler olmuş elinize alınca hissetmiyorsunuz bile . Hepsiburada ile çok hızlı teslimat oldu alırken bir adet kılıf ve ekran koruyucu sipariş edin zira kutudan çıkmıyor.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
H**** Ç***** (17) - Hatay,5,"1 haftadır kullanıyorum ve çok memnunum. Telefonun Ekranı mükemmel. Telefonun arkası çok kolay çizilir kılıf şart. Ayriyeten de hediyesi için çok teşekkürler.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
S**** E*** (61) - Ankara,5,"Bugün(vadedienden bir hafta önce) teslim aldım. Telefonu inceledim .Telefon beklediğimden çok daha iyi. ANCAK BEKLEMEDİĞİM BİR DURUM;ANLAŞMAMIZA-TAAHHÜTLERE VE DE UYARMAMA RAĞMEN İÇİNDEN BUDS KULAKLIK ÇIKMADI!!! Tutanak tuttum. Biidirdim aradım. ÇOK SAMİMİ İLGİ VE ÖZEN GÖSTERDİ HEPSİBURADA GÖREVLİLERİ. Artık buds kulaklığı bekliyorum. Zira bir hata olmuştur ve Hepsiburadaya güenim her daim tamdır.Gelişmeleri de yazarım.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
G************ Ş*****,5,"Olayı çok farklı bir açıdan ele alırsak bu telefon her yıl 500 mah civarı batarya performansından kaybetse bile 5 sene sonra 4000-4500 mah civarı kapasite ile 1 gün normal kullanımda şarjı rahatlıkla gidecektir şüphesiz. Sistem özelliklerini ele alacak olursak 4-5 yıl civarı güncel uygulama ve oyunların çoğunu çalıştırabilecek.. Tek kafama takılan 1080p video çekiminde 30 fps üzeri çekim yapamayışı ancak ağır çekim modu olması ve yıllarca batarya performans sorunu yaşamadan kullanabilmek için bile her türlü alınır..",5.0
