,instock,title,url,comment_amount,rating,price
8,True,"Lenovo V15-IIL Intel Core i5 1035G1 8GB 512GB SSD Windows 10 Home 15.6"" FHD Tasinabilir Bilgisayar 82C5001FTX",https://hepsiburada.com/lenovo-v15-iil-intel-core-i5-1035g1-8gb-512gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-82c5001ftx-p-HBV00000ULWYW,58,4,8389.0
15,True,"Lenovo IdeaPad S145-15API AMD Ryzen 7 3700U 8GB 512GB SSD Freedos 15.6"" FHD Tasinabilir Bilgisayar 81UT001ATX",https://hepsiburada.com/lenovo-ideapad-s145-15api-amd-ryzen-7-3700u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-81ut001atx-p-HBV00000NZFIY,226,5,7149.99
16,True,"Lenovo IdeaPad IP3-15IML Intel Core i5 10210U 8GB 512GB SSD MX130 Freedos 15.6"" FHD Tasinabilir Bilgisayar 81WB00AXTX",https://hepsiburada.com/lenovo-ideapad-ip3-15iml-intel-core-i5-10210u-8gb-512gb-ssd-mx130-freedos-15-6-fhd-tasinabilir-bilgisayar-81wb00axtx-p-HBV00000UZWIX,113,5,7999.0
21,True,"Apple MacBook Air Intel Core i5 5350U 8GB 128GB SSD MacOS Sierra 13.3"" Tasinabilir Bilgisayar MQD32TU/A",https://hepsiburada.com/apple-macbook-air-intel-core-i5-5350u-8gb-128gb-ssd-macos-sierra-13-3-tasinabilir-bilgisayar-mqd32tu-a-p-HBV000007I2J3,222,5,7989.0
30,True,"Huawei Matebook D 15 AMD Ryzen 5 3500U 8GB 256GB SSD Windows 10 Home 15.6"" FHD Tasinabilir Bilgisayar",https://hepsiburada.com/huawei-matebook-d-15-amd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-p-HBV00000S2QIB,81,5,6798.83
32,True,"HP Pavilion 15-EC0007NT AMD Ryzen 5 3550H 8GB 1TB + 256GB SSD GTX1650 Freedos 15.6"" Tasinabilir Bilgisayar 8BW49EA",https://hepsiburada.com/hp-pavilion-15-ec0007nt-amd-ryzen-5-3550h-8gb-1tb-256gb-ssd-gtx1650-freedos-15-6-tasinabilir-bilgisayar-8bw49ea-p-HBV00000NPZ6E,76,5,8599.0
35,True,Lenovo IdeaPad L340-17IRH Intel Core i7 9750H 16GB 1TB+256GB SSD GTX1650 Freedos 17.3 FHD Tasinabilir Bilgisayar 81LL000YTX,https://hepsiburada.com/lenovo-ideapad-l340-17irh-intel-core-i7-9750h-16gb-1tb-256gb-ssd-gtx1650-freedos-17-3-fhd-tasinabilir-bilgisayar-81ll000ytx-p-HBV00000LK9W1,106,5,11999.0
40,True,"HP 15S-FQ100NT Intel Core i5 1035G1 8GB 256GB SSD Windows 10 Home 15.6"" Tasinabilir Bilgisayar 8KR82EA",https://hepsiburada.com/hp-15s-fq100nt-intel-core-i5-1035g1-8gb-256gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-8kr82ea-p-HBV00000Q9W14,91,5,7249.0
45,True,"HP 15-DB1096NT AMD Ryzen 7 3700U 8GB 512GB SSD Windows 10 Home 15.6"" FHD Tasinabilir Bilgisayar 3K181EA",https://hepsiburada.com/hp-15-db1096nt-amd-ryzen-7-3700u-8gb-512gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-3k181ea-p-HBV00000TCHJJ,57,5,7098.3
66,True,"Asus D509DA-EJ887 AMD Ryzen 3 3250U 4GB 256GB SSD Freedos 15.6"" FHD Tasinabilir Bilgisayar",https://hepsiburada.com/asus-d509da-ej887-amd-ryzen-3-3250u-4gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBV00000X9GRY,79,5,5399.0
72,True,"Asus X509JB-EJ006 Intel Core i5 1035G1 8GB 512GB SSD MX110 Freedos 15.6"" FHD Tasinabilir Bilgisayar",https://hepsiburada.com/asus-x509jb-ej006-intel-core-i5-1035g1-8gb-512gb-ssd-mx110-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBV00000X9GRO,83,5,8349.0
76,True,"Huawei Matebook D 14 AMD Ryzen 5 3500U 8GB 512GB SSD Windows 10 Home 14"" FHD Tasinabilir Bilgisayar",https://hepsiburada.com/huawei-matebook-d-14-amd-ryzen-5-3500u-8gb-512gb-ssd-windows-10-home-14-fhd-tasinabilir-bilgisayar-p-HBV00000SKDTC,65,5,6799.0
84,True,Ixtech ThinBook Intel Atom Z3735F 2GB 32GB eMMC Windows 10 Home 11.6'' FHD Tasinabilir Bilgisayar,https://hepsiburada.com/ixtech-thinbook-intel-atom-z3735f-2gb-32gb-emmc-windows-10-home-11-6-fhd-tasinabilir-bilgisayar-p-HBV00000PO6T7,53,4,2499.0
98,True,Huawei Matebook 13 2020 AMD Ryzen 5 3500U 8GB 256GB SSD Windows 10 Home Tasinabilir Bilgisayar,https://hepsiburada.com/huawei-matebook-13-2020-amd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-home-tasinabilir-bilgisayar-p-HBV00000WBTS1,51,5,6699.0
130,True,"Asus Zenbook UX334FLC-A4107T Intel Core i7 10510U 16GB 512GB SSD MX230 Windows 10 Home 13.3"" FHD Tasinabilir Bilgisayar",https://hepsiburada.com/asus-zenbook-ux334flc-a4107t-intel-core-i7-10510u-16gb-512gb-ssd-mx230-windows-10-home-13-3-fhd-tasinabilir-bilgisayar-p-HBV00000PM2QM,100,5,14299.0
167,True,"HP Pavilion 15-EC0001NT AMD Ryzen 7 3750H 8GB 1TB + 128GB SSD GTX1650 Freedos 15.6"" FHD Tasinabilir Bilgisayar 7WE76EA",https://hepsiburada.com/hp-pavilion-15-ec0001nt-amd-ryzen-7-3750h-8gb-1tb-128gb-ssd-gtx1650-freedos-15-6-fhd-tasinabilir-bilgisayar-7we76ea-p-HBV00000OSBNX,61,5,8999.0
168,True,"HP Pavilion 15-EC0001NT AMD Ryzen 7 3750H 8GB 1TB + 128GB SSD GTX1650 Freedos 15.6"" FHD Tasinabilir Bilgisayar 7WE76EA",https://hepsiburada.com/hp-pavilion-15-ec0001nt-amd-ryzen-7-3750h-8gb-1tb-128gb-ssd-gtx1650-freedos-15-6-fhd-tasinabilir-bilgisayar-7we76ea-p-HBV00000OSBNX,61,5,8999.0
251,True,"HP 15-DW2015NT Intel Core i7 1065G7 8GB 1TB + 256GB SSD MX330 Freedos 15.6"" FHD Tasinabilir Bilgisayar 3H822EA",https://hepsiburada.com/hp-15-dw2015nt-intel-core-i7-1065g7-8gb-1tb-256gb-ssd-mx330-freedos-15-6-fhd-tasinabilir-bilgisayar-3h822ea-p-HBV00000UQOAW,66,5,10399.0
334,True,"Lenovo IdeaPad Intel Core i5 10300H 8GB 512GB SSD GTX1650Ti Freedos 15.6"" FHD Tasinabilir Bilgiasyar 81Y400D9TX",https://hepsiburada.com/lenovo-ideapad-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650ti-freedos-15-6-fhd-tasinabilir-bilgiasyar-81y400d9tx-p-HBV00000VT34X,51,5,8999.0
404,True,"Lenovo IdeaPad S145-14IGM Intel Celeron N4000 4GB 128GB SSD Freedos 14"" FHD Tasinabilir Bilgisayar 81MW003VTX",https://hepsiburada.com/lenovo-ideapad-s145-14igm-intel-celeron-n4000-4gb-128gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-81mw003vtx-p-HBV00000PXVDQ,59,4,5199.9
