instock,title,url,comment_amount,rating,price
True,HP 15-DW2028NT Intel Core i3 1005G1 4GB 256GB SSD Freedos 15.6" Tasinabilir Bilgisayar 235R0EA,https://hepsiburada.com/hp-15-dw2028nt-intel-core-i3-1005g1-4gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-235r0ea-p-HBV00000XGYYI,33,5.0,4999.0,
True,Acer Swift 5 SF514-54T Intel Core i5 1035G1 8GB 512GB SSD Windows 10 Home 14" FHD Tasinabilir Bilgisayar NX.HHUEY.001,https://hepsiburada.com/acer-swift-5-sf514-54t-intel-core-i5-1035g1-8gb-512gb-ssd-windows-10-home-14-fhd-tasinabilir-bilgisayar-nx-hhuey-001-p-HBV00000XV6D9,1,5.0,7699.0,
True,Asus X509JA-BR089T Intel Core i3 1005G1 4GB 256GB SSD Windows 10 Home 15.6" Tasinabilir Bilgisayar,https://hepsiburada.com/asus-x509ja-br089t-intel-core-i3-1005g1-4gb-256gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-p-HBV00000X9GRQ,22,5.0,5699.0,
True,HP 15-DW2019NT Intel Core i5 1035G1 8GB 256GB SSD Windows 10 Home 15.6" Tasinabilir Bilgisayar 1Z1F3EA,https://hepsiburada.com/hp-15-dw2019nt-intel-core-i5-1035g1-8gb-256gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-1z1f3ea-p-HBV00000YK9L2,8,5.0,7498.7,
True,Lenovo Ideapad S145-15IKB Intel Core i3 7020U 4GB 256GB SSD Freedos 15.6" Tasinabilir Bilgisayar 81VD00E7TX,https://hepsiburada.com/lenovo-ideapad-s145-15ikb-intel-core-i3-7020u-4gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-81vd00e7tx-p-HBV00000XY7RT,5,5.0,5840.01,
True,I-Life ZED Air CX5 Intel Core i5 5257U 4GB 256GB SSD Windows 10 Home 15.6" FHD Tasinabilir Bilgisayar IL.1506X.4256G.GWI5TKB,https://hepsiburada.com/i-life-zed-air-cx5-intel-core-i5-5257u-4gb-256gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-il-1506x-4256g-gwi5tkb-p-HBV00000XY3S1,9,4.0,4499.0,
True,HP Omen 15-EK0000NT Intel Core i5 10300H 16GB 512GB SSD RTX 2060 Freedos 15.6" FHD Tasinabilir Bilgisayar 3A692EA,https://hepsiburada.com/hp-omen-15-ek0000nt-intel-core-i5-10300h-16gb-512gb-ssd-rtx-2060-freedos-15-6-fhd-tasinabilir-bilgisayar-3a692ea-p-HBV00000WUG6P,27,5.0,14999.0,
True,Lenovo IdeaPad Creator 5 Intel Core i5 10300H 16GB 512GB SSD GTX 1650Ti Freedos 15.6'' FHD Tasinabilir Bilgisayar 82D4002KTX,https://hepsiburada.com/lenovo-ideapad-creator-5-intel-core-i5-10300h-16gb-512gb-ssd-gtx-1650ti-freedos-15-6-fhd-tasinabilir-bilgisayar-82d4002ktx-p-HBV00000XUKY9,7,5.0,10499.0,
True,Lenovo V15-IIL Intel Core i5 1035G1 8GB 512GB SSD Windows 10 Home 15.6" FHD Tasinabilir Bilgisayar 82C5001FTX,https://hepsiburada.com/lenovo-v15-iil-intel-core-i5-1035g1-8gb-512gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-82c5001ftx-p-HBV00000ULWYW,58,4.0,8389.0,
True,Acer Extensa Intel Core i5 6300U 8GB 256GB SSD MX130 Freedos 15.6" FHD Tasinabilir Bilgisayar NX.EFQEY.002,https://hepsiburada.com/acer-extensa-intel-core-i5-6300u-8gb-256gb-ssd-mx130-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-efqey-002-p-HBV00000XC9KZ,26,5.0,6499.0,
True,Dell XPS 13 7390 Intel Core i5 10210U 8GB 512GB SSD Windows 10 Home 13.3" FHD Tasinabilir Bilgisayar FS210W85N,https://hepsiburada.com/dell-xps-13-7390-intel-core-i5-10210u-8gb-512gb-ssd-windows-10-home-13-3-fhd-tasinabilir-bilgisayar-fs210w85n-p-HBV00000Y4ADJ,1,5.0,10998.99,
