instock,title,url,comment_amount,rating,price
True,Oppo Realme 7 Pro 128 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-7-pro-128-gb-realme-turkiye-garantili-p-HBV00000YE30Y,163,5.0,3599.0,
True,Samsung Galaxy M31 2020 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-m31-2020-128-gb-samsung-turkiye-garantili-p-HBV00000RURJV,3002,5.0,2999.9,
True,Oppo Realme 6 128 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-6-128-gb-realme-turkiye-garantili-p-HBV00000SKQRX,635,5.0,2599.91,
True,Samsung Galaxy M51 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-m51-128-gb-samsung-turkiye-garantili-p-HBV00000X735D,253,5.0,3999.0,
True,Samsung Galaxy M21 64 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-m21-64-gb-samsung-turkiye-garantili-p-HBV00000VSEEF,339,5.0,2549.9,
True,Xiaomi Redmi Note 9 128 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9-128-gb-xiaomi-turkiye-garantili-p-HBV00000UGU4C,1260,5.0,2819.9,
True,Samsung E1205 (Ithalatci Garantili),https://hepsiburada.com/samsung-e1205-ithalatci-garantili-p-TELCEPSAME1205-S,432,4.0,172.0,
True,Xiaomi Redmi Note 9 Pro 128 GB (Xiaomi Turkiye Garantiili),https://hepsiburada.com/xiaomi-redmi-note-9-pro-128-gb-xiaomi-turkiye-garantiili-p-HBV00000TOMR2,2286,5.0,3599.9,
True,Samsung Galaxy S10 Plus 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s10-plus-128-gb-samsung-turkiye-garantili-p-HBV00000HBKG2,989,5.0,5399.9,
True,Xiaomi Redmi Note 8 64 GB (Ithalatci Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-64-gb-ithalatci-garantili-p-HBV00000RIZXF,220,4.0,2239.0,
True,Xiaomi Redmi Note 9S 128 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9s-128-gb-xiaomi-turkiye-garantili-p-HBV00000TC9HA,452,5.0,3149.9,
True,iPhone 11 64 GB,https://hepsiburada.com/iphone-11-64-gb-p-HBV00000NSBZ6,1196,5.0,7599.9,
True,Samsung Galaxy A31 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a31-128-gb-samsung-turkiye-garantili-p-HBV00000SXPN0,113,5.0,2868.0,
