author,author_rating,body,real_rating
Ş********* K****** (21) - İzmir,5,"Fiyatına yorum yapanları anlayamıyorum. Dolar kuruna göre belirleniyor sonuçta.Ben 3500'e almıştım 3-4 gün önce şimdi 3700'lerde ki piyasada aynı kalitedeki ürünler içinde en ucuz olanı(Dell, MSI, Lenovo vs.).Şu an MacBook Air'ımdan yazıyorum ve klavyesi muhteşem. Ekranı gayet kaliteli. İncecik ve çok hafif bir laptop. 13.3 inç diyince daha küçük sanmıştım ekranı ama geniş geniş.İçinde ek uzatma kablosu var 1m sanırım. Adaptörü çok güzel minik hafif bir şey. Zaten uzun gidiyor şarjı arada bir şarj edersiniz. çok fazla kullanacaksanız günde 1 kere yeter uyurken takıp bırakırsınız. TouchPad çok güzel çok işlevsel. Apple meraklısı değilim ama gerçekten çok kaliteli üretmiş adamlar. Bu işletim sistemini bilmiyorsanız farklı gelebilir kullanımı ama öğrenirsiniz çok kısa zamanda. Çok güzel paketlenmiş firmadan da satıcıdan da. Şimdilik bir sıkıntı yok. Klavyesi ışıklı çok güzel :) Hız olarak sorunsuz. 10 kadar sekmeyi açtığınızda kasmıyor bu çok iyi. sayfa geçişlerini her şeyi ayarlayabilirsiniz size bırakmış çoğu şeyi. Orijiinal olduğundan emin olabilirsiniz. ürün numarasını Apple sayfasından sorgulatabilirsiniz yine de ama gerek yok hologramlı. Şimdilik aklıma gelenler bu kadar. Tavsiye ederim daha da yükselmeden fiyatı. Hepsiburada'ya da teşekkürler.Değerlendirme sahibi bu ürünü NÖTRON satıcısından aldı.",5
Berk Ö**** (26) - Isparta,5,"Yorumlar genel olarak olumlu ben de ufak bir detay belirtip neden macbook sorusuna cevap vermek istiyorum; bilgisayarın ilk kurulumunu otelde yaptıktan sonra eve geldim bilgisayarı açtım ve wifi şifresini girmeye yeltendim ve fakat mac iphone'umdan şifreyi alıp çoktan internete bağlanmıştı bile..Değerlendirme sahibi bu ürünü ispartadijital satıcısından aldı.",5
Aslı K***** (41),5,"4 senedir kullanıyorum, şarj süresi hala 4 saate yakın, asla ısınmıyor ve donmuyor. Açma düğmesine basıyorum ve saniyesinde açılıyor. Mac kullanan abir daha başka bilgisayar kullanamaz.Virüs programı zaten gerekmiyor işletim sisteminin kendi bariyeri var.Hafifliği ve ekranı zaten tartışılmaz, asla göz yormuyor. Ama korsancıysanız, filmleri müzikleri indirerek izliyor ve dinliyorsanız size göre değil, o konu çetrefilli güvenlik, duvarı nedeniyle. Aksesuarları pahalı.",5
h****** ç***** - İzmir,5,"Ürünü dün sabah sipariş vermiştim, bugün öğle saatlerinde elime ulaştı. Paketleme, hızlı teslimat, ürünün orijinalliği kusursuz. Hepsiburada ekibine teşekkürlerimi iletiyorum! Bilgilendirme: Ethernet girişi yok bir adaptör alıp sorunu halledebilirsiniz. Depolama alanı yeterli gelmez diye düşünüyorsanız harici hard disk almanızı öneririm, hem daha uyguna gelir sizin için. Onun dışında ürün gerçekten kaliteli, her şey düşünülmüş (uzatma kablosuna kadar). Kullanımı çok pratik, birkaç gün zorluk çeker sonrasında rahat edersiniz. Ses kalitesi de beklediğimden çok daha iyiydi. Bu fiyata alınabilecek en güzel notebook budur net! Hiç düşünmeyin derim...Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
s**** a*** - İstanbul,5,"Ürün 2017 model geliyor öncelikle bunu belirtmekte fayda var. Apple farkını ortaya koymuş gerek hafifliği, gerek tasarımı ve gerek cihazın hızı olarak. Alışmak biraz zaman alıyor fakat iPad ve iPhone geçmişiniz varsa bu o kadar zor değil. Oyun oynamak istiyorsanız kesinlikle bu bilgisayarı tercih etmemelisiniz çünkü Mac'in AppStore'undaki oyunların neredeyse tamamı ücretli. Müzik, kodlama, video editleme, tasarım gibi işlerimi göreceğim diyorsanız emin olun daha iyisi ve daha hafifi bu fiyata yoktur. İşlemcisi i5 diye korktum ama bir sorun göremedim. Müzik yaptım birkaç kere ama çok hafif bir ısınma oluyor o da hoş görülebilir çünkü eski (sözde çok iyi olan) bilgisayarım patlayacak duruma geliyordu :) Kargo ve paketleme çok iyiydi. Umarım yorumum sizlere yardımcı olur.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Alican K**** - Çankırı,5,"Dün sabah sipariş ettim, bugün öğleden sonra teslim aldım. Elbette liste fiyatının %75'ine ürün alırken tereddütlerim vardı. Ancak şu ana kadar yaptığım en kârlı alışverişi gerçekleştirdiğimi söyleyebilirim. Orjinal, Apple garantisi benim kaydolmamla başlayan bir ürüne sahip oldum. Bütün kontrolleri yaptım. Ürün, şanslıysanız mağazadan aldığınızda da ulaşabildiğiniz en yüksek kusursuzluk derecesine sahip. Macbook Air çoğunlukla ekran kalitesiyle eleştiriliyor. Ben son döviz hareketi fiyatlara yansımadan önce aldığımla konuşuyorum, eşdeğeri PC'lerden geri kalır yanı yok. İlk kez bir satıcıya teşekkürlerimi sunuyorum, o da Vizyon Bilgisayar. Çizgisini koruması dileğiyle.Değerlendirme sahibi bu ürünü Vizyon Bilgisayar satıcısından aldı.",5
Mahir B**** - İzmir,5,"urun gayet iyi arkadaslar. inanilmaz bir bataryasi var. Gercekten tum gun goturuyor. Benim gibi office ve internet uygulamariyla ugrasiyorsaniz fazlasiyla memnun kalirsiniz. Ayrica office mac surumu satin aldim daha guzel 1 ara yuzle sorunsuz calistigini eklemek istiyorum merak edenler icin. Isinma problemi hic yok :) serinlemek icin elini koyabilirsiniz saka 1 yana gayet kaliteli. 1 daha windows kullanacagimi sanmiyorumDeğerlendirme sahibi bu ürünü TeknoLoSS satıcısından aldı.",5
mehmet sami d********* (60) - Bursa,5,"apple kalitesi notebook olarakta kendini göstermiş.Ulltraince macbook air beklendiği gibi proğramlar yüklenmiş halde geliyor.Kullanımı karışık gibi dursada hemen alişıyorsunuz.Dış yapısının kalitesi ince ve hafliği mükemmel masa üstü otomatik ışık ayarlı aydınlık sensörü var klavye ışıklı ve şık duruyor işlemcisi hızlı hepsiburada com vasıtasıyla NÖTRON elektronik mağazasından aldım GAZİANTEPTEN kargolandı. Ambalajlama saglamdı.Faturası ile birlikte denilen tarihte tarafımdan teslim alındı beklediğimiz ürün Değerlendirme sahibi bu ürünü NÖTRON satıcısından aldı.",5
mehtap k****** (46) - İzmir,5,"Apple macbook şüphesiz hatika bir ürün. Benim endişem bu platform üzerinden aldığım apple ürününün orjinalliği, garantisi , vb konulardı. Paketlemesinden gönderimine, ürünün orjinalliğinden garantisine herşey kusursuz. Piyasa fiyatından da oldukça uyguna satın almış oldum. Teşekkürler!Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
isa y***** (35) - İstanbul,5,"çok tereddüt ettim çok araştırdım hatta ürün elime geçene kadar şüphelerim vardı lakin ütün geldikten sonra düşündüklerim için pişman oldum çok özenli ve güzel pakaetlenmiş faturası tam ürün zaten güzel ve kullanışlı ben yorumları okudum busebeple alacak olan arkadaşlar için gönül rahatlığıyla alabilirisniz.ben turuncu bilgisayardan aldım bu arada.Değerlendirme sahibi bu ürünü Turuncu Bilgisayar satıcısından aldı.",5
y******* s***** (29) - Bursa,5,"Alalı 5 gün oluyor.performans olarak bence basarılı sarj süresi iyi gidiyor . Son güncel yazılımla geliyor. Windows pclere alıskınlar için biraz zor gelecek ilk basta ben hala çözmeye calısıyorum :)Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
