author,author_rating,body,real_rating
M***** A*** - Hatay,5,NO_COMMENT,5
v**** g***** (44) - Ankara,5,NO_COMMENT,5
O********** K****** (41) - Kırklareli,5,NO_COMMENT,5
M**** Ç**** (42) - İstanbul,5,NO_COMMENT,5
C**** D********* - Adana,5,NO_COMMENT,5
s**** k******** - Adana,5,NO_COMMENT,5
M***** D**** (27) - İstanbul,5,NO_COMMENT,5
T********** D****** (23) - İstanbul,5,NO_COMMENT,5
M***** S**** (30) - Siirt,5,NO_COMMENT,5
T********* L****** (46) - Tekirdağ,5,NO_COMMENT,5
B***** Ö****** (18) - İstanbul,5,NO_COMMENT,5
B********** K****** - Ankara,5,NO_COMMENT,5
S**** Y***** (19) - İzmir,5,NO_COMMENT,5
S**** B**** - Edirne,5,NO_COMMENT,5
s**** k****** - Denizli,4,NO_COMMENT,5
m***** a** (33) - İstanbul,4,NO_COMMENT,5
h****** k**** (33) - Hatay,3,NO_COMMENT,5
y**** y********* - Kocaeli,1,NO_COMMENT,5
m****** ö**** (27),5,NO_COMMENT,5
M***** A*** - Hatay,5,NO_COMMENT,5
v**** g***** (44) - Ankara,5,NO_COMMENT,5
O********** K****** (41) - Kırklareli,5,NO_COMMENT,5
M**** Ç**** (42) - İstanbul,5,NO_COMMENT,5
C**** D********* - Adana,5,NO_COMMENT,5
s**** k******** - Adana,5,NO_COMMENT,5
M***** D**** (27) - İstanbul,5,NO_COMMENT,5
T********** D****** (23) - İstanbul,5,NO_COMMENT,5
M***** S**** (30) - Siirt,5,NO_COMMENT,5
T********* L****** (46) - Tekirdağ,5,NO_COMMENT,5
B***** Ö****** (18) - İstanbul,5,NO_COMMENT,5
B********** K****** - Ankara,5,NO_COMMENT,5
S**** Y***** (19) - İzmir,5,NO_COMMENT,5
S**** B**** - Edirne,5,NO_COMMENT,5
s**** k****** - Denizli,4,NO_COMMENT,5
m***** a** (33) - İstanbul,4,NO_COMMENT,5
h****** k**** (33) - Hatay,3,NO_COMMENT,5
y**** y********* - Kocaeli,1,NO_COMMENT,5
m****** ö**** (27),5,NO_COMMENT,5
C*********** K*** - İstanbul,4,"Hafif ve zarif sadece çok toz topluyorDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Hakan G***** (31) - Ankara,3,"Ürün hız olarak iyi, ince, sessiz ve şık ama malzeme kalitesi kötü özellikle klavyesi baya kalitesiz. Onun dışında şarjı maksimum 2 saat dayanıyor eğer parlaklığı azaltırsanız, yoksa 1.5 saatte bitiyor. Windows yüklemek için son sürümlerden biri lazım yoksa diski göremiyor. Fiyatına göre iyi bir cihaz.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
K**** A****** (51) - Ankara,5,"süper özellik süper fiyat orta üst seviyede çok iyi performansDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
B**** K*** - İstanbul,2,"Dış materyali beklediğimden kötü geldi.Biraz daha kaliteli malzeme bekliyordum açıkçası. Ürün gayet hızlı fakat biraz daha iyi malzeme kullanılabilirdi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
HÜSEYİN A******* - Kocaeli,3,"Daha elime yeni ulaştığı için değerlendirmek imkansız. Ancak şekil görüntü ve hızını gördüğüm kadarıyla çok iyi olduğunu soyleye bilirimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Harun D***** - Şanlıurfa,1,"bilgisyayar çok güzel ama pubg oynarken aşırı kasma yapıyor ve hiç beğenmedim yetkililer bir an önce iletişime geçip yardım etmeliDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
T********* L****** (46) - Tekirdağ,5,NO_COMMENT,5
C***** A*** - Edirne,5,NO_COMMENT,5
i***** g** (46) - Ankara,5,NO_COMMENT,5
B****** T******** - İstanbul,5,NO_COMMENT,5
M****** A**** (46) - Konya,5,NO_COMMENT,5
M*** D******* - İstanbul,5,NO_COMMENT,5
a***** d**** - İstanbul,5,NO_COMMENT,5
n******* a***** - Ankara,5,NO_COMMENT,5
T**** Ş**** - İstanbul,5,NO_COMMENT,5
A**** Ç**** - Hakkari,5,NO_COMMENT,5
H**** U***** (37) - Manisa,5,NO_COMMENT,5
m**** e******* (49) - Kırklareli,5,NO_COMMENT,5
Ş**** E*** - Sakarya,5,NO_COMMENT,5
i***** ç**** (41) - Balıkesir,5,NO_COMMENT,5
