author,author_rating,body,real_rating
O********* A****** (27) - İstanbul,4,"Güzel cihaz ancak beklentinizi çok ta yükseltmeyin. Artıları : 1 - Cihazın boyutu ufak. Taşınabilirlik açısından güzel. 13'' macbook prodan daha küçük fakat biraz kalın. 2 - Cihaz gayet hafif. 3 - Touchpad çok kullanışlı. Macbooktan bu cihaza geçerken en çok bu konuda kaygım vardı ama touchpad gayet güzel. Macbooku aratmıyor. 4 - Klavyenin yazış hissiyatı gayet hoş. 5 - Cihaz kolay kolay ısınmıyor. Android Studio ve emulator çalıştırdığımda bile uzun bir süre boyunca ısınmadı. Ekranı açınca kasanın yerden yükselmesi işe yarıyor. 6 - Mevcut kamera yüz tanıma özelliği ile çok uyumlu çalışıyor. Açma tuşuna bastıktan sonra yaklaşık 8 saniyede masaüstü geliyor. Eksileri : 1 - Ekranda ışık sızmaları var. 1 yerden de değil, 3 taraftanda çok bariz şekilde ışık sızıyor. 2 - Sağ shift tuşu çok küçük. Kod yazarken çok defa yanlışlıkla enter tuşuna bastım ki enter tuşu da çok küçük. Hala alışamadım, sabır çekiyorum. 3 - Aslında çok eksi sayılmaz ama haberiniz olsun diye söyleyeyim bunu. Beraberinde gelen mx250 ekran kartıyla çok oyun oynayamazsınız. Zaten ultrabook, oyun oynamak gibi bir beklentiniz olmasın keza oyun açılsa bile grafikleri çok düşürmek gerekiyor. 4 - Herkes sesi çok iyi diyor, harman kardon hoparlör var alette ama ses çıkışı çok zayıf. Hoparlör hadi bir nebze işinizi görebilir ama 16ohm bir kulaklığı bile doğru düzgün besleyemiyor. Elektronik müzik dinlerken gaza geliyorsun sesi açayım diyorsun zaten ses sonda. Şimdi ses kartı al diyenler olacak ama bir macbook deneyin arkadaşlar, ses çıkışı çok iyi. Tamam arada fiyat farkı var ama bu kadar da dandik olmasaymış keşke. 5 - Bende ki cihazı düz bir zemine koyuyorum ve sağ ön taraf havada kalıyor. Bana gelen cihaz düz değil maalesef. :DDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
NEVZAT TARKAN A*** (50) - İstanbul,5,"HB dan satın aldım. Yazılım hediyesi nedeniyle biraz geç kargolandı. Indirime girdiği hafta emsallerine göre çok iyi sayılacak bir fiyatı vardı. Eğer bütçeniz yetmekse ise, çok iyi bir alternatif. Özellikle pili tasaruf modunda ve ekran parlaklığını da az düşük kullanarak, aktif olarak asgari size 6 saat eşlik edecektir. Kalvye tuşları ve aralığı çok iyi. Mouse pad kısmı çok işlevli. Bu nedenle alışmak istiyor ama benim gibi sunum ve not hazırlamakta iseniz gerçekten çok iyi. Isınma sorunu ben yaşamadım. Tüm kasası alüminyum ve sağlam yapıda. Ekran kartı 250 olan. Oldukça ince sayılır. Paket içinden Asus slave kılıf çıkmakta.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Ş**** K****** - Kilis,5,"Cihaz her şeyiyle mükemmel. Touchpad'i ile ilgili kaygılarım vardı ama bence sorunsuz çalışıyor. İkincil ekranı o kadar sık kullanacağımı düşünmüyorum, yazılımsal olarak hala geliştirilmesi gerekiyor. Klavye hissiyatı berbat!!! Sağ taraftaki Shift, Enter Nokta Virgül aşağı yukarı tuşarı hepsi birbirine karşıyor. Böyle bir dizayn hatası ancak zorlanarak olur. Alırsanız 14 inchinde sanırım klavye daha düzgün.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
B**** A**** - Kayseri,4,"Daha önceden macbook air kullanıcısı olarak Windows benim için yeni bir deneyim oldu. Touchpad kullanımında çok bir farklılık yok. Sadece macbookda alt+tab tuşunun yaptığı işi 3 parmakla kaydırarak yapıyorduk. Bu touchpad ile o olay olmuyor malesef. Screen padi de çok işlevsel bulamadım. Belki tam kullanmadığım için olabilir ama sadece ikinci ekran olarak kullanmak için olabilir. Onun dışında çok çok kullanışlı bulamadım. Bilgisayar şık ve güzel. Diğer yorumlarda bahsedildiği gibi ilk başta güncellemeler vs yapılırken bilgisayar ısınıyor ve fan sesi çıkıyor. Ama normal durumda uğraşırken ısınma sorunum olmadı.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
S*** S**** - Bursa,4,"genel olarak çok beğendim. ekranı bazıları için küçük gelebilir ama benim için ideal. gayet hafif taşıması rahat. geldikten bir gün sonra screen takıldı bir defa ama bilgisayarı kapayıp açınca düzeldi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
m***** t******** (43) - Antalya,5,"Bozdan Teknoloji üzerinden sipariş vermiştim. İlgili ve düzgün bir mağaza. Müşteriyle ilişkileri iyi, paketlemeleri özenli. Tavsiye ederim. Ürün çok estetik, kullanımı çok keyifli. Bana göre 13'' ekran büyüklüğü günlük kullanım için gayet yeterli, ebatlarından dolayı her yere kolayca taşınabilir.Değerlendirme sahibi bu ürünü BOZDAN Teknoloji satıcısından aldı.",5
Bahadır D******* (27) - Eskişehir,5,"Notebook son derece zarif bir tasarıma sahip.Son derece hızlı ve sizi kullanırken hiç yormuyor.İstediklerinizi yapmaya izin veriyor.ilk açıldıktan sonra arada bir düzenli aralıklarla tıkır tıkır ses geliyor bunun ne olduğunu anlayamadım.Onun haricinde hiç bir sorun yok gayet başarılı ve zarif bir ürün.Değerlendirme sahibi bu ürünü Nethouse satıcısından aldı.",5
A**** Ç**** (41) - Konya,5,"Hepsijet Kargo sorununu ortadan kaldıracak gibi duruyor. Pazar günü bile teslimat yapıyorlar.birçok kaliteli üründe bile kullanıclar kargo şikayetleri nedeniyle puan kırarken ben sadece Kargo için yazıyorum.tebrikler hepsijet.böyle devamDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Z*** ö****** (63) - Bolu,5,"Hızlı kargo hız delisi bilgisayar çok memnun kaldım büyük ekran laptoplara gerek yok heryere taşınabilirDeğerlendirme sahibi bu ürünü Vizyon Bilgisayar satıcısından aldı.",5
M**** A***** - Kocaeli,5,"hızlı kargo ve mükemmel paketleme. Çok memnun kaldım.Teşekkürler.Değerlendirme sahibi bu ürünü BOZDAN Teknoloji satıcısından aldı.",5
