author,author_rating,body,real_rating
R*** K********* (27) - İstanbul,5,"Ürünü sipariş verdiğimde bir yorum yapmıştım. Ve ürün elime ulaştığında bir yorum daha yapacağımı belirtmiştim. Ürün elime geçti ve 48 saatlik test sürecinden sonra bir yorum daha yapıyorum: Öncelikle hepsiJet tarafından kargom belirtilen süredei güzel paketlenmiş olarak gönderildi. Laptopa bir sağdan bir soldan sünger geçirmişler ve laptop ebatında bir koliye koymuşlar. Onu da bir tık büyük koliye koymuşlar. Kısaca ürün sağlam ve hasarsız geldi. Ürünü ilk elime aldığımda hafifliği hoşuma gitti. Gri rengi ve genel tasarımı harbiden şık. Kapağı falan çok hoş. Laptopun klavyesini de beğendim. hızlı hızlı on parmak yazılar yazarken hazz alıyorum. Oyun oynarken biraz touchpade çarpıyo elim ama o benim alışmamış olmamdan kaynaklanıyor. Laptop genel olarak sessiz ve serin çalışıyor. Ancak bir setup kurarken vs biraz sesini duyabilirsiniz. ama rahatsız etmiyorum. Fan da aynı şekilde dünyanın en sessiz fanı değil tabi ki de ama pcde HDD değil SSD olduğu için emin olun bu ses sizi rahatsız etmiyor. SSD demişken, bilgisayar 5 saniyede açılıyor. Şaka yapmıyorum baya bildiğiniz power tuşuna basınca masaüstüne ulaşmak 5-6 saniye. Laptopun ekranı IPS ekran değil. VA ekran. Ben TN'den daha iyi olur diye umut ediyordum ama hemen hemen aynı. Ekran kötü değil ancak yansımasız mat IPS ekran deneyiminiz varsa o deneyimi bu ekranda bulamazsınız. Batarya performansı da başarılı. Baya saatlerce kullanabilirsiniz şarja takmadan. Ama tabi bu şarjı etkileyen çok şey var. Ben yüksek performans modunda kullanmama rağmen tatmin edici. Hoporler ses seviyesini de beğendim. Açık havada denemedim ama ev ortamında gayet güzel. Şöyle laptopu 1-2 metre önünüze koyup bi yere uzanıp yanınızda eşinizle film falan izleseniz sesi az geliyo diye şikayetlenmezsiniz. Son olarak oyun pereformansına gelecek olursak; Pubg Mobile Emilatörü kurdum ve birkaç ayar yaptıktan sonra 1-2 el oynadım. Güçlü masaüstüler kadar olmasa da düşük grafiklerde iş görür. Kısaca tavsiye ediyorum. Güzel Laptop.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
MUSTAFA B**** (45) - Manisa,5,"Hp Kalitesi Daha önce hp pavilion serisi kullandım. 10 yıl oldu sorunsuz kullanıyorum. Paketleme ve teslimat çok iyiydi. Manisa’ya 1 günde teslim edildi.Değerlendirme sahibi bu ürünü VPBİLİSİM satıcısından aldı.",5
R*** K********* (27),5,"Öncelikle ürün henüz elime ulaşmadı. Kağıt üstündeki özelliklerine dayanarak bir yorum yapayım, ürün elime ulaştığı zaman da inceleyip bir yorumda bulunacağım. İşlemci AMD Ryzen 7 serisi 3700u işlemcisi. Selefi olan intel işlemcilere göre hem daha ucuz hem daha performanslı olduğu bilinen bir gerçek. Dahili ekran kartı vega 10 ise Nvidia'nın Mx 230 GPU'su ile benzer güçte. Yani orta ve düşük grafik ayarlarında çok güzel oyun deneyimi yaşarsınız. Gelelim bu laptopun ''GERÇEKTEN'' artılarına. Ekran bi kere TN panel değil SVA panel. İsterseniz googlda TN vs SVA yazıp bir bakın. Bir de Full HD çözünürlükte, selefi olan diğer laptoplar gibi. Ram konusunda ise 8 GB ram çift kanal olarak yani 2x4 şeklinde karşımıza çıkıyor. Bilenler bilir Ryzen işlemcilerde Ram'in çift kanal olmaması çok çok önemlidir. SSD'nin 512 GB olması ve işletim sisteminin FreeDos deil Windows10 olması gerçekten birçoğumuzun önemsediği bir konu. Peki fiyat olarak avantajlı mı? Malum döviz kuru, vergiler, Pandemi yüzünden evden çalışanların artırdığı talep ve Corona sayesindeki stok kıtlığını düşündüğümüzde; bir de buna ülkemizde bilerek stok yok deyip ürün satmayanların fiyatları etkilediğini düşünürsek evet. 4 - 4.5 bandında, özellikle 512 ssd windows işletim sistemi ve ryzen 7 işlemcisini düşündüğümüzde bugün (Haziran 2020) itibariyle alınabilecek bir laptop. Gönül isterdi ki üç küsur olsun ama yapacak bir şey yok. Laptopa ihtiyacınız varsa ve aradığınız fiyatlar 4 - 4.5 civarıysa şuanda alınabilecek tek laptop bu laptop. Ürün elime geçtiğinde tasarımı, kasası, pil ömrü, ısınması gibi diğer kağıt üstünde belirtilmeyen özelliklerini inceleyip tekrar bir yorumda bulunacağım. Not: Ürünü hepsiburada satıcısından aldım.",5
MURAT K*** (43) - Tekirdağ,5,"Keşke ıps ekran olsaydı. Sva' da fena değil. Hızı iyi. Fiyat açısından reyzen 7 3700u işlemci ve 512 ssd için değer. Amd radeon vega 10 grafik kartı ile düşük veya orta ayarda tüm oyunları oynatır. Kasa kalitesi idare eder. Öğrenci için lüks bile sayılır. Hediye gakademi güzel. Sadece Oyun için alınmaz. 8 Gb ram ile Ofis,Öğrenci ve Ev kullanımı günlük işler için fazla fazla yeterli. Tabiki mevcut 700 usd civarı fiyatına göre.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
R*** K********* (27) - İstanbul,5,"Bu ürünle ilgili 3. yorumum. Bir almadan önce, bir de aldıktan sonraki izlenimlerimle ilgili yorum yapmıştım. Bu Yorumda da uzun kullanım sonrası deneyimlerimi aktarmak istiyorum: PUBG Mobile Emülatör kurdum bilgisayara. Gerek bilgisayarın, gerek emülatörün en ideal ayarlarını yaptım. Oyunu da düşük grafikte yüksek fps'te akıcı oynayacak şekilde ayarladım. 45-60 FPS arası aldım. Bildiğiniz üzere pubg mobile oyunu bilgisayar oyunu değil ve emülatör aracılığıyla oynandığı için sisteminiz ne olursa olsun 60 fps'i geçemezsiniz. Bu bilgisayar, düşük grafik ve ayarlarda pubg mobile'ı 45 fps civarında çok güzel oynatıyor. Fatih veya As liginde iyi bilgisayarı olanlara karşı zorlanırsınız ama beklentisi çok yüksek olmayanlar için gayet akıcı ve güzel bir pubg mobile deneyimini bu bilgisayarda yaşayabilirsiniz. RENDER performansına gelecek olursak: 3 dakikalık, 3.5 GB'lık avi formatında bir videoyu, sony vegas pro ile çok yüksek ayarlarda mp4'e renderladım. Tam 20 dakika sürdü. Bilgisayar biraaaazcık ısındı ama önemli değil. Bilgisayar prize takılı olmasaydı belki daha az ısınırdı. Bilgisayarın genel olarak ısınması siz kullanıcıyı neredeyse hiç rahatsız etmiyor. Çünkü klavyede pek hissedilmiyor. Sadece sol taraftaki esc, shift, caps lock kısmı biraz ısınıyor. Ben bu laptopu aldığımda fiyatı 4.5'un altındaydı. vakti zamanında daha da ucuzmuş ama malum corona ve dolar kuru. o yüzden fiyat olarak bir şey diyemem ama render ve pubg mobile olarak beklentisi yüksek olmayanlar için çok güzel bir laptop. kesinlikle öneririm.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
B******** A***** (23) - Çanakkale,5,"Bilgisayar elime bugün geçti ve direk w10 kurulu geldi ve bütün donanımlar yüklü haldeydi, uğraştırmaması beni sevindirdi. Kurulumdan sonra bilgisayar gayet hızlı, 5 sn de açılıyor. Ses düzeyi gayet kaliteli. Kasa metal ve kaliteli duruyor. Ramler çift slot ve yüksektilebilir ram miktarı cmd işletim sisteminden 128gb olarak gözüküyor, yani iki tane 64gb lık ram takıp kullanabilirsiniz. Üstündeki ramler ise 17cl. İlk işim gta5 yüklemek oldu ve oyun orta düşük ayarlarda hiç kasmadan sorunsuz oynanıyor. Bu fiyata daha iyisi zor, tavsiye ederimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
B******** A***** (23) - Çanakkale,5,"Ürünü şu an sipariş vermiş bulunmaktayım. 4299 liraya en iyi ürün şu an bu. Eski bir hp laptop bulup müşteri hizmetlerini arayarak 480tl indirim kampanyasındanda yararlandım ve 3820 liraya gerçekten çok uyguna geldi. Fakat maksimum ram desteğini hp yetkilileride bilmiyor, alıp içini açıp bakın dediler. En fazla ne kadar ram takılabiliyor, bilen varsa aydınlatsın lütfenDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
H**** A**** - Tekirdağ,5,"7 haziranda söylediğim laptopum 2 gün sonra elime geçti. Öncelikle tasarım olarak beni çok tatmin etti. Dış tarafı gümüş rengi klavye kısmı siyah tasarımı ile çok güzel görünen bi laptop.Videolardaki görüntü kalitesi ekranın matlığı güzel.Ses ve kamera da aynı şekilde yeterli. Özelliklerine de bakıcak olursak ryzen7 3700u vega 10 8Gb ram, fiyatına göre çok iyi. Ufak işlerde kullandım(youtube vs ) bir ısınma problemi görmedim. Herhangi bir oyun denemesi yapmadım ama özelliklerine göre çoğu oyunu düşük veya orta seviye kalitelerde açar gibi duruyor. Tabi ki oyun bilgisayarı değil ama günlük işlerin yanında oyun da çalıştırma avantajı olduğu için kullanışlı olur.Laptop almak için neredeyse 3 haftadır araştıyorum en az 100 tane laptop incelemişimdir ve buna karar kıldım. Almanızı öneririm.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
U*** O**** (44) - Ankara,5,"Cuma akşam saatlerinde siparişi verdim. Cumartesi 11:30 gibi elimdeydi. Hız konusunda beklentimi aştılar. Kurulum için birşey yapmaya gerek yok gibi mail adresinizi girmeniz ve modem ayarları dışında diğer ayarlamalar oldukça basit. Kurulum için 15 yeterli oldu. Hız olarak oldukça etkileyici bir yapısı var. Gerçi fazla program kurulumu henüz yapmadığım için umarım beni utandırmaz. Daha AutoCAD ve Office kurmadım. Ama SSD ve 8 GB RAM ile performansın belirgin şekilde düşmeyeceğini düşünüyorum. İsınma konusunda belirgin bir sorunu yok. Ama hava kanalları tıkanmaya yatkın gibi. Yılda bir temizlik gerekecek. Harddisk olmadığı için ses ve titreşim yok. Ekranı yansıma yapmıyor ayrıca yandan bakınca görünmüyor. Yolculuk sırasında rahatlıkla kullanabilirsiniz. Oyun için kullanılabilir ancak ben Office, iş ve eğitim amaçlı aldım. Laptop için araştırma yaparken en çok satılanlar arasında olmasına rağmen bu ürün ile ilgili az yorum olması beni biraz düşündürmüştü. İyi bir tercih yaptığımı düşünüyorum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
T***** T**** (41) - İstanbul,5,"12 haziran 2020 tarihinde satın aldım, elime bugun ulaştı. Açılışı ve kapanışı çok hızlı. Ekran çözünürlüğü çok iyi. Laptop oldukça hafif. Kamera görüntü kalitesi oldukça başarılı. Tavsiye ederim. Not: Bilgisayarı aynı gün teslim alabilmek için hepsi jet ekstra ücret ödedim ancak maalesef ertesi gün akşam getirdiler. O da zar zor. O kadar çok farklı yerden 2 firmaya da ( hepsiburada ve Hepsi Jet ) ulaşmaya çalıştım ancak maalesef karşıma inan yerine robot mesajlamalar çıktı. Kargo firması hepsiburada ile aynı yapıda değil sanırım. Hepsiburada benden parasını aldığı halde ürünü kargo firmasına aynı gün teslim etmemiş ve aynı gün resim detayını iletmemiş. onun yerine bilgisayarın yanında promosyon verilen zarf geldi bana aynı günde. Şaka gibi. Derdimi hepsijet e anlattım ancak bir türlü anlamak istemediler, insiyatif almadılar. Hepsiburada aynı gün teslim için benden aldığı ekstra parayı iade etmelidir.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
