author,author_rating,body,real_rating
Ender Cemil Z*** (47) - Gümüşhane,5,"Aynı fiyata i5 işlemcililer satılırken i7 işlemcili 256 SSD 1TB HDD 2Gb ram ekran kartı 8Gb Ram bellek ile muadillerine göre uygun fiyatlı, ekşi yönleri:CD-ROM sürücüsü yok.pil dahili çıkarılamıyor.2usb sağ tarafta güç girişinin yanında ,1 adet micro USB solda ,fazla USB port için harici USB çoklayıcı lazım olabilir. Alışveriş ten memnunum, teşekkürler H.B.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
n**** p***** (54) - İstanbul,5,"Hepsi jet tarafından zamanında teslim edildi. (Hediye olarak gönderilecek ingilizce online eğitim seti kutudan çıkmadı) Laptopun genel görüntüsü ve klavye (ışıklı) bence güzel. Açılma kapanma beklendiği gibi gayet hızlı. Eksi yönler olarak ekran ips yazılış ancak benim önceki HP PV6 daki gibi parlak bi ekran değil sanırım üzerindeki yansıtma önleyici kaplama parlaklığı azaltıyor.ayrıca bence bazı küçük dizayn hatalarıda var örnegin 2 adet Usb sag tarafa tamda güç girişinin yanına konulmuş 1 tanede diğer taraftaki type c yanında olsa bence daha iyi olurdu. Alt kısımda laptopu zeminden yukseltmek için yatay olarak bir set konulmuş birkaç mm yüksek ve 2 parça halinde yapılsa belki daha iyi bir soğutma sağlanabilirdi. Not: M Win 10pro yükleyenler için 1803 sürümünde toucpad calışmadı 1903 sürüme yükselince çalıştı.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Ö**** K*** (6) - Ankara,4,"Ürün elime sorunsuz bir şekilde ulaştı. Çok iyi paketlendiğinden ve hızlı bir şekilde ulaştırıldığından dolayı teşekkür ediyorum. Ürün ile ilgili yorumlara gelince, negatif yönleri: 1) Kasa plastik ve çok dayanıklı görülmüyor. 2) USB portları birbirine çok yakın. 3) Keyboard kısmı siyah olabilirdi. Çünkü arka plan ışıklandırılmasında gözü yoruyor. Bundan dolayı siyah renk almanız tavsiye olunur. 4) Windows 10 yüklerken touchpad çalışmıyor. Tuşlarla idare etmeniz gerekecek (Tab tuşu ve Enter tuşu ile). Windows yüklendikten sonra güncellemelerde touchpad sorunsuz çalışıyor. 5) Uzun kullanımlarda bilgisayar ısınıyor ve pil ömrü kısa. Pozitif yönleri: 1) 10. Nesil i7 bilgisiyar alabileceğiniz en iyi fiyat 2) Oğlumun online derslere katılması ve genel kullanım için almıştım. Fazlasıyla ihtiyacımızı karşıladı. 3) HP Türkiye garantisi altında. Çünkü Hepsiburada.com HP garantili ürünler satıyor. Sonuç olarak, fiyat performans analizi yapıldığında alınacak en iyi bilgisayar. Ayrıca Hepsiburada.com bilgisayar alınacaksa ve özellikle de HP bilgisayar alınacaksa seçilecek en güvenilir site. Gönül rahatlığıyla bilgisayar alabilirsiniz. Teşekkürler.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Ö**** K*** (6) - Ankara,4,"Ürün elime sorunsuz bir şekilde ulaştı. Çok iyi paketlendiğinden ve hızlı bir şekilde ulaştırıldığından dolayı teşekkür ediyorum. Ürün ile ilgili yorumlara gelince, negatif yönleri: 1) Kasa plastik ve çok dayanıklı görülmüyor. 2) USB portları birbirine çok yakın. 3) Keyboard kısmı siyah olabilirdi. Çünkü arka plan ışıklandırılmasında gözü yoruyor. Bundan dolayı siyah renk almanız tavsiye olunur. 4) Windows 10 yüklerken touchpad çalışmıyor. Tuşlarla idare etmeniz gerekecek (Tab tuşu ve Enter tuşu ile). Windows yüklendikten sonra güncellemelerde touchpad sorunsuz çalışıyor. 5) Uzun kullanımlarda bilgisayar ısınıyor ve pil ömrü kısa. Pozitif yönleri: 1) 10. Nesil i7 bilgisiyar alabileceğiniz en iyi fiyat 2) Oğlumun online derslere katılması ve genel kullanım için almıştım. Fazlasıyla ihtiyacımızı karşıladı. 3) HP Türkiye garantisi altında. Çünkü Hepsiburada.com HP garantili ürünler satıyor. Sonuç olarak, fiyat performans analizi yapıldığında alınacak en iyi bilgisayar. Ayrıca Hepsiburada.com bilgisayar alınacaksa ve özellikle de HP bilgisayar alınacaksa seçilecek en güvenilir site. Gönül rahatlığıyla bilgisayar alabilirsiniz. Teşekkürler.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
E********* M***** (45) - İstanbul,5,"Autodesk programları için aldık . Harici ekran kartı olması bizim açımızdan önemliydi. F/P açısından oldukça iyi ama biz indirimdeyken almıştık. Tek eksi yönü USB port sayısı az 2 adet. RAM upgrade i gerekebilir ama çok sorun olacağını sanmıyorum. Boş bir slot var yazıyor. Yoğun kullanımda fan sesi biraz rahatsız edebilir. Fan seçimi daha kaliteli olabilirmiş.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
R******* A***** - Batman,5,"Bu fiyata bu özellikteki bilgisayarı bulmak zor gerçekten. Fiyat performans ürünü. Diğer sitelere oranla 1000 tl ye daha ucuza aldım. Tasarımını beğendim.Gelen ürünümde bir sıkıntı vardı. Müşteri hizmetlerine durumu anlattım. Değiştireceklerini söylediler. Bekliyorum. Çok yardımcı oldular gerçekten.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
R**** Y**** (37) - İstanbul,4,"Laptop genel itibariyle başarılı. Ancak birincil disk olarak HDD takılması sebebiyle son teknoloji cihazı HDD nin hızında kullanıyorsunuz. Normalde bu tarz satışı hızlandırıcı ek HDD takma işlemleri ikincil olarak yapılmasını beklersiniz, ve bu da yedek disk olarak çalışır. Ancak birincil (C sürücüsü) olarak takıldığı için asıl hızlı olan SSD yi aktif olarak kullanmak mümkün omuyor. Windows kurarken SSD yi seçmeme rağmen HDD ye kurdu. Ben de aktive etmedim. Şu anda makinaının içinde kullanılmayan bir HDD var. Böyle bir saçmalık görmedim. HP den ürünü doğrulattım bu üründe HDD yok dediler.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
m************* a**** (48) - Ankara,5,"Bu fiyata 10. Nesil i7 islemcili bilgisayar bulmak büyük bir şans. Sapasağlam geldi. Çok memnunum. Arada oyun bile oynuyurum. İnanılmaz. Her açıdan yeterli.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Aziz A********* (18) - Düzce,5,"Ürün dün sabah elime geçti fakat yoğunluğumdan ötürü işletim sistemini ve gerekli araçları bu sabah kurdum. Isınma sorunu oyun oynarsanız var. Günlük işlerimi yaparken böyle bir olayla karşılaşmadım. Şarjı 2.5-3 saat gidiyor. Benim aldığım zaman fiyatı uygundu. Genel olarak memnunum. Unutmayın HP bilgisayar üretirken diğer firmalar piyasada yoktu. :)Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
l**** h********** (39) - Konya,5,"kampanya döneminde denk getirdim oldukça hesaplı oldu. WİN 10 YÜKLEDİKTEN SONRA TOUCPAD VE BAZI DONANIMLARI GÖRMEDİ. TEK YAPMANIZ GEREKEN WİNDOWS GÜNCELLEMELERİNİ YAPMANIZ. GÜNCELLEMEDEN SONRA HER ŞEY KENDİLİĞİNDEN DÜZELDİ.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
