author,author_rating,body,real_rating
Alican Ç******* - Adana,5,"Ürünü Huawei Türkiye satıcısı siparişin üzerinden 4 gün geçtikten sonra sorunsuz biçimde elime ulaştırdı. Ürün sayfasında belirtilmese de bilgisayarın yanında sırt çantası ve BT mouse gönderdiler. Çanta cihaz için biraz büyük. Zira bilgisayar bir A4 kağıdı büyüklüğünde. İnanılmaz zarif ve taşınabilir bir cihaz. Kasası oldukça sağlam. Ekran kasa oranı çok iyi bu sayede kasa küçük tutulmuş. Ekran mükemmel sonuçlar veriyor. Renkler ve çözünürlük şahane. Performans günlük işleriniz ve çok ağır olmayan programlar için (photoshop gibi) fazlasıyla yeterli. Isınma ve fan sesi sorunu şimdiye kadar hiç yaşamadım. Pil performansı modunda 5-6 saat ekran süresi alıyorum ancak bunu dert etmemek lazım çünkü kutudan çıkan adaptör 65 watt gücünde ve bilgisayarı sadece 75 dakikada tam şarj edebiliyor. Şarj cihazı 150 gram civarında olduğu için taşıması da çok kolay. Intel işlemcili model kadar pil süresi sunmasa da çok çabuk şarj olduğu için bunu kafaya takmamanızı öneririm. Cihazda yalnızca 2 adet usb-C portu var. Piyasadan ucuza dönüştürücü alabilirsiniz bu da çok dert değil bana kalırsa. Kutudan Avrupa sürümlerinde olduğu gibi dock çıkmadı. Ses performansı beni olumlu yönde şaşırttı. Ram ve ssd hızı bu fiyat için oldukça iyi. Fazlasıyla akıcı bir günlük kullanım deneyimi sunuyor. Oyun oynama planlarını varsa bu bilgisayarı düşünmeyin derim. Zaten amacı da bu değil. Gidip daha kalın ve ağır olan ama harici GPU içeren modellere bakabilirsiniz. Ofis işleri, günlük kullanım ve multimedya için harika bir F/P Ürünü olduğunu düşünüyorum, herkese tavsiye ederim.Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
O****** K**** (22) - Kocaeli,5,"Cihazı Çok beğendim. 2K Ekranı çok canlı duruyor. Youtube ve Netflixten 4K video açınca adeta filmi yaşıyorsunuz o derece. Bunlara ilaveten Dolby Atmos Özelliğini açıp kapatabiliyorsunuz. Açtığınız ses o kadar berraklaşıyor ve güzel oluyorki. Sağdan gelen arabanın sesi sağ taraftan vs geliyor ve buda bizim izleme kalitemizi artırıyor. Cihazın yanında tam 65W güçünce Typ-c Adaptörü geliyor. İster telefon şarj edin ister tablet istersenizde Powerbank şarj edin. Laptopu 15dk şarj edince 2 saat kullanım ömrü sunuyor. Ben bu laptobu oyun için almadım. Öğrenciyim, ders çalışmak Netflix Youtube Twitter ve internet sitelerinde vakit geçirmek içiin aldım ve çok memnun kaldımı söylemek istiyorum. Cihazdaki parmak izi teknolojisi gerçekten çok güzel ve çok hızlı Bilgisayar 3-4 Saniye içersinde açılıyor. İçinde Samsung M2 SSD var. 3500 MB okuma, 1500-2000 MB yazma verilerini veriyorki gerçekten muazzam. Ekran Çok kaliteli IPS panel olmasıda güzel, yan açılardan bakınca görüntü ve renk kalitesinde gram bozulma olmuyor. Klavyenin 2 derece aydınlatması var. Sabah olmasına rağmen açınca ışıklar belli oluyor. Akşamları çok efsane güzel oluyor ve kullanımı kolaylaştırıyor. Kamerası 720P Kalitede resim video çekebiliyorki çok üst düzey birşey beklmeniz gerekmez bu fiyatta ama işinizi görüyor ben beğendim diyebilirim. Ayrıca D15 ve D14 serilerindeki gibi klavyede gizli değil. Ekranın üstünde. Dolayısıyla daha güzel bir açı yakalamış oluyorsunuz. Ekran parlaklığı izlediğim incelemelerde az denilmiş. 300 Az gelebilir ama ben maximum parlaklık yapınca çok göz alıyor. Bence parlaklığı gayet yeterli ve fazla bile. huawei telefon Kullananlar internet bağlantısı olmadan telefonu bağlayıp kablosuz bir şekilde resimlerini cihaza yükleyebilirler. Cihazın 1 tane eksik noktası var o da 8GB Ram olması. Anakart da 1 adet ram yuvası var ve max 8gb destekliyor. 16 GB yapamıyorsunuz. Dediğim gibi Amacınız oyun oynamak değil Dizi izlemek Netflix Youtube vs takılmak ve Ders çalışmak ise benim gibi, kesinlikle içinizi görecektir. Cihaz 1.39 KG ağırlığa sahip. Oldukça hafif, taşıdığınızı hissetmiyorsunuz. Oyun olarakta Asphalt 9 kurdum gayet akıcı bir çekilde oynadım sonra sildim. Fikir edinmek amacıyla kurmuştum. Genel itibariyle Ben çok memnun kaldım. Alacak arkadaşlara Şiddetle tavsiye ederim. 2K IPS Ekranın tadını aldığınız gün hissedeceksiniz. En az 4-5 Yıl kullanmayı düşünüyorum. Bunlara ilaveten, cihazın yanında Huawei Freelace Bluetooth kulaklık hediye geldi ve fiyatı 500 TL. Gine Huawei CD20 Swift Bluetooth Mouse hediye geldi bunun fiyatıda 350 TL. Toplamda Cihazla birlikte 850 TL lik hediyemizde geldi. Buradan teşekkür etmek istiyorum Huawei'ye ABD neden ambargo koyuyor belli oluyor. Laptop Metal kasaya sahip gerçekten Çok preimium his veriyor. Düşünenlere, 2 cihaz arasında kalan ama seçim yapamayanlara Bu Canavarı Tavsiye ediyorum. 100/100 Puan aldı benden NET.Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
irem g**** - İstanbul,5,"Bilgisayarı almadan önce hem türk hem de yabancı kanallardan epey bir videosunu izlemiştim. O yüzden karşılaşacağım olumsuzlukların farkında olduğum için üzülmedim. Olumsuzlukları sıralayacak olursam: 1-Birden fazla işlem yapıldığı zaman ısınıyor bu yüzden fanlar soğutma amacıyla devreye giriyor ve biraz yüksek ses çıkarabiliyorlar. Beni fazla rahatsız etmedi çünkü sürekli bir ses hali yok. İşini gördükten sonra sesler duruyor. 2- Şarj süresi gün içinde sık kullanılıyorsa tek bir dolumla bir gün götürmez. Fakat şarj aleti bir buçuk saatlik bir sürede tamamiyle doldurabiliyor. 3- Sadece iki adet type-c girişi ve bir adet kulaklık girişi var. Bunu bilerek almıştım zaten ama buraya yine de yazmak istedim. Yukarıda sıraladıklarım haricinde bir olumsuzluk göremedim. Klavye hissiyatından çok memnunum. Şu an bilgisayarın klavyesinden yazıyorum ve yazdıkça yazasım geliyor:D. İlk kutudan çıkardığım zaman tasarımı, boyutu, inceliği aşırı hoşuma gitti. Ağırlığı gayet güzel taşırken asla yormaz. Ses konusunda yeterli ama çok iyi olduğu söylenemez. Yanında gönderilen mouse gayet kaliteli ve zarif. Avuca tam oturuyor. Çantadan pek memnun kalmadım çünkü büyük ve erkeksi duruyor. O da zaten benden kaynaklı bir durum yoksa çantanın koruyuculuğunun ve kalitesinin de iyi olduğunu düşünüyorum. Teknik detaylar hakkında yorum yapamayacağım fakat youtube videosu olarak: Donanım Haber | Huawei MateBook 13 2020 inceleme | Macbook Air katili mi? öneriyorum. Oyun testlerinden fanların çıkardığı seslerin testine kadar birçok inceleme mevcut.Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
A********* U**** (36) - Ankara,5,"Ürünün malzeme kalitesi çok başarılı, premium bir cihaz kullandığınızı sonuna kadar hissettiriyor. Ekran gerçekten çok başarılı, 3:2 formatında olması ofis işleri için büyük avantaj sağlıyor. İlanda belirtilenin aksine dokunmatik desteği sunmuyor. Keşke olsaymış dedirtti. Isınma miktarı gayet makul ve fanı sesi de kabul edilebilir seviyelerde. Ses kalitesi boyutlarına göre iyi. Şarj aleti çok ufak neredeyse cep telefonu şarj aleti boyutlarında, çok başarılı. Kutudan usb type-c adaptörü çıksaydı çok iyi olurdu ama onu ekstradan almanız gerekecek, iki type-c çıkışı haricinde başka bir çıkış bulunmuyor. Özetle MS office işleri ile uğraşıyorsanız yada hafif photoshop işleri yapıyorsanız bu ürünü tercih edebilirsiniz. Özellikle bu fiyat bandında çok başarılı bir ürün sunmuşlar. Yanında hediye gelen çanta baya kaliteli, mouse ise vasatın üstünde. Tavsiye ederim.Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
Ş**** S**** - İzmir,5,"Ürün cidden çok premium bir ürün hissiyatı veriyor. Daha öncesinden macbook pro kullanmış birisi olarak, kalite olarak macbook kalitesi var. Bu fiyat bandında alınabilecek en iyi bilgisayarlardan olduğunu gönül rahatlığıyla söyleyebilirim. Eksileri yok mu? Tabi ki var. Bana göre ekran parlaklığı az geldi. Daha fazla olabilirdi. Ek olarak type c aparatının da bu ürün içinden çıkmaması kendimcee büyük bir eksidir. Ve 2020 yılına gelmemize rağmen stok olarak 256 gb ssd ile gelmesi yine kendimce bir eksi. En az 512 gb olmasını beklerdi insan. Alıcak kişiler de yine benim bu yorumu dikkate alaraktan ve youtube daki ürün hakkında inceleme videolarına bakarak rahatlıkla kararını verebilir. Ürünü hepsiburada nın kendisinden indirimli olarak satın aldım. Yanında çanta ve fare de ücretsiz olarak gönderdiler. Ve direk ilk iş gününde kargoya verdiler. Bir gün sonrasında da ürün elime ulaştı. Kargo çok hızlıydı.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
b**** k******* (26) - İzmir,5,"Gerçekten şık bir ürün. iki gün gibi kısa bir sürede elimize geçti satıcıya teşekkür ediyorum yanında mouse ve taşıma çantası da gönderdi. Hafif ve güzel bir bilgisayar yalnız USB girişi yok bunun için C-type hub almanız gerekiyor bilginiz olsunDeğerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
Gazi k** (42) - Çankırı,5,"Normal bir aile için daha iyisi gereksiz, zevkli, ince, morgri renkte, şarjı iyi öğrenci, ev ve işe süperDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
M*********** Y*** (32) - Malatya,5,"Ürün genel olarak kaliteli ve şık. Kasa tamamen metal ve iyi bir his veriyor . Klavyesi çok yumuşak ve sessiz ekran zaten 2K ve 13 inch bir ekran olduğu için çok net duruyor. İçinden Huawei matedock çıkmadı ancak çanta ve BT mausesi gayet güzel. İçindeki SSD 3000 MB saniye hıza sahip olduğu için gayet hızlı zaten 4-5 saniyede falan açılıyor . Parmak izi okuyucusu genelde ilk dokunuşta algılıyor . Kaliteli bir cihaz alayım hafif ve taşınabilir + hızlı olsun diyorsanız kesinlikle öneririm .Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
m******* g****** - İSTANBUL,5,"1aylık gözlemim sonucunda 10/10 ürün. Her ortama sığabiliyor özellikle kafelerdeki tek kişilik masalarda çok rahat, 7 saat dizi izleyebilirsiniz, 4 saate kadar performanslı office uygulamaları kullanabilirsiniz . Oyun olarak da lol vb tarzdaki oyunları 0 kasma ile 2saat oynatıyor. Bu ekran ve işlemciye göre bataryayı gayet iyi kullanıyor. Şık ve kaliteli tavsiye ederimDeğerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
B**** D**** (24) - İstanbul,5,"Ürün tahmini süreden daha kısa sürede elime ulaştı. Huawei Türkiye tarafından gönderildiği için Çanta+Mouse hediyeli geldi. Ekran kalitesi, klavye rahatlığı, işlemci hızı vs. işimi oldukça görüyor. Tek kusuru kutu içeriğinde USB dönüştürücü aparatı olmaması. 256GB paketlerinde olmuyormuş. Kargo süresi, kargo paketlenmesi olarak memnunum.Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
