author,author_rating,body,real_rating
A********** E***** (38),4,"Daha once ayni markanin cep telefonunu kullanmam ve markanin guvenimi kazanmasindan dolayi cok arastirma ya da karsilastirma yapmadam bu cihazi tercih ettim. Piyasadaki diger cihazlarin fiyat ve ozelliklerine hakim degilim fakat, yorumlarimi cihazdan yuksek beklentisi olanlar icin yapiyor olacagim. Cihazi teslim alali 3 saat kadar oldu ve bu surede inceleme fisatim oldu. Cihaz fircalanmis koyu renkli aluminyum malzemeden yapilmis ve bu da premium hissi veriyor. Oldukca ince 1.5 cm, oldukca hafif 1.5 kg, ekrani neredeyse cercevesiz gibi ve etkiliyor, sarj adaptoru ve kablosu bir cep telefonu sarji hissi verecek kadar kibar. Sayisal tus takimi olmamasi klavyenin bilgisayari tam ortalamasini saglamis ki bu kullanim konforu sagliyor. Urunu genel olarak begendim fakat eksik yonlerini de soylemek lazim. Cihazin kutusu bildigimiz koli kartonu. Kutusunu ilk acarken kiymetli bir seye sahip oldugunuz hissi vermiyor. Ekran renk canliligi gorsel videolarda ve resimlerde tatmin etmiyor. Ekranin genis acili kullanimi iddia edildigi kadar verimli degil, karsidan degil de kenarlardan baktiginizdan isik ve renk kaybi var. Seste bas hic yok, bas sesi boguluyor kayboluyor ve ayrica bir kac defa tiz patlamalarina sahit oldum. Cihazda yerlesik lan girisi ya da kart okuyucu yok. Sadece usb portlardan olusuyor. Kasa uzerinde olmasa bile kutudan harici port ya da ceviriciler cikabilirdi. Kamerasi ise gercekten hayal kirikligi. Klavye ustune konumlandirilmasi, goruntu acisini insanin alisilagelmis gorus acisinin disina cikartiyor ki bu orta uzun sureli gorusmelerde cok rahatsiz edici. Kameranin goruntu kalitesi de cok iddiasiz. Klavye yazimi genel olarak konforlu olsa da tuslarinin dokusu kasanin premium havasini bozacak sekilde dusuk-orta kalitede bir plastik. Ayrica klavyenin aydinlatmasi da yok, dusuk isikta klavye kayboluyor. Sarj kablosu sadece 1 metre ve bu da, priz aramaya, yer degistirmeye veya koltuk cekistirmeye neden oluyor. Bunlari bilerek ve beklentinize gore alin.",5
recep ö* (39) - Gaziantep,5,"Gerçekten huawei işinin ehli Apple ayvayı yedi Applein yarı fiyatına aynı kalitede bilgisayar hız sağlamlık ekran kalitesi olsun pil ömrü çok iyi iyi ki aldım hemde kampanya varken 1000 TL lik huawei freebuds 3 kulaklık hediye ile geldi 4600 TL Ye a aldığım Bilgisayar 3600 e TL ye geldi HP toshiba Casper artık Bilgisayar da satamaz artık :)Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
E******* K************ - Ankara,5,"Tasarım açısından oldukça ince ve hafif. Bana oldukça yeterli geldi özellikleri. Kamera konumlandırması klavyenin içinde.Olumsuz özellik olarak USB zor takılıyor.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
FURKAN K****** - Ankara,4,"Gerçekten güzel bir dizüstü bilgisayar. Gerek özellikleri olsun gererkse hafifliği ve tasarımı insanı kullanmaya iten özelliklerinden. Bir öğrenci olarak birçok kullanım senaryosunda deneyimledim bilgisayarı. Oyun performansı ile başlayalım. İnternete de oyun performansına daie izlediğim videolar sonucunda kendi deneyimlerime göre videolardaki ile paralel bir performans aldım. AAA oyunları ultra grafiklerde açmaz ama oyunu çalıştırır ve keyif alırsınız (aldığınız laptopun özelliklerini düşünerek hareket edin). Pil performansına gelelim. Parlaklık en sonda,wi-fi ve bluetooth açık iken ve batarya tam dolu şekilde 2.5 saatlik bir film izledikten sonra şarjı yüzde 45 civarındaydı. Gayet başarılı buldum. Ekranı ise IPS panelin farkını ortaya koyuyor. Lakin burada bir eleştirim olacak. En yüksek parlaklığı bir miktar daha fazla olabilirdi. Çünkü dışarıda kullanırken bunun eksikliğini hissettirmiyor değil. Klavyesine gelelim. Tuşları yumuşak, insanı yazmaya teşvik eden bir kalvye olmuş. İnterneten araştırdığıma göre başka ülkelerde klavye aydınlatmalı modelleri de varmış (ki bunu f3 tuşunun fonksiyonunun boş olmasından anlayabilirsiniz). Bence klavye aydınlatması standart olmalıydı. Tasarıma gelirsek dış kasası insana premium bir cihaz aldığını hissettiriyor. Aynı şeyi ekran çerçevesi için de söyleyebilirim. Çerçeveler plastik ,evet ama ince olduklarından dolayı insanın gözüne batmıyor. Bu arada laptop ile gelen bir program sayesinde şarj seviyesini belirli miktarlarda tutabiliyorsunuz. Pil ömrü açısından önemli bir husus. Parmak izinden de bahsediyim. Huawei telefonlarındaki performans ile aynı. Çok çok hızlı ve istikrarlı çalışıyor. Bazı yaptığım test sonuçlarını da paylaşıyım. SSD: 3564 MB okuma 2345 MB yazma hızı Sıcaklık: Boşta iken 40-45 derece, oyun oynarken max 70 derece Şöyle olsa daha iyi olurmuş dediğim şeyler 1-2x4 gb ram yerine yükseltmeye açık bir konfigürasyon tercih edilmeliydi 2-Klavye aydınlatması olsa daha iyi olurdu 3-En yüksek ekran parlıklık seviyesi daha fazla olabilirdi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
S**** B**** (32) - İstanbul,5,"Ürünü sipariş ederken hep bir “acaba” dedim. Ama elime ulaştıktan sonra gerçekten iyi ki almışım dedim. Cok ama cok hızlı. Grafik ve oyun olarak ise fazlasıyla tatmin ediyor. Ayrıca, hediye olarak watch Gt classic geldi. Başka sitelerde kulaklık hediye ediyordu. Sadece bu sitede watch Gt Classic hediyesi vardi. Bence tam bir fiyat/performans ürünü. Kesinlikle tavsiye ediyorum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Ü****** C***** - Aydın,5,"Ürün elime ulaştı paketleme hiçbir kusur görmedim hepsi burada güvenilir bir site. Üründe de hiç bir kusur yok her türlü oyun oynuyor ve en yüksek grafiklere oynayabilirsiniz.Değerlendirme sahibi bu ürünü BittiBitiyor satıcısından aldı.",5
Latif Y***** - Balıkesir,5,"Değişik bir laptop deneyimi.huawei bu işi başarmış.şuana kadar memnunuz.oyunda oynuyoruz sıkıntı yok.sesi gerçekten başarılı.bir pişmanlıpımız yok.hedşyeleri de süperDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Halil ibrahim O*** - Yozgat,5,"kargo hızlıydı ancak geldiğinde dış kartonunda yırtılmalar vardı ancak iç bilgisayar kutusunda hasar yoktu. kurulum çok hızlı gerçekleşti ve pc açılma süresi gerçekten çok hızlı.bilgisayarı ilk açtığımda 90 şarj vardı 6.5 saattir kullanıyorum(program indirdim, blog yazılarıma baktım, mail, youtube, bluethoot kulaklık kullandım) 33 kaldı gayet yeterli . ekran kalitesi çok güzel . indirme hızı gayet iyi . pil göstergesine tıkladığımızda en iyi performans ve en iyi şarjı seçebiliyorsunuz .almadan önce çok endişeliydim ama almak isteyenler kesinlikle rahatlıkla alabilir. hem iş hemde öğrenci bilgisayarı. uygun fiyata üst düzey performans isteyenler alsın hemen :) tek olumsuz tarafı hafıza gibi duruyor onuda harici hard disk ile çözülür .Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
m*********** a***** (25) - Kahramanmaraş,5,"+ürünün kasası plastik değil .çok hoş metal malzemeden yapılmış. +ekranını gerçekten beğendim ıps ekranın hakkını vermişler. +pil performansı ortalamanın üstünde bayağı uzun dayanıyor +çift stereo hopprlör içinde gelen dolbyatmos proğramıyla güzel ses çıkarıyor. +cs go full hd düşük ayarlarda 50-60 fps sabit oynanıyor 1 saat oynadım sıcaklık 74 ü geçmedi. +şarj cihazı typc olması çol iyi. samsung a50 telefonumun şarj aletiyle bile şarj oldu. +ssd takviyesi ilerde yapabiliyorsunuz boş slot yeri var kasanın içinde. -çoğu kişi bilmiyor üründe 2 tane 4 lük ram var onlarda anakarta gömülü çıkartıp değiştirme ve yükseltme şansınız kesinlikle yok. ama bu oyunlarda avantaj sağlıyor vega 8 ekran kartı işlemciyle beraber apu çalıştığı için çift kanal ram olması iyi olmuş tek 8 lik olsaydı düşük performans verirdi. +parmak izi inanılmaz hızlı çalılıyor. ürünün zayıf noktasını göremedim fiyatını kesinliklr sonuna kadst hak eden premıum his veren nadir bulunabilceek bi notebook d15Değerlendirme sahibi bu ürünü BittiBitiyor satıcısından aldı.",5
Ö*** U*** - Ordu,5,"Bu fiyat bandında estetik, kullanışlı, portatif bir cihaz arıyorsanız kaçırmayın. Ürün gayet ince ve hafif, klavye malzemesi plastik olsa da pek hissettirmiyor ve ortalanmış olduğu için kullanımı çok kolaylaştırmış ayrıca çerçeveleri -alt kısmı hariç- neredeyse yok gibi ve ekranı kaliteli. Ayrıca sistem tarafında 1GB AMD Radeon Vega 8 ekran kartı ile birlikte geliyor. Performans anlamında sizi üzmez, ssd sayesinde 4-5 saniyede açılıyor, günlük işleri sorunsuz ve pürüzsüz şekilde gerçekleştiriyor. Eğer oyun oynacaksanız da incelemelerde anlatıldığı kadar kötü bi performansı yok, çoğu oyunu oyuna bağlı olarak orta - orta yüksek arası - ya da yüksek ayarlarda oynatabiliyor. Kulaklık hediye kampanyası bitmiş ancak Görüntülü Akademi üyeliği hediye edildi bana. Ayrıca teslimat bu zor günlerde bile gayet hızlı gerçekleşti. HepsiBurada’ya ve çalışanlarına teşekkür ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
