author,author_rating,body,real_rating
SÜLEYMAN İ********* (28) - Bursa,5,"FreeDos işletim sistemi ile yani işletim sistemsiz, windows ya da diğer işletim sistemleri yüklü olmadan geliyor cihaz. Satıcısı hepsiburada olduğu için ayrıca memnunum. Gayet özenle paketlenmiş bir şekilde gönderilmiş. Bilgisayardan anlıyorum, kurulumları vs yaparım deyip yapamayan varsa eğer Windows 10 home,pro vs. versiyon 1903 ve sonrası olması işinizi kolaylaştıracaktır. Çünkü lenovonun kullandığı bazı driverlar 1903 versiyon windows 10 işletim sisteminde sorun oluşturabiliyor. Sorundan kasıt tam olarak uyumlu çalışmıyor cihaz. Lenovo support sayfasından cihazın seri numarası ile driverları manuel olarak indirip kurabilirsiniz. Ya da ilk olarak wifi driverını başka pc de indirip, seri numarası ile aratıp uygun driverı bulduğunuz driverı yeni pc nize kurabilirsiniz. Diğer driver ( sürücü ) kurulumlarını cihazınız otomatik web site üzerinden kuruyor olacaktır. En önemli nokta ise lenovo vantage programını cihazınıza kesinlikle kurunuz. Oradan da update yapılabiliyor cihaza. Özellikle başıma geldiği için belirtmek isterim ki, tüm kurulumları diriverları vs yüklememe ve tüm güncellemeleri yapmama rağmen touchpad (dokunmatik) çalışmıyordu. Buna sebep olarak Lenovo Vantage uygulamasındaki güncelleme sonrası fark ettiğim Intel Serial-IO driverının pc de yüklü olmamasıymış. Lenovo Vantage uygulamasını kurup sistem güncellemesi yaptığımda hiç bir sorun ortada kalmadı. Ek olarak ses ve görüntü kalitesi çok güzel. Cihazda ethernet portu ve cd/dvd okuyucusu mevcut değil. Kablo ile internete bağlanmak istenirse haricen satılan aparatlar mevcuttur. Aynı şekilde haricen satılan cd/dvd okuyucu/yazıcılar da mevcuttur, kullanılabilir. Cihaz görsellik olarak şık bir tasarıma sahip. Ayrıca metalik görünümlü bir yüzeyi var. Tuş hissiyatı da gayet üyü bence. Tuş aydınlatması yok o kötü olmuş. Diğer yorumlardan farklı bilgiler vermeye çalışarak ürün hakkındaki deneyimlerimi paylaşmış oldum sizlerle. TeşekkürlerDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
İbrahim A****,5,"Merhabalar.Kullanıcı deneyimlerimi aktarmak için yazıyorum. Umarım faydalı olur.Pc açılış hızı çok çok iyi 5 sn yi bulmuyor.Ram 8+4 yapılabiliyor.Çok rahat yetiyor. 512 gb ssd var.2Tb ssd bile takabiliyorsunuz.İşlemci hızına yanılmayın.1,6 ghz temel frekansı pcnin.Yani pc boştaykenki hızı.Asıl hızı 4,2 ghz ye kadar çıkıyor ama ben 3,3 e sabitledim programla(yormamak için).Freedos gelmesi üzdü ama bu fiyata malum.Ekran fullHd tn panel.Renk canlılığı çok iyi fakat bir Ips panel değil.Bu benim için önemli değildi,zaten gerekte olmuyor.Grafik kartı mx 130.Giriş bir ekran kartı,müadili 940mx.Pcde tüm oyunları rahatça oynarsınız kafaya takmayın.Fakat pubg(pc) gibi oyunları full hd de 25 30 fps arasında oynarsınız.1280×720 de high de 50 60 fps alırsınız.Uzun lafın kısası ekran kartı gayet yeterli (Gta 5 vs 50 60 fps arası). Tasarımına gelecek olursak;çok şık bir tasarıma sahip kaliteli kasası var.Ses sistemi de gayet iyi. Şimdi gelelim kötü yanlarına: Ethernet girişi yok.Wifisi inanılmaz hızlı ama ethernet girişi olmasını beklerdim. Cd okuyucu yok.Eğer cd lerle çok işiniz varsa(benim yoktu) tavsiye etmiyorum.Cd lerde çok kalmadı artık. Ips panel olmaması(çok çok önemli değil ). Fanları ekrana doğru üflüyor(ısınma sorunu çok çok az .Fanları az ses çıkarıyor ama ekrana doğru üflüyor fanlar.Neden böyle bir tasarım yapmışlar anlamadım). Not:Kargo beklediğimden çok daha iyi ve hızlıydı.Ayrıca windowsu kurarken yardımcı olması açısından technopat adlı youtube kanalı video atmış.İnanılmaz faydalı çok yardımcı olacaktır. Buraya kadar okuduysanız teşekkür ederim.Uzun lafın kısası pc tam bir f/p(fiyat /performans) ürünü.Tavsiye ediyorum. 10 üzerinden 9 puanı rahatça alır.İyi günler dilerim.",5
A******* G** (43) - Elazığ,5,"Hızlı güzel bir bilgisayar. Ofis uygulamalarında oldukça hızlı ve gördüğüm kadarıyla yeterli. Oyun oynamadığım için o konuda fikir beyan edemem. Alüminyum kasa. İnce. Sessiz. Isınma yok. Fan yok gibi sesssiz çalısıyor. SSD olması ayrı bir güzellik. Ancak 3 adet USB, 1 adet HDMI ve şarj hepsi aynı yerden takılması hoş değil. Hepsini bir arada kullanıyorsanız sıkıntı olabilir. USB ler öteki yanda da olsa daha güzel olurdu.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Hüseyin B***** - Tekirdağ,5,"Ürün gayet hızlı ve kaliteli bir şekilde geldi diğer videolarda özellikler vs bahsedilmiş ben bahsetmeyeceğim ama tavsiyemdir windowsu kendiniz kurarsanız 3.1 bi bellek bulun daha hızlı bir kurulum olur yardımcı bir video olarak technopat kanalındaki videolara bakabilirsiniz Genel olarak iyi gayet hızlı bir şekilde açılıyor bilgisayar ortalama 15 saniye falan aynı şekilde çok hızlı kapanıyor Tavsiye ederim gayet iyi bir ürün ama tavsiyemdir aldıktan sonra tekrar bi ssd ilave yaparsanız daha mutlu olursunuz.Değerlendirme sahibi bu ürünü alfatek satıcısından aldı.",5
Ç**** A****** - İstanbul,4,"Urun gercekten basarili, ozellikleri cok iyi fiyat performans orani gunumuz piyasasina gore muthis. Yeni nesil bir islemciye sahip, 512GB SSD ve 8GB Ram var. Bu ozelliklere sahip olan piyasadaki en iyi fiyatli urun. Bilgisayar gercekten hizli, aninda acilip kapaniyor, takilma donma ile karsilasmadim. Alt kapak bildigimiz plastik ama kasanin bunun disindaki kisimlari yani dis kapagi ve klavye/touchpad bolgesi kaliteli ve saglam gorunuyor, metal/plastik karisimi bir gorunum ve hissiyati var. Webcam icin kaydirilan bir kapagi var buda guzel. Sesle ilgili bazi yorumlar var, bangir bangir ortami inletmesini beklemeyin zaten hoparlor bunun icin var. Bence laptop icin gayet yeterli gucte ve seviyede sese sahip, zaten daha fazlasina ihtiyaciniz varsa hoparlore ihtiyaciniz var demektir... Ses verme duzeyi ilgili endiseniz olmasin. Eksi yonlerine gelirsek, klavyesinin arka isiklandirmasi yok. Isik olmaliydi. Sarji suana kadar gordugum kadariyla cok uzun sureler giden bir bilgisayar degil gibi. En cok hosuma gitmeyen durum ise TN Ekran olmasi ve ekranin aci degisiminde renginin inanilmaz degismesi bu cok rahatsiz edici bir durum ama bir sekilde alisicaz... Bu segmentte, bu fiyata alinan boyle kaliteli ozelliklere sahip bir bilgisayarda bu eksikliklerin olmamasi gerekiyordu. Genel olarak bence alinabilir, fiyat performansi ozellikleri gayet iyi, abartili ihtiyaclari olmayan bir kullaniciyi normal sartlarda cok uzun yillar idare edecek ozelliklere sahip. Ekrana kafayi cok takmam diyorsaniz bu bilgisayar bence cok iyi bir secim. Tavsiye ediyorum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
ı**** a***** (27) - Bursa,5,"Fiyat performans ürünü. Hızını vs beğendim gönül rahatlığıyla alabilirsiniz. Kamera bölümüne açma kapama tuşu koymaları da çok güzel olmuş.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
f**** g***** - İstanbul,4,"gece 1 de sipariş verdim gündüz 2 de elime ulaştı yani anlayacağınız kargo baya hızlıydı ve fotoğraflarını eklediğim gibi güzel paketlenmişti dışında herhangi bir sorun yoktu. free dos olduğu için daha açıp bakmadım herhangi bir sorunla karşılaşırsam kurduğumda bunu da paylaşırımDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A*** B**** - Antalya,5,"Öncelikle hepsiburadaya teşekkürler,5600 civarına aldım,hafta sonu sipariş verdim pazar kargoya verip pazartesi geldi, çok araştırdım fiyat performans açısından en iyi bilgisayar olabilir.Windows u kendiniz kurabilirsiniz,youtubeda her detayın anlatıldığı videolar var, ancak dikkat etmemiz gereken çok önemli bir nokta var,ürünün ssd türü gpt değil "mbr" bunu seçmeniz lazım, sağlam lisanstan da key aldım ve etkinleştirildi.Ancak birkaç sorum olacaktı bilenler yorum yazarsa sevinirim 1) Nvidia sürücüsünü güncelleyemiyorum,bu windowsla uyumlu değil yazısı çıkıyor ama her şeyi doğru indirdim, bir sorun yaratmıyor ancak en son güncelleme yuklenmiyor. 2)Kapağı kaldırınca bilgisayar otomatik açılıyor, bunu kapatamadım. Sonuç olarak ekranı,kasa kalitesi, ışletim sistemi özellikleri bakımından çok iyi bir bilgisayar, lenovo kalitesi zaten tartışılmaz.Uzun yıllar kullanmalık bir ürün.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A*** A******* (36) - İstanbul,5,"Ürün çok ince şık bir tasarımI var çok beğendik Çok hızlı hemen açılıyor 1-2 Sn bile sürmüyor ama CD okuyucu olmaması beni şaşırttı böyle yüksek kaliteli bir cihazın bu eksiği olmamalıydı şarj konusu da daha kullanmaya başlamadık o konuda bir fikrim yok çünki Windows yüklü olmaması sistem yükleme işlemi çok uzun bir süreç olduğu için kullanmak için bile bir gün bekliyoruz ama olsun böyle bir cihaz için değer alacak olanlara tavsiye ediyorum biz indirimden aldık inşallah uzun yıllar sorunsuz kullanırızDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
a*** a*** (34) - İstanbul,4,"Sesi çok az çıkıyor. Bilmiyorum belkide ofis bilgisayarlarının hepsinde ses bu seviyededir ama can sıkıcı bir durum. Açılış ve kapanış hızı çok iyi 2-3 saniyede açılıyor. Orta halli alınabilecek bir bilgisayar..Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
