author,author_rating,body,real_rating
İlyas Y****** (28) - Ankara,5,"Mühendislik, Mimarlık, Grafik Tasarım için ideal Laptop. 3 oyun test ettim. The Witcher 3 Wild Hunt, Counter-Strike Global Offensive, GTA V. Yüksek ayarlarda akıcı şekilde oynayabiliyorum. Sıcaklık değerleri; The Witcher için; İşlemci 80-85 derece, Ekran kartı 72-77 derece. 60FPS Yüksek Ayarlarda CS-GO için; İşlemci 60-70 arası, Ekran kartı 70 derece. Low Ayarlarda FPS oyunları için uygun değil 60hz oldugu için yırtılma çok oluyor 144 HZ ile ekran değişimi yapılırsa farkı ödeyerek yaptırabilirim. GTA V için; İşlemci 75-80 arası Ekran kartı : 70 -80 derece arası ortalama 100 FPS Yüksek Ayarlarda. Laptop fiyatına göre çok iyi. 75 80 derecelere gelince klavye biraz ısınıyor rahatsız edecek düzeyde değil, Fanlar biraz sesli çalışıyor rahatsız edecek düzeyde değil. Ekran kalitesi muazzam ips panel çok iyi. Kısacası tereddütte kaldıysanız bu laptopa güvenip alabilirsiniz.Değerlendirme sahibi bu ürünü BT Teknoloji satıcısından aldı.",5
Burak G**,5,"Laptop'u cuma günü aldım. Yeterince deneyimleme fırsatı buldum. Stres testleri vs tüm işlemleri gerçekleştirdim. Bilgisayar Mühendisi olduğum için performanslı birşeyler arıyordum ve gayet performanslı bir ürün olduğunu söyleyebilirim. Ekranı oldukça kaliteli. Tek bir eksisi var o da ağır olması. Alt kapak tek parça yükseltme için tüm kapağın çıkarılması gerekiyor. Fan hava kanalları alttan aldığı hayavayı ekranın tam önünden yukarı üflüyor bu nedenle klavye de sıcaklık hissedilebiliyor. Yazın soğutucu ile kullanılmasını tavsiye ederim. Soğutması başarısız olarak algılanmasın spğutması çok başarılı fakat ekstra soğutma ile daha fazla performans alabilirsiniz. Dış malzeme plastik fakat kalitesiz değil. Hoparlörleri gayet iyi ses veriyor. Beni tatmin etti ses kaliteli duyuluyor.",5
MESUT Ö**** (31) - Kocaeli,5,"Ürün F/P olarak en cazip ürün diyebilirim. Hızlı bir şekilde elime ulaştı. SSD ve HDD takılı gelmesi Ram'in 16 GB olması büyük avantaj. Makineye masraf yapmak zorunda kalmıyorsunuz. Oyun bilgisayarı statüsünde olup böyle zarif durması mükemmel bişey.. Şuana kadar bilgisayarda beğenmediğim şeyler ses seviyesinin beklentimden biraz düşük olması , USB girişinin sadece sol tarafta ve 2 adet olması , Açma/kapama tuşunun klavyenin içinde olması. Bunun dışında makineye laf yok uçak gibi...İsteyen birebir aynı özellikte MSI alabilir 2 bin lira farkla.Değerlendirme sahibi bu ürünü Sesapc satıcısından aldı.",5
Rıdvan Ş***** - İstanbul,5,"Ben fotoshop programını takılmadan kullanmak için almıştım. 2 haftadır kullanıyorum. Cihaz, çok güçlü ve şimdiye kadar hiç takılma olmadı. Photoshop RAM'den 8-9 GB yiyor ama yine de hiç kasmıyor. Fan sesi biraz var ama sanırım Gaming bilgisayarlarda bu durum sıkça rastlanan bir durum. Cihazın kasası sağlam ve ekran kalitesi iyi. Tek eksik yönü USB giriş sayısı 2 tane ve Sd card girişi yok. Ancak ikisi de bir aparat yardımıyla çözülebilecek basit eksikler.Değerlendirme sahibi bu ürünü BT Teknoloji satıcısından aldı.",5
Hasan Ozan Ö******,5,"Arkadaşlar cihazı başka siteden aldım ama satıcı aynı. Öncelikle kargo,paketlenme çok iyiydi. bilgisayara gelecek olursam; AVANTAJ: Fiyatı uygun,bilgisayarın tasarımı çok güzel kaliteli hissettiriyor,açılış hızı çok iyi,ekran renkleri canlı ve parlaklığı yeterli düzeyde,lenovonun uygulaması bütün güncelleme ve sürücüleri hallediyor senin yerine,çalışması çok sessiz normal kullanımda hiç ses yok,yük altında biraz ses olması normal her laptopta var,şarjı güzel gidiyor donanımına göre,klavye ışıkları kademeli 2 kademede yoğunluğunu ayarlayabilirsin,i7 9.nesilin hızlı olması, ekranın 17 inç olması bana görede bir avantaj sadace 400,500 gram oynuyor ama kullanma hissi (film,oyun) keyifli. DEZAVANTAJ:Sesi yeterli bence ama daha iyi olabilirdi,klavye biraz küçük kalmış bilgisayara göre,+1 adet usb giriş olabilirdi,kart okuyucu olabilirdi. SONUÇ: Bu fiyata gerçekten muazzam laptop ben şuan için bir sıkıntısını görmedim Hem OYUN Hem GÜNLÜK kullanım isteyenler Bu bilgisayar tam size göre kaçırmayın iyi günler.",5
kamil m**** (38) - Osmaniye,5,"Bilgisayar taşıma açısından biraz büyük ben fazla sağa sola götürmüyorum derseniz iyi donanımı iyi yeni nesil. Fiyat muadil ürünlere göre uygun. Benim gibi hem iş hem ara sıra oyun oynarım derseniz işinizi görür. Oyunlarda yoğun kullanımda henüz denemedim. Sadece ses biraz daha iyi olabilirdi kulaklık ile sorun yok Garanti sorgulattım sıkıntı yok. firma yetkilisi bellek için çift slot 16 GB daha eklenebilir dedi fakat açıp bakmadım emin değilim fakat iletişimleri iyiydi. Nitekim ben güvenip aldım. İlk kez lenovo kullanıyorum şimdilik her şey yolundaDeğerlendirme sahibi bu ürünü BT Teknoloji satıcısından aldı.",5
M**** Ş***** (48) - Şanlıurfa,5,"Pc Güzel. Zaten marka iyi. Gayet hızlı, ayrıca dış materyal ve görünüm de güzel, windowsu ssd diske kurdum. Yalnız ghz düzeyi 4 değil, 2.60 görünüyorDeğerlendirme sahibi bu ürünü Nethouse satıcısından aldı.",5
Mehmet Necdet Y******* (21) - Antalya,5,"Ben bilgisayar mühendisliği okuyorum cihazı alalı yaklaşık 1 sene olacak bu zamana kadar gık demedi gerçekten. Programlarım, oyunlarım ve sunduğu gerçekten istenileni veriyor. FPS' ler ise kesinlikle ortamalamanın altına düşmüyor. Birçok oyun oynadım ve bitirdim tatmin ediyor ve sizde hayal kırıklığı gerçekleştirmiyor. Markaya güveniyordum zaten güvenim boşa çıkmadı kasa açısından güzel bir bilgisayar fırça desenli güçlendirilmiş plastik bir kasaya sahip, eğer ağır iş yapıp oyun oynayacaksanız ve kaba bir görüntü istemiyorsanız size istediğinizi sadelik ile mükemmel bir şekilde sunuyor. Ses yönünden üstün diyemem ama ortalama altıda diyemem oldukça standart bir ses kalite ve yüksekliği sunuyor. Soğutma sistemine gelecek olursak evet havayı ekrana veriyor ama performanslı çalışıyor bugüne kadar bunun dezavantajını yaşamadım yani ekranın alt kısmı birazcık ısınıyor sadece buda çok büyük bir problem oluşturmuyor dediğim gibi ama yanlardan hava çıkışı olmadığı için ve her notebookda da olduğu alttan boşluk bırakarak destekleyebilirseniz , stand kullanabilirseniz yada bu boşluğu notebook soğutucudaki stand ile sağlarsanız bi tık daha verimli oluyor. Şarzı tam performansta 1 2 saat arası gisiyor misal parlaklık ses ve ddahi ayarlar fulldeyken bir filmi çıkarmanız zor ama herşeyi en aza indirgediğiniz zamanda bu süre 5 6 saate varıyor vaat edilen 9 saat en uç örnek olmuş aslında. Ayrıca Lenovo Vantage uygulaması ile bataryayı korumaya alıyorsunuz bu çok çok güzel pandemi döneminde pc aylarca masanın üstünden kıpırmadamadı ve ve şarzdan ayrılmadı hemde ağır şartlar altındayken idi bu ve bugün pil ömründen gram fegarat etmiş değil gerçekten. bu özelliğin tam aksi hızlı şarz özelliğide sağlıyor size ve ihtiyaç anında oldukça kullanışlı. Kamera Shutterda çok opsiyonel bir şey aslında bunu ayrı bir teçhizat yada bant ile sağlamamak gerçekten güzel birşey. Bana göre pc'nin tek eksiği usb flash girişlerinin sadece 2 tane olması bu sizi eğer bu girişleri çokça kullanıyorsanız usb çoklayıcı almaya zorluyor malasef. Ağırlıkda biraz fazla gibi duruyor ama pc büyük olunca ve üstüne bu kadar şey saymış iken bence arka planda kalıyor Kesinlikle tavsiye ederim alacak olanlar pişman olmaz.Değerlendirme sahibi bu ürünü Nethouse satıcısından aldı.",5
Ö*** G**** (32) - İstanbul,5,"Ürün fiyat-performans ve özellik kriterlerine göre yaptığım piyasa araştırmasına göre en iyisiydi diyebilirim. Freedos olması sanırım fiyatını oldukça uyguna getiriyor. Özellikleri şu anda iyi bir oyun makinesi arayanlar için gayet yeterli. Ben 17,3 inç modelini aldım, tek kusuru biraz ağır ancak çok da kötü değil. Klavye ışıklandırması çok iyi, 2 adet parlaklık seçeneği var ve aydınlatma rengi parlak mavi. Geniş bir laptop olduğu için klavyesinin ön kısmında bileklerinizi koyabileceğiniz oldukça yeterli bir alan bulunmakta. Bazı yorumlarda fanların ekrana üflediğini okudum, Normal kullanımda fanları ne ses çıkarıyor ne de ekrana sıcaklık veriyor, ancak ağır oyunlarda biraz ses ve sıcaklık verdiği doğru. Tasarım anlamında bir kusur olduğunu düşünmüyorum en azından şimdilik bir sorun yaratmadı, üretenler bunu düşünmüşlerdir. Rengi sanırım siyah yazıyor ancak tam olarak iphone renklerinde olan space grey (uzay grisi) yani koyu gri tonlarında ve şık duruyor. Makine güçlü olduğundan da adaptörü diğer küçük modellerinkine göre biraz büyükçe ancak kesinlike ağır ve kötü değil. Ben çok beğendim, almak isteyenler düşünmeden alabilir. Satıcıdan da oldukça memnunum yılbaşından hemen önce almama rağmen 2-3 gün içerisinde teslim edildi.Değerlendirme sahibi bu ürünü Nethouse satıcısından aldı.",5
Hamza Metin Can E*** - Konya,5,"Arkadaşlar teknoloji şans işidir ben bunu almadan önce HP nin omen i7 9750h 1660 Ti serisini almıştım 2 gününde arıza verdi , Şuan aldığım Lenovo IdeaPad gayet hızlı çalışıyor almadan önce sıkıntı çıkarır diye düşündüm neyseki öyle bir sıkıntı ile karşılaşmadım onun dışında fan sesi gayet iyi rahatsız etmiyor ekran kalitesinde çok sevdim... 15 saat oyun oyun oynadım webte gezdim ısınmadan eser yok ... Kısacası mükemmel parasını sonuna kadar hak ediyor.Değerlendirme sahibi bu ürünü GarajOnline satıcısından aldı.",5
