author,author_rating,body,real_rating
Y********** Z**** - Sivas,5,NO_COMMENT,4
F***** N****** (20) - İstanbul,5,NO_COMMENT,4
E********** Y***** (19) - Antalya,5,NO_COMMENT,4
M****** G**** (33) - Çanakkale,5,NO_COMMENT,4
E*********** A***** (23) - Kilis,5,NO_COMMENT,4
A************ A******* (19) - Artvin,5,NO_COMMENT,4
k**** b******** (51) - İzmir,5,NO_COMMENT,4
m****** g***** - Mardin,5,NO_COMMENT,4
E*** B****** - İstanbul,4,NO_COMMENT,4
h****** e**** - Ankara,4,NO_COMMENT,4
y**** ö**** - Niğde,4,NO_COMMENT,4
y**** a* - Adıyaman,1,NO_COMMENT,4
m**** p**** - Ankara,5,"Evvela şunu söylemem gerek. İlk defa Lenovo marka bir bilgisayarım oldu. Laptopu birkaç gün inceledim ve tecrübelerimi paylaşmak istiyorum. i5 10th işlemci ve Gtx1650Ti ekran kartı muhteşem bir ikili olmuş. Bu işlemci diğer markalarda da bulunabiliyor ama 1650Ti gpu bu bilgisayarı öne çıkarmış. Diğer bir avantaj ekranın 120hz olması. Ekrandan gözümü alamıyorum, o kadar hoş görünüyor. Kasa tasarımı ve kullanılan malzeme fena değil. Laptop yakışıklı bir laptop. 500 gb m2 ssd hız anlamına geliyor. Peki neyi kötü bu latopun? Ben henüz kötü bir yanını görmedim. Uzun vadede nasıl bir sonuç görürüz bilemiyorum. Birçok oyun denedim, bu yakışıklıyla bütün oyunlar oynanır. Bazıları 120 fps/hz zevkiyle, bazıları 60fps.. Ama oynanır. Şunu isterdim, klavye yalnızca mavi renk değilde rgb olsa farklı güzel olurdu. Gerçi o zaman da laptopun ciddiyeti yok olup pavyona dönüyor makine :) Sonuç: Fiyatına göre tercih edilebilir. Gtx1650 almaktansa Ti versiyonunu tercih etmek daha uzun ömürlü olacaktır. Ram eklenmeli. Lenovo markasının güvencesi ile alın keyfinize bakın.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",4
B****** A******** (24) - Ankara,5,"Ürünü birkaç gündür kullanıyorum. Gayet memnunum. Klavyesi ve dokunmatiğinin hissiyatı güzel. Kulaklık ve şarj aleti çıkışının solda olması da ayrıca güzel. Bundan önce Acer Nitro 5 (2019)'u denemiştim. Ona kıyasla her türlü daha kaliteli bir deneyim sunduğunu söyleyebilirim. Oyunlarda CPU çok ısınıp 90 95 derecelere çıkabiliyor. Bilgisayar sıcaklığı orada sorunsuz bir şekilde tutuyor tabii, o konuda sıkıntı yok. Fakat daha az sıcaklıklarda kullanmak ürün ömrünü uzaltacağından dolayı biraz ayar yapmaya çalıştım. Bu yeni işlemcilerde "undervolting" yapılamıyormuş galiba, o yüzden güç ayarlarından cpu kullanımını max %99a ayarlayarak turbo boostun aktive olmasını engelledim oyuna girmeden önce. Bunu yaptıktan sonra oyunlarda CPU 70 derece civarında kaldı ve çok da bir performans kaybı olmadan oynayabiliyorum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",4
ferdi u*** (46) - Muğla,5,"lenovo kalitesi zaten tartışılmaz üründen gayet memnunum ürünü mağazaya gidip inceleme fırsatı olmayanlar için youtube da kutu açılışı ve ön inceleme videosu paylaştım https://www.youtube.com/watch?v=NQ8_B097k-g ulaşabilirsiniz klavye kalitesi malzeme kalitesi üst düzey monster gibi markalar arasında çok kalmıştım lenovo aldığıma çok çok memnunum ancak kargo firmasının Aras olması dışında hiç bir sorun yok.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",4
