author,author_rating,body,real_rating
İlkem E****** - Hatay,5,"Bilgisayar bu fiyata çok sağlam performans veriyor. Windows 10 kuracaksanız en güncel windows kurulum iso'su üzerinden kurulum yapın. Eski windows 10 iso touchpad'i görmüyor. Kurup sonra güncellerim diyorsanız olmuyor. Hem harici yükleme yapmıyor hem de sistemi güncellemiyor. O yüzden panik olmayın windows sitesinden güncel windows iso'su indirin kurun.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Mehmet Emrah T***** (37) - Yalova,5,"Öncelikle yıldızı ürüne veriyorum, hepsiburada ürünü 13 günde teslim etmeyi başardı. Çinden gelse daha çabuk geliyor. GENEL İNCELEMEM - İşlemci tek çekirdek performansı harika. Masaüstü işlemcilerle boy ölçüşüyor. U işlemci olduğundan çekirdek sayısı 4. Yani az elektrik çeksin diye 6 veya 8 çekirdek değil. Bu segment bir işlemci için gayette yeterli. Yorumlarda "pek birşey beklemeyin" denmiş kesinlikle inanmayın. Bu işlemci üst seviye. - Linux kurup performans alamayan arkadaşlarıma tavsiye windows 10 kurup denesinler zira ben son versiyonlarda hangi laptoba ubuntu v.s. kurduysam açık ara windows 10 hep daha hızlı çalışıyordu. - Malzeme kalitesi uzaktan bakınca kapak kapalıyken özellikle bir harika duruyor. Kapak açarken dokununca kalite algısı düşmeye başlıyor. Kapağı açınca ekran çerçevesindeki plastiği görünce kalite algısı zaten yok oluyor :) Klavye tarafı kalite algısı gayet iyi. Laptopta nereye dokunursanız dokunun malzeme kalitesi pek iyi değil. Ama ekran çerçevesine bakmayın, görsel olarak cihaz premium duruyor. - Klavye yazımı çok rahat ve tuşlar konforlu. Şu anda laptoptan yazıyorum. - Ekran çözünürlüğü bir harika. Panel kalitesi orta seviye. Biraz AMD programı ile ufak ayarlar yapmak lazım. Yoksa biraz fazla maviye kaçabiliyor ekran. - Pil kısmında çok birşey beklemeyin. Bir U işlemciye göre biraz fazla güç tüketebiliyor 15watt TDP yazılmasına karşın. Süper pil ekonomisi ile 4-5 saat max. Normal bir kullanımla 2-3 saat anca. Zaten 2 cell bir pille pekte başka birşey olmaz. - 3 USB portu ve SD kart girişi ile HDMI ekran çıkışı tatminkar. Display port çıkışı olmasını isterdim aslında. Ethernet portu yok illa lazımsa USB çevirici ile yapılabiliyor. - Ekran kartı işlemciye entegre ve bu segmentte gayet iyi bir performans veriyor. ÖZETLE - Bu fiyata işlemci olarak böyle üst seviyede ve kullanımı genel anlamda konforlu olan cihaz bulmanız imkansız. - Oyun bilgisayarı ile ekran kartını lütfen kıyaslamayınız. Öyle bir ihtiyacınız varsa oyun laptobu bakmalısınız.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
murat a**** (36) - Ankara,4,"Ürüne diyecek birşey yok, ancak hepsiburadaya söylenecek çok şey var. 1. Laptopu açınca 14 gün içindeki yasal iade hakkınızı kullandırmıyorlar. Satış sözleşmesinde buna dair hiçbir ifade olmamasına rağmen sanırım kendi kurallarını kendileri belirliyorlar. 2. Laptop güncellemelerden sonra inanılmz ses çıkarmaya başladı. Düzeltin ya da iade alın dedim, ama 1 ayı aşkın süredir varya şu acayip efsane cuma yoğunluğunun! arkasına saklanıp hiçbir çözüm üretmediler. 3. Müşteri temsilcilerine ulaşmak için sabrınızın ve kullanığınız hattın sınırsız zamana ihtiyacı var. Ne zaman ararsan ara 30. sıradasın. Ve telefonu her açan eleman şikayetinizi dinliyor, zaman zaman sizle beraber geriliyor, ben de tüketiciyim bana da yapılsa hoşlanmazdım diyor, ses de yükseltebiliyor ve hepsi de aciliyet bildiriminizi yapıyor!. ama orada zaman kavramı değişik bir mefhum olsa gerek size dönüş asla yapılmıyor. 4. Şikayetvara yazıyorsunuz sallayan yok. 5. 3 hafta sonra laptopu aynı şekilde ve haber vermeden adresime postalamışlar. İnternette gezinip aynı sıkıntıyı yaşayanların yorumlarını okuyunca da sorunun 2 dakikalık BİOS GÜNCELLEMESİNİ yaparak çözüldüğünü görünce soğuk duşa devam. 6. İnternetten alıp karşımda muhattap bulurum diyorsanız çok yanılırsınız. Müşteri temsilcilerinin bir adım ötesine geçemiyorsunuz. Laptop ev kullanımı için ufak tefek işler için ideal, hepsiburada ise, bir ürün alıp bunu 14 gün içinde değişirim paramı peşin ödeyeyim sonra geri almak için tırmalarım çok da iyi bir fantazi olur diyen sadomazo iseniz çok çok ideal.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Hüseyin Ekrem Y***** (25),5,"Bir arkadaşa aldık ofis işleri ve yazılım işi için. F/P olarak aklıma yattığı için buna yöneldim. 512GB SSD biraz zorlamayla içine sığılabilecek bir SSD. Testte hızları 1600mb okuma, 800mb civarı da yazma olarak çıktı. Cinebench r20'de 1548 puan aldı. Gayet iyi bir laptop olmuş.",5
kaan ç***** (27) - Aydın,4,"Ürünü geçen perşembe teslim aldım ptt kargo ile 3günde gelebildi. Hafif ve şık bir bilgisayar ancak ekranın cercevesindeki kalite düşüklüğü göze değiyor(siyah plastik cerceve) onun dışında tasarımsal bir sıkıntı yok. Ürünü Battlefield V oynayarak zorladım evet yüksek çözünürlükte oynayamıyorsunuz grafik ayarlarını düşürerek fan zorlanmadan rahatlıkla oynayabildim, bu seviyedeki bir bilgisayar yeterli olduğunu düşünüyorum. 512gb ssd oldukça hızlı ve yeterli, daha azı zaten yeterli olmayacaktır.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
C**** B***** - İstanbul,5,"1 aydır kullanıyorum . Oyun oynayacaklar için söylüyorum her oyun için 60fps kalite beklemeyin, ben bunu bilerek aldım. Program yazacaklar için çok rahat iş görüyor.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
oğuz t***** (32) - Ankara,5,"Bu fiyata en kaliteli ürün islemcisi 8 gb rami ve 512 gb ssd ile çok hızlı kaşa kalitesi ise yeterli seviyedeDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
kenan K******** (21) - Kilis,5,"Klasik aras kargo rezaleti, aras ile geleceğini bilseydim cebimden fazladan para öder başka firma ile teslim alırdım ki görsel de ne kadar özen gösterildiği belli Yazılımla uğraşacağım için aldım. Bu fiyata Ryzen 7 olması ve 10 saniye gibi kısa sürede açılması beni çok şaşırttı, Rufus ile Windows 10 kuracaklar MBR birim etiketini seçsin yoksa kurulmuyor. Ara sıra oyun oynayan biri için ideal oyunlarda çok fazla bir beklentiye girmeyin ama pişman etmez Hoparlör ve pil bi tık daha iyi olabilirdi hoş bir klavyesi var Tasarım 10/10 Pil 4/10 Hoparlör 6/10 Sistem 8/10 Hız 9/10 Genel olarak ürüne puanım 8/10Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
O*** K****** (25) - Ankara,4,"Cihaz elime henüz ulaştı. Kurulum olarak UEFI kurulum yaptım 3 dakika içinde windows kuruldu . Güncellemeleri windows yapsın ama ekran kartı driverini amd nin sitesinden kendiniz indirin. Makine kapalıyken masaüstüne gelme süresi 14-15 saniye gibi kısa bir süre . Cihaz sessiz , normal kullanımda ısınmayan bir cihaz. SSD olarak bayağı bir hızlı diyebilirim . Oyunları orta-düşük ayarlarda 50-60 fps rahat oynatır. Yazılım ve programlama yapan birisi olarak işinizi gayet rahat görür. İnce, hafif ve şık bir tasarımı var . Ekran kalitesi olarak orta-iyi arasında bir değerde. Stres e sokmadıkça dengeli güç modunda 35-42 derece arasında çalışıyor. Benchmark testinde sırasıyla 21/72/42 değerleriyle ortalama performansının üzerinde bir sonuç aldım. Cinebench r20 de 1500 puan aldı . Genel olarak fiyat/ performans ürünü . Ürün çok özenilerek paketlenmiş fakat kargo geç geldi . Alacak arkadaşlar iyi günlerde kullansınlar :)Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Z********* D**** - Ankara,5,"Dönemin en iyi alıncabilecek bilgisayarı. Biz indirimdeyken almıştık. Ryzen 7 işlemcisine güvenin. Teşekkürler Hepsiburada.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
