author,author_rating,body,real_rating
a**** i**** (40),5,"Bu fiyata mükemmel bir ürün benzer özelliklerde olan modeller 4000TL üzerinde satılırken bu rakamlara ancak intel Core i3 yada AMD Ryzen 3 ile gelen bilgisayarlar alabiliyorken bu dönemde bu rakama bu ürünü alabilmek muhteşem, teşekkürler HEPSİBURADA",5
Hasan s******* (32) - İstanbul,5,"Bu fiyatlara şuan ancak i3 5-6 nesil onbord cihaz alınabiliyorken çok iyi geldi. Normalde 4 bin civarında bile bu performansı almak zor. İşlemci değerleri performansı i7 7700hq işlemciden daha iyi içerisinde bulunan Vega 8 onbord ekran kartı ise piyasadaki tüm oyunları low ve medium ayarlarda akıcı oynatıyor. Mx110-mx130 ekran kartlarından daha iyi bir kart. Bütçe kısıtlı ise hiç kaçırmayın derim. Teşekkürler HepsiburadaDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A**** Ö****** - İstanbul,5,"Şuan mevcut dolar kuruna ve piyasa durumuna göre bu fiyata alınabilecek en iyi cihaz budur. Yaklaşık 2 aydır bütçeme göre cihaz bakıyorum ama fiyatlar öyle uçmuş ki bir türlü denk gelmedi 3000 - 3500 TL bandında 8 ramli ryzen 3-i3 lü cihaz bulsam hemen alıcam ama yok ya 4 ramli yada celeren, AMD a serisi başka yok. Taki Hepsiburada bu ürünü satışa koyana kadar artık 4 bini gözden çıkarmışken hızlı gibi yetişti ve aradığım fiyata ryzen 5 li cihaz alabildim ilk etap da onboard ekran kartlı cihazlara ön yargılı bakıyordum önceden kötü deneyimlerimiz olduğu için ama bu Vega 8 i çok övdüler test yapan arkadaşlar gerçekten iyi performans bakımından harici ekran kartı kullanıyor gibi eğer prof oyuncu değilseniz rahatlıkla iş görüyor AMD burada çok iyi iş çıkarmış, Vega 3 ryzen 3 de ki ve Vega 10 ryzen 7 deki onlarda çok iyi tek sıkıntı yaşadığım nokta hediye verdiler sağolsunlar ama hızlı kargo istedim ama hızlı kargo hediye içinmiş cihaz 1 haftada geldi fiyat o kadar iyi bunuda görmezden geldim. Bu zor zaman da bu fiyata ürün temin ettikleri için Hepsiburada ekibine çok teşekkür ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
F***** P***** - Kahramanmaraş,5,"Bence gayet is gorur. Ben alirken 3900 lira civarina aldim. Memnunum ama bir here girerken fani yuksek ses cikariyor. Onun disinda sorun yok.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
M************* K******* - Hatay,5,"Ürünü 4 gün içinde teslim aldım, oyunlarda vs test etmedim fakat normal kullanımda da bir sıkıntı yaşamadım, sadece ilk geldiğinde windows 10 yükleme ekranında mouse imleci(ok) görünmüyordu ve touchpad aktif değildi, harici bir mouse takıp windowsu kurduktan sonra acerın sitesinden touchpad driverlarını yükledim sorun çöz0ldü, ben de acer teknik servisi arayıp yardım alarak yaptım,böyle birşeyle karşılaşanlar bu şekilde çözebilir, herkesin dediği gibi klavye pek kaliteli değil tuşlar cansız duruyor biraz sallanıyor, ekranın iyi olmadığı yorumları vardı ama ekran benim beklentimi karşıladı bir kusur göremedim, 7 yıllık bir laptobu bırakıp buna geçtiğimden yani daha iyi bir ekrana sahip bir laptop göremediğimden olabilir, beklentisi yüksek olmayanlar için ekran güzel, genel olarak bilgisayarı tavsiye ederim, kasası da bence güzel ince zarif, plastik bir kasaDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Mehmet T***** - Van,5,"Ürün 48 saat içinde ulaştı kargolmada bir sorun yaşamadım. Ürünü alalı 3 hafta oldu.Genel olarak ürün f/p ürünü alırken uzun ömürlü bir laptop almak isteyen arkadaşlar için kesinlikle tavsiye ederim üründe bilgi konusunda biraz zayıflık var. onları kabaca toparlayayim. Ürün tek slotta 8 GB ram ile geliyor 1 slot daha var ve sanıldığının aksine 16 GB a kadar destekliyor ileride dahili grafik birimi olduğundan ram arttırmak isteyenler için çok önemli. Bunun dışında aspire 3 serisinin harici ekran kartlı modelleri olduğu için harici ekran kartı için yer var anakartta. Yorumlardan duyduğum kötülemelerin hiçbiri yok klavye kalitesi ideal, ekran gayet iyi, hoparlör ses kalitesi çok iyi ama ses çok yüksek değil ki bence çok da gerekli değil yüksek ses. Şimdiye kadar genel kullanım yaptım sadece şarjda kullanırken ısınma oldu onun dışında 40-55 derece arası işlemci sıcaklığı. Gündelik kullanım için çok iyi hele aynı özellikteki en yakın rakibiyle bile %20 lık fiyat farkı göz önüne alınınca tadından yenmiyor. Hepsiburada ya teşekkürler.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
S********** D********* (23) - Samsun,4,"Leptop genel olarak güzel her hangi bir sorunla karşılaşmadın sadece satın aldığımda linux işletim sistemli olarak geleceğini düşünüyordum fakat freedos geldi ondan dolayı yıldız eksilttim. Lolde csgo da gayet yeterli şekilde oynatıyor 60 dan çok nadir düşüyor bunu şahsım adına doğal karşılıyorum çünkü oyun bilgisayarı değil. Burada belirtilememiş m2 ssd olarak geliyor bir ssd yuvası boşta olduğundan avantajlı. Birde F1-2-3-4 tuşlarını Fn tuşuna basarak kullanmak zorunda olmak beni yordu işim gereği sürekli olarak kullandığımdan dolayı sorunlar yaşadım alışma süreci zor oldu alan arkadaşlar ekstra klavye takmayacaksa bilerek satın alsın. Fiyat bazında beklentilerimi karşıladı 15-20 gündür kullanıyorum. Fan ve ısı konusuna gelince tabii oyunlarda ışınmalar oluyor fakat öyle aşırı rahatsız edecek şekilde değil ve fotoğraflarda acer yazısının yakını ısındığından sıcaklığı hissetmiyorsunuz. Yani klavye ve touch pad ışınmıyor fazla. Yetersiz kaldığı nokta bu bilgisayar genel olarak iş ve internet video film bazında kullanılabilecek bir bilgisayar olmasına rağmen hoparlör çok kötü olmuş fazla bir ses alamıyorsunuz, hee yeterli oluyor fakat gürültülü ortamlarda çok sorun oluyor. Ayrıca wifi çekim konusunda 802.11ac faster wireless yazsa da kasada çekim mesafesi çok düşük bu konuda sorun yaşayabilirsiniz. Ekran tabi ki Ips kadar kaliteli değil fakat TN panel olarak bence idare eder durumda birazcık aydınlatması zayıf kalmış. Şarj konusunda açıkcası ekran kartı olmasa da en fazla 3 saat yetiyor ortalama 2 saatlere düşebiliyor. Performansı kısarsanız bir film izletebilir fakat kıstığınızda internet hızı yavaşlıyor ve haliyle modeme yakın değilseniz donmalar yaşayabilirsiniz. Her ne kadar yerden yere vururcasına yorum yapsamda herkesin beklentisi tabii bambaşka benim beklentilerimin çoğunu karşıladığı için fiyat bazında aldığıma pişman olmadım. Diğer markalara ve intel ürünlerine paranızı saçmak istiyorsanız tercih sizin.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
B***** A****** (27) - Kırklareli,5,"Tam bir fiyat performans ürünü. Laptopta en önemli olan ekran kısmıdır bence. Full hd ekran olması, kullanırken göze çok hoş geliyor Tabi parlak canlı bir panel değil bu fiyat bandında bulunması güç. Keza bu fiyatta full hd olması bile sevindirici yoksa hd ekranlar gerçekten itici olabiliyor. Ryzen 5 3500u ve 256ssd uyumu cok stabil ve çok seri. Vega 8 kart bir çok harici ekran kartından daha performanslı. Gta 5i 720p akıcı güzel bir şekilde oynatıyor. Lol, csgo vs oyunlar full hd very high ayarda yüksek fps lerde oynamak mümkün. Kasası zarif güzel, pili güzel normal kullanımda min 3 4 saat. Beğenmediğim yönü hoperloru. Normal kullanımda idare eder ama film müzik oyun için muhakak harici bir ses gerekli. Usb hoperlor ile bu sorun aşılabiliyor zaten. Fiyatına göre gerçekten üst düzey bir kullanım sunuyor. Bu fiyata diğer markalar celeron işlemcili tuhaf cihazlar sunarken, acerın ryzen 5 3500u 8gb ram vega 8 full hd ekran ve ssd muazzam.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
F******** A*** (24) - Çorum,4,"Panel kalitesini bilgisayarın zarifliği ve özellikleri kapatıyor. Tam bir fiyat performans ürünü. Lolde deneme şansım oldu yüksek grafiklerde 60-70 FPS değeri var ne ısınma yaşamadım, fan sesi de duyulmuyor, uzun süreli oyun zamanlarında ne olur bilemiyorum fakat pişman edeceğini düşünmüyorum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Şinasi Y******* (38) - Aydın,4,"Ürün hakkında detaylı bilgi fotoğrafta. Bu arada fotoğraftakileri yazdım kabul etmedi sitenin histerik robotu...Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
