author,author_rating,body,real_rating
K**** D**** (47) - Çanakkale,5,"Fiyata göre yeterli bir ürün dolar yüksek olduğı için tüm ürünlerin yüksek fiyatı..Günlük işler için fazlasıyla yeterli.Ürünün dış kaplaması plastik, gri diye metal sanmayın.Anlık indirimi yakalayıp aldım. Yurtdışından gelen her şeyi 20 kat fazla fiyata alıyoruz yazık bu millete...Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Y**** A**** - İstanbul,5,"Sipariş ettim 1 gün sonra elime ulaştı kurulumsuz bir şekilde geliyor zaten özelliklerinde de belirtiyor. Okul için aldım gayet hızlı geldi bana indirim de yakalayım 3 gün önce 3500e aldım. Siz de takip ederseniz yakalarsınız sürekli bakın iyi günlerDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
m***** k***** (29) - Malatya,5,"Ürün hızlı bir şekilde kargolandı ve zamanında teslim edildi. Bu ürünü hepsiburada mağazasından satın aldık kampanya vardı ve çok uyguna geldi. Ürün özellik olarak fiyat performans ürünü win 10 kurulumunu yaptıktan sonra bazı denemeler yaptık hızı gayet çok çok iyi işlem kapasitesi yüksek iki adet fan bulunmakta Buda ısınma olayını ortadan kaldırıyor fan sesinide kulağınızı iyicene yaklaştırmassanız duyulmuyor oldukça sessiz şu anki fiyatı biraz pahalı kampanya tekrar olur mu bilinmez ama fiyat düşerse kaçırmayın derimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
e** t******* - İstanbul,5,"cihaz tasarım olarak çok şık şarjı uzun süre dayanıyor.Gundelik işler için gayet yeterli ve sessiz fakat oyun oynamayı düşünen almasın csgo düşük ayarlar 30 fps zor alıyor. 4gb ram cihaza yetmiyor kesinlikle fakat genel olarak f/p cihazı ve malzeme kalitesi güzelDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
y***** s**** - Aydın,5,"Çok beğendik 👏ayrıca çok kısa sürede ve çok özenli teslim edildi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
M********** T*** - İstanbul,5,"Üniversite öğrencisiyim ders çalışabilmek için aldım. Şarj konusunda biraz dengesiz. Bunu kötü anlamda söylemiyorum. Ağır iş yaparsanız 2.5 saatte biter, normal kullanımda 5 saate kadar gidiyor. Ekranı dizi, film izlemek için çok iyi, yansıma yapmıyor. Çok şık. Oyun için uygun değil ona rağmen çoğu oyunu düşük grafiklerde akıcı şekilde oynayabilirsiniz. Ama yine de oyun oynayacaksınız 8 GB ramli versiyonunu almanızda fayda var. Ofis, ders, sosyal medya gibi amaçlarla kullanacaksanız 4 GB ram yeterli.Değerlendirme sahibi bu ürünü gala iletişim satıcısından aldı.",5
abidin y**** (34) - Düzce,5,"Ryzen 3 beni şaşırttı. Beklediğimden çok daha iyi deneyim sunuyor. Yaptığım testlerde aldığım verilere göre SSD diski oldukça hızlı. Ram bellegi anakarta gömülü geliyor. 2 slot boş toplamda 4gbx3 yani 12 GB yapilabiliyor. Bu versiyonda parmakizi okuyucu var. SSD içinde driverlarin bulunduğu bir bölüm var. Çok begendim. Tavsiye ederimDeğerlendirme sahibi bu ürünü efsticaret satıcısından aldı.",5
M*** B****** (25) - İstanbul,3,"Ürünün performansı güzel ama beni delirten durum 2020 yılında böyle bir laptopa hesap makinesi gibi çeken bir kamera koyulması. Kamera VGA, görüntü rezalet öyle böyle değil. Aynı zamanda ekran da IPS panel değil. Ekranı düzgün görebilmek için tam karşısından bakmanız lazım. FullHD olsa bile ekran IPS olmadığı için çokta anlami kalmıyor. Birde malzemesi kalitesi hiç beklediğim gibi değil. Özellikle laptopun alt tarafı çok kalitesiz duruyor. Ama şuan ki durumda bundan ucuz laptopta olmadigindan alınabilir. RAM takviyesi şart bu arada.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
E*** Ç******** - Düzce,5,"hayatımda aldığım en hızlı kargoydu (senede iki üç alışveriş yaparım) sipariş verdikten 19 saat sonra kapımdaydı, bu yüzden çok sevindim. Laptop için ise zaten söyleyecek yok ASUS olsun taştan olsun.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
T**** C**** - Balıkesir,5,"bilgisayar çok hızlı teslim edildi öncelikle bunun için hepsiburadaya teşkkürler. Bilgisayarı ise çok beğendim bu fiyat aralığında gerçekten bulabildiklerimin en iyisiydi tavsiye ederim.Değerlendirme sahibi bu ürünü gala iletişim satıcısından aldı.",5
H**** D**** (38) - Kırklareli,5,"Özelliklerinde belirtilmesine karşın özellikle parmak izi okuyucu bulundurması çok hoşuma gitti. Hepsiburada satıcısı aldım ve 2 günde teslim edildi. Hız,kalite ve estetik bakımından tavsiye ederim. Fiyatı Hepsiburada satıcısında daha uygundu ve fiyatına göre vadedilenleri fazlasıyla veriyor.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A******* A******* (19) - Malatya,5,"İndirimdeyken almıştım o fiyata ve bu devire göre çok iyi bilgisayar. Ram yükseltmesi yapılırsa daha da iyi olacaktır. Cumartesi sipariş verdim pazartesi elimdeydi Malatya'ya gelmesine rağmen. Emeği geçenlere teşekkürlerDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
a*** y**** (42) - Yozgat,5,"M.2 NVMe™ PCIe® 3.0 SSD Olması çok büyük bir avantaj ölmedim ama 10 sn gibi bir zaman da açılması yazma ve okuma hızının yüksek olduğunun isbatıdır. tasarım olarak fena bir ürün değil kalite var. Tavsiye ederim.Değerlendirme sahibi bu ürünü 216Teknoloji satıcısından aldı.",5
B***** O**** (1) - Niğde,5,"Hızlı ve sapasağlam geldi fiyatta indirim zamanını iyi takip edin ben pahalı aldımDeğerlendirme sahibi bu ürünü gala iletişim satıcısından aldı.",5
Ramazan U***** - Ankara,5,"Bilgisayarın tasarımı, hızı Harika gündelik işler ve okul için kullanılacak ideal bilgisayar, almanızı öneririmDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
M************* S***** (52) - Ankara,5,"Fiyat, hız, performans karşılaştırmasına göre çok iyi ve yeterli, tavsiye ederimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
K**** Y***** - Uşak,4,"Tasarım şık. Ürün kaliteli ve zamanında geldi ancak pil biraz düşük. Ortalama 3 saat zor gidiyor yoğun kullanmadığım halde. Fiyat performans ürünü. Ders günlük için ideal. Kurulumu video izleyerek halledilir çok sıkıntı olmuyor.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
a***** y**** (34) - Düzce,4,"Tasarımını çok beğendim. Zarif görünmesine karşın çıt-kırıldım değil. 1 adet HDD yuvası ve 2 adet ram yuvası boş. İleride imkan ve ihtiyaç halinde geliştirme yapmak mümkün. Performansı öğrenci ve ofis çalışanı için ideal.Değerlendirme sahibi bu ürünü efsticaret satıcısından aldı.",5
K**** A****** - Bilecik,5,"Bir gün içinde elime ulaştı. Ürün gerçekten çok şık. Henüz kullanmadım umarım memnun kalırım.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A******** C***** - Batman,5,"Çok güzel ürün Ama aras kargodan memnun değilim rica etsem bir daha aras kargo ile gönderi yapmayınDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
Saffet Y***** (24) - Samsun,5,"Ürün standart bir kullanıcının ihtiyaçlarını fazlasıyla karşılayacaktır.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
e** k**** - Ankara,4,"Kalitesi güzel paketlemesi kargolama süresi vs her şey harikaydı yeni kullanmaya başladım hızlı bi laptop ama şarjı çok dayanmıyor alacak olan varsa ona göre alsınDeğerlendirme sahibi bu ürünü gala iletişim satıcısından aldı.",5
E**** K*** (46) - Samsun,5,"4.200 TL'ye a 6 Ekim'de alındı kargo süper ürün fiyat performans da number1 tek sorun sepetteki ürün düşmeden almakDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
A** C**** (39) - İstanbul,5,"Bilgisayar hızı, ekran genişliği, ses ve görüntü kalitesinden memnunum.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
F***** K********** - Bolu,5,"Cihazda herhangi bir problem yok kargo paketleme guzel hepsi buradaya tesekkurlerDeğerlendirme sahibi bu ürünü Gsmport satıcısından aldı.",5
f***** a**** - Ankara,5,"Ürün dün elime ulaştı . gayet şık ve güzel. Ben ders için aldım çok yeterli indirimde yakalarsanız güzel olur. Gerçekten tavsiye ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
süleyman k** (51) - Muğla,5,"Fiyat performans başarılı. 3500 bulabileceğiniz en iyi fiyat.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
v**** d*** - Bilecik,5,"Teşekkür ederim üründen memnunuzDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
