author,author_rating,body,real_rating
Mehmet Ç**** (48) - İstanbul,5,"sade, şık ve hızlı. 8 ram, 256 ssd ve 10. nesil i5 ile ideal özelliklerin en uygun fiyatlı hali.Değerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
M***** P***** (34) - İstanbul,5,"Siparişi verdikten 1 gün sonra sorunsuzca ulaştı. Bilgisayarı evde kullanmak için aldık. Genel olarak Microsoft Office programları kullanmak, internet araştırmaları, video ve film izlemek, online görüşmeler yapmak için kullanacaksanız gayet yeterli bir bilgisayar. Oyun oynayacaksanız veya çok yüksek performans gerektiren uygulamalar kullanacaksanız yeterli olmayabilir. Artıları: -Çok hızlı açılıp kapanıyor ve kullanım esnasında da gayet hızlı tepkiler veriyor. -İnce ve zarif bir tasarımı var. -USB 3.1 ve Type-c girişleri olması avantaj -Prize takılı olmadan kullanım süresi uzun -Ses sistemi bir dizüstü bilgisayara göre çok başarılı Eksileri: -Klavyesi aydınlatmalı değil, karanlıkta çalışacaklar için can sıkacaktır -Fanı biraz gürültülü çalışıyor ama beni çok rahatsız etmedi -Malzeme kalitesi bazı yorumlardaki gibi çok kötü değil ancak daha iyi olabildiDeğerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
F***** K****** - Kastamonu,5,"Ürün çok hızlı bir şekilde elime ulaştı paketlenmesi özenliydi. Laptop hakkını veriyor. Gayet stabil çalışmakta ve ısınma sorunu yaşamadım. Ekran benim için yeterli seviyede ama bir tık daha iyi olabilirmiş.Değerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
B***** G** - Muğla,5,"Aldığım üründen son derece memnununDeğerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
serdar ç**** - İzmir,5,"Çok güzel işimi göreceğim bir ürün, ofis ortamında kullanıyorum oyun vs deneyimim yok açıkcası. ama şarj süresi ve hızı hafifliği gerçekten çok iyiDeğerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
S******* Ö****** - Ordu,5,"İlk başta satıcıya bu günlerde bile bu kadar hızlı kargoya verip ulaştırdığı için teşekkür ederim.Bilgisayar çok hafif ve bu çok hoşuma gitti,kullanımı kolay ve genel olarak hızlı. Son öğrencilik yılımda ve ondan sonraki iş hayatımda kullanmak için aldım ve gayet memnun kaldımDeğerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
a********* y***** - İzmir,5,"Bu laptopu ocak ayının sonlarına doğru ilk çıktığında çok makul bir fiyata almıştım.Hatta fiyatına göre en iyi laptop buydu. Hızlı ve sağlam bir şekilde kargo elime ulaştı. bayadır kullanıyorum bir sıkıntım yok Laptop kalitesi çok iyi. dış yapısı biraz hassas dikkatli kullanılırsa hiçbir problem olmaz Şimdi bir Bakayim dedim fiyatına neredeyse iki katı olmuş.Fiyat konusunda yorum yapmam yanlış olur ama kalitesinden memnunum 7 aydır düzgün bir şekilde kullanıyorum.Değerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
Y********* B**** (41) - Bursa,4,"Fiyat performans iyi. Bilginiz olsun ethernet girişi yok. Modemi kablolu kullanmak için usb3.1 ethernet dönüştürücü almanız da gerekir. İşlemci hızı konusunda hatalı bilgi veriliyor. Bu konuda yorum yazan arkadaşlar haklı. Ofis ev kullanım amaçlı alıyorsanız sizi kasmaz ama yine de hoş bir durum değil. Ama genel anlamda mevcut özellikler baz alındığında bulabileceğiniz en uygun fiyat diyebilirim.. Bir de kendinize laptop taşıma çantası temin edin.Değerlendirme sahibi bu ürünü nidaelektronik satıcısından aldı.",5
N********** A**** - İstanbul,5,"Mart ayinda almistim, yorumu kasim itibariyle yapiyorum. fiyat iki katindan fazlasina cikmis su an. Gercekten cok aci. Gerci kura bakmiyoduk di mi biz? maaslari da dolarla mi aliyoruz ki hem di mi? Urune gelince, ince, şık tasarımli, teknik ozellikleri ozellikle pandemi doneminde evden çalışayım diyene cok yeterli. Ben o amacla almistim, Çalınana kadar gayet isimi goruyordu :) Oneririm.Değerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
D***** S**** - Ankara,5,"Ürünü office programları, dizi film ve internette gezinmek için aldım. Tam ihtiyacıma göre. Dış malzemesi biraz dandik görünüyor ürün fazla narin ve ince olduğundan dolayı fakat gayet sağlam. Çok beğendim. Kardeşim arada oyun da oynuyor. Çoğu oyunu kaldırıyor. Tavsiye ederim.Değerlendirme sahibi bu ürünü Aptek satıcısından aldı.",5
