author,author_rating,body,real_rating
cansın a* - Isparta,5,"performansından gayet memnunum.Oyun( call of duty, pubg, counter, bf1 ) oynarken çok zevk aldım bu laptopta. yüksek grafiklerde oynarkende çok akıcıydı oyunlar. Alırken tek soru işaretim amd işlemci olmasıydı.İşlemciden memnun kaldım ( ısınma, fps vb testleri yaptım ) fps oyundan oyuna değerleri değişti ama oynarken düşmeler yaşamadım genelde sabit kaldı bundan dolayıda çok memnun kaldım. amd işlemcisi serin çalışıyor. fan ses yapmıyor ve soğutması çok iyi. tek sıkıntısı amd işlemcisi 2.1 ramı yiyor size 5.9 ram kalıyor. Alırken görselde fan çıkışı arkada iki adet egsoz çıkışı gibi görünüyordu ve çok hoşuma gitmişti. ama gercekte menteşe bölümünden arkaya bakan yerde fan çıkışı ( fotografını atıyorum görebilirsiniz ) alacaklara tavsiye ederim fiyatına göre çok memnun kaldım. teknorya ailesine özenle paketlemelerinden ve kargoya ilk iş günü vermelerinden dolayı teşekkür ederim.Değerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
yiğit o*** - İstanbul,5,"Ürün sipariş verdiğim gün kargolandı araya haftasonu girdiği için 2 gün sonra geldi. internette yazan kötü yorumların hiç biriyle karşılaşmadım. Oyunları yüksek grafiklerde sıkıntısız oynuyorum. Isınma söylenildiği gibi fazla değil laptoplarda olan normal sıcaklık. Fan sesi biraz rahatsız edebilir. Oda sadece oyunlarda 2. fanı çalıştırdığında. oyunlarda zaten kulaklık takıldığı için sıkıntı olmuyorDeğerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
E*** S***** - İstanbul,5,"Ürünü Perşembe günü öğlen 12 de sipariş verdim Cuma günü saat sabah 10 da elime ulaştı. Freedos olduğu için bi Windows attım ve şu anda kullanıyorum. Her şeyi çok iyi isteyen RAM takviyesi yapsın rdr2 gibi oyun oynayanlar için. Valorant da lobide 350 civar fps alıyor oyun içinde 200. Lolde en yüksek ayarlarda 120 filan ve fortnite da ise çoğu şey destansı ayarda ve sabit 60 fps alıyor . Kasma donma fps drop gibi bir şey asla yok. Ekran 60hz olduğu için 60 fps sabitleyip çok rahat oynadım. Fiyat performans açısından çok iyi almayı düşünen varsa tavsiye ediyorumDeğerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
Hisso H******* - Karabük,5,"Ürün sadece bir gün geldi çok güzel fiyata göre ve gtx 1650 bütün oyunlar max oynayabilirsin csgo max 140- 150 fps fornite epic 56 - 65 fps .Fanlar güzel çok ses vermiyor . Amd işlem iyi yani intel de fark etmiyor performanse olarak hiç birşey değismiyor. ☺ tavsiye ediyorumDeğerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
ibrahim g***** - İzmir,5,"Ürünü sipariş ettikten sonra akşamına kargoya verildi ertesi gün elime ulaştı. Gayet başarılı yüksek performanslı bir ürün tabiki Gtx 1650 olması da üstünde ayrıca keyif verici. Kurulumlarını yaptıktan sonra Pubg olsun Lol olsun denedim gayet başarılı hiç bir sıkıntı çıkarmadı fanı da sessiz çalışıyor. Klavye ışıklarını açıp kısıp kapatabiliyorsunuz (FN+F5). Hiç bir sıkıntısını görmedim gayet başarılı bir makina çok şükür.Değerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
Mehmet Eren R*********** - Kahramanmaraş,4,"Bilgisayar dış tasarımı faln sade ve hoş klavye çift aydınlatmalı cihazda bi sıkıntı yok performans açısından bu fiyata alınacak en iyilerdinden oyunlarda fps değeri fena değil akıcıDeğerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
m******* p******* - Şanlıurfa,5,"HP ile zamanında tatsız günler yaşadığımdan tereddütle almıştım fakat ön yargılarım kesinlikle boşa çıktı, harika iş başarmışlar. Monster'dan buna geçince resmen seviye atlamış gibi hissettim. Ekranı Monster'dan çok daha kaliteli, daha keskin. Hoparlörüne söz yok, harici hoparlör kullanmak istemeyeceksiniz. HP'nin sitesindeki grafik kartları hariç driverlar güncel, en başta Windows kendisi driver kuruyor zaten. Birkaç dezavantajına gelecek olursak, enter tuşu çizgi şeklinde alışması zaman alacak, 2 usb girişi olması gerçekten zorluyor, klavyenin kendi rengi yeşil yanı klavye ışığı kapalıyken de klavye yeşil yeşil size bakıyor. Ve touchpad kapatmak için klavye üzerinde bir kısayol yok.Değerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
Mehmet Can B***** - Ankara,5,"muadilleri yaklaşık 500 TL daha pahalı hemde içlerinde HDD yok i5 9xx AMD işlemciye göre %10 daha performanslı olsada bunu hissettirmiyor ram konusunda onboard AMD ekran kartı yaklaşık 1.7 GB kesiyor ram takviyesi gerekebilir ilerde sıkıntı olabilir ama şimdilik gayet güzel CS go high da 110 FPS low da 190 FPS değerlerinde ayrıca ısınma problemi de bende çoğu leptopdakiyle aynı aşırı bı ısınma problemi yokDeğerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
Alperen Y**** - Denizli,5,"Ürün Güzel hiçbir sorun olmadan erkenden geldi, ilk kurulumu yaparken bios ayarlarından usb boot seçeneğini açmanız gerekmekte yoksa boot menüsünde usb belleğinizi görmezsiniz (bios’a f10 ile giriliyor) onun dışında bangır bangır ses performansı bekleyenler için sesi biraz kısık büyük bir ses performansı beklemeyin, ekran biraz mat ama alışınca sorun olmuyor + olarak güneşe karşı bilgisayarı kullanabiliyorsunuz ekran parlamıyor açma kapama tuşunun ışığı karanlıkta biraz göze çarpıyor ama çok fazla bir sorun yaratmıyor onun dışında mükemmel fanlar hiç ses yapmıyor şarj olma süresi kısa ve şarj oyun oynarken 4 buçuk 5 saat falan gidiyor.Değerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
Emine seza U**** (19) - Mersin,5,"Merhabalar Ben bu ürünü 1 hafta önce sipariş ettim fakat sokağa çıkma yasağı olduğu için geç geldi yine de kargo yavaştı diyemem güzelce getirmişler ve paket çok sağlamdı açmak için bayağı uğraştım,bilgisayara geçelim`,freedos olduğu için kendim windos yüklememi yaptım inanın hiç zor değil youtubeye yazınca çıkıyor zaten bu yüzden freedos almaktan korkmayın hemde 300 400 tl kar edersiniz ,bilgisayarı aldığımda tek sorun wifinin bulunmamasıydı driverı eksik yüklemişim ama hemen halloldu ethernet kablosu bağlayınca wifi tanıdı ve etherneti çıkarınca da wifi kaldı o yüzden bi sıkıntı olmadı ardından eksik driverları da güncelledim ve düzeldi. oyun açısından şuanlık bikaç silah oyunu ve lol yükledim silah oyunlarında uçuruyor lolde de en yüksek ayarlarda100 120 fps arası alıyorum apex legends indirioyrum ama bi sıkıntı çıkacağını sanmıyorum,görünüş açısından da çok hoş bir bilgisayar hoparlör kısmının dokusu ve hoparlörü efsane güzel bence bilgisayarda tek eksik olan şey ram yetersizliği kullanılabilir ram 5.9 ilerde ekleme yapacğaım ben yani uzun lafın kısası ekran kartı olsun hoparlör olsun depolama alanı olsun görünüş olsun benden tam not aldılar size de tavsiye ediyorum dediğim gibi sadece ram eklerseniz canavar gibi bir bilgisayarınız olur net.Değerlendirme sahibi bu ürünü Teknorya satıcısından aldı.",5
