author,author_rating,body,real_rating
Batuhan D******,4,"Bilgisayarı buradan almadım ama alacak arkadaşlara yol göstermesi açısından yazıyorum. Öncelikle d15 ve d14 arasında gidip geliyordum amacım üniversite ve mezuniyet sonrası kullanmak içindi bu segmentte çok araştırma yaptım kulaklık hediyesiyle beraber almaya karar verdim. Ürünün tasarımı gerçekten çok şık ince ve hafif ayrıca diğer bu tip bilgisayarlar gibi macbook çakması durmuyor.sadece alt ekran çerçevesinin biraz ince olmasını isterdim. Klavyesi çok kullanışlı ve belkide bu modeli seçmemde etkisi olan klavye aydınlatması mevcut d15 modelinde bu yok. Üründe oyun oynarsanız ısınma problemi oluyor asphalt 9 indirip oynadığımda 30 dakika sonra cpu değeri 48 50 lerdeydi. Fan sesi çok az odaklanmazsanız duymazsınız. Şarjı sadece internette takılma office programları film izleme için neredeyse 7 saati buluyor. 1 saatte %100 şarj oluyor. Sdd kapasitesi d15 modelinin iki katı ayrıca şarj konusunda d15 modelinden daha iyi. D15 modelini gördüm eğer iş için alacaksanız kesinlikle bu modeli almalısınız. Kasma şuana kadar hiç olmadı yeterince hızlı, parmak hızı ile açılma çalışıyor sorun yaşamadım bazen ikinci de tanıyor :) Bence bilgisayarın en kötü özelliği kamerası gizli kamera diye çok övdğler ama aşırı derecde işlevsiz sizi çenenizin altından çekiyor bğyğk bir hayal kırıklığı ama bu segmentte iş için hafif bilgisayarlarda macbook için yüksek bütçeniz yoksa bence kesinlikle alınabilir. Son olarak bilgisayarda ufak bir çizk vardı aldığımda huawei ile iletişeme geçtiğimde iade harici bir seçenekl kurmuyorlr bilgisayarlar konusunda biraz tecrübesizler. Tek istediğim ayıp oranında indirimdi. Sarj aleti ufak ve taşınabilir. Kamerası ve çiziği olmasaydı benden 5 alırdı.",5
E**** K******* (22) - Düzce,5,"Öncelikle bu dizüstü bilgisayarı neden istediğinizi sormalısınız kendinize. Düzenli (ve çeşitli) oyun oynayan biriyseniz Vega 8 grafik kartı sizi memnun etmeyecektir. Vega 8'den bahsetmişken 8 GB RAM'in 1 GB'nın grafik birimine ayrıldığını yani bilgisayarda 7 GB RAM kullanılabilr olduğunu söylemekte fayda var. Mevcut RAM gömülü, çıkarılmıyor ve ek bir slot bulunmuyor. Yine de yoğun grafik gücü gerektirmeyen oyunları bu cihazla oynayabilirsiniz. 15.6 inç kullanıp 14 inçe geçmekte tereddüt edenler etmesinler. Alışma sürecinin en fazla 1 saat sürdüğünü söyleyebilirim. Zaten ince çerçeveler ekranı olduğundan daha büyük gösteriyor. Bilgisayarın malzemesi kaliteli, premium hissini alıyorsunuz. Klavyeyi de oldukça beğendim. Yazması keyifli ve alışması çok kolay. Klavye ışıklandırması mevcut ama F tuşlarının altından sızan ışık sizi rahatsız edebilir. Kamera açısı kötü ama çok da mühim değil. Sık görüşme yapıyorsanız kimsenin yadırgayacağını sanmıyorum, yapmıyorsanız zaten böylesi daha iyi. Touchpad çok geniş ve kullanışlı. Yorumlarda fan sesi rahatsız edici demişler. Ben rahatsız olmadım, normal bir fan sesi var, işinize odaklanınca duymuyorsunuz bile. SSD'si bu fiyat segmentindeki en hızlı SSD sanırım. Ses kalitesi hakkında yorum yapamayacağım ama hoparlörler bilgisayarın altında olduğundan sanki daha kaliteli geliyor gibi. (Hiç anlamam sesten, beni baz almayın yine de.) Monitör çok yamulmuyor. Bu inceliğe göre bence sağlam bile denebilir. Bazı markaların monitörleri kağıt gibi katlanıyor. Pil süresi hakkında yorum yapamayacağım çünkü yıllardır pilsiz bir disüstü(!) kullanan bana göre mucize. Olumsuz yanı ise fiyatı. Özelliklerine göre normalde bu kadar etmemesi gerekiyor ama ince ve minimalist bilgisayarlar hep daha pahalı oluyor nedense. Tasarım sizin için önemliyse bu tercihiniz sizi pişman etmeyecektir. Programcı mısınız? Alın. Yazı işleriyle (blog yazma, çeviri vs.) mi ilgileniyorsunuz? Alın. Video düzenleme mi yapacaksınız? Alın. Oyun mu oynayacaksınız? Almayın. Yüksek kaliteli renderlar mı alacaksınız? Almayın. Bu bilgisayarın kalitesi sizin ondan ne beklediğinizle orantılı. Bunu dikkate alarak satın alın. Az para değil sonuçta. Alacaklara şimdiden hayırlı olsun.Değerlendirme sahibi bu ürünü Techburada satıcısından aldı.",5
Enes Y****** - Samsun,5,"Satın alım, gönderim kısmı; Satın alım ve kargolama süreci gayet iyiydi. Ürün orijinal kutusunda tüm kutu içeriği ile geliyor. Küçük hediye için de teşekkürler :) Laptop genel olarak diğer yorumlarda söylenenleri karşılıyor. Benim tek sorunum hiçbir yük altında değilken fanlar çalışıyor. İnternetten araştırınca bu modelde bu sorunu yaşayanların çok olduğunu öğrendim. Kamerasına tahammül edebilirim de bu fan sesine çözüm bulamazsam iade edeceğim gibi duruyor. Ama genel kalite vesaire vaat edildiği gibi olduğundan 5 yıldız veriyorum.Değerlendirme sahibi bu ürünü Techburada satıcısından aldı.",5
E**** H******* (45) - İstanbul,5,"Ürünü yaklaşık 1 aydır her gün kullanıyorum. Her şeyiyle harika bir ürün. Hızlı açılıyor, parmak izi sensörü oldukça iyi, tuş basımı, ekran kalitesi yani anlayacağınız iş görür bir laptop. Ürünün bir kaç eksisi var, ilki kamera. Masa üstünde dahi kullansanız burnunuzdan yukarısı çok görünmüyor ancak altına destek ile laptopu kaldırmak lazım. Ama görüntü kalitesi bir çok laptop kamerasına göre çok kaliteli. İkinci eksisi ise hoparlörler. Çok kaliteli ve temiz bir ses çıkışı sağlıyor fakat yatak gibi yumuşak yüzeylere koyduğunuz zaman hoparlör altta olduğu zaman ses az çıkıyor doğal olarak. Bazı kişiler fan sesinden bahsetmiş. Fan sesi bilgisayarı çok zorlarsanız oluyor. Şu bir ayda 2 kez fan sesi yüksek geldi ikisi de oyun oynarkendi. Zaten oyun laptobu olmadığı için bu çok doğal. Yaklaşık 1 saatte şarjı doluyor ve 9 saat kadar gidiyor. Verdiğiniz parayı son kuruşuna kadar hak eden bir ürünDeğerlendirme sahibi bu ürünü Techburada satıcısından aldı.",5
d*** a**** - İzmir,5,"Ürün bir çok açıdan Apple ailesinin laptoplarını andırıyor. Bu sadece görüntüde kalmamış , touchpad in kullanımına alıştığınızda bir mouse ile yapabileceklerinizden çok daha fazlasını daha hızlı bir şekilde yapabiliyorsunuz günlük işlerde. Ryzen 4. Nesili bekleyebilmeyi çok isterdim ancak ryzen 5 3500 de gayet yeterli ve güzel bir işlemci. Oyun oynayacaksanız bence kesinlikle başka laptoplara yönelin. Fan sesi vs konusunda kötü yorum yapanlar olmuş sanırım, kesinlikle abartı bir sesi yok hatta sesi direk yok çok nadiren bazı yüklü işlemler yaptığınız zamanlarda fanın hızlanıp ses yapması çok normal. Ancak stabil ve sessiz çalışıyor. Pil olarak da D15 ve 13 modellerinden daha büyük kapasiteye sahib almamdaki 1. Etken bu oldu...Değerlendirme sahibi bu ürünü Huawei Türkiye satıcısından aldı.",5
i***** k***** (22) - Balıkesir,5,"Bilgisayarı gala iletişim adlı satıcıdan aldım ve sorunsuz bir şekilde çok kısa bir sürede kargoladılar paketleme de gayet güzeldi sorunsuzca teslim aldım.Cihaza gelirsek son derece ufak,hafif bunun yanında çok seri çalışıyor 2 3 saniye de açılıyor.Parmak izi okuyucusu zaten dokunur dokunmaz algılıyor çok başarılı.Ama ekran boyut olarak biraz ufak geniş ekran sevenler D15 modeline bakmalılar D14 biraz küçük bir bilgisayar.Ben çok memnun kaldım diyebilrim.Tek olumsuz yanı usb girişi sayısı çok az sadece 2 adet usb girişi var ve sd kaet okuyucu girişi de yok.Onun harici son derece güzel bir pc.Değerlendirme sahibi bu ürünü gala iletişim satıcısından aldı.",5
M********* Y***** - İstanbul,5,"Arkadaşlar alacak arkadaşlar için söylüyüm öncelike ürün çok şık kafanızda huawei laptopu iyi mdiir diye bir şüphe kalmasın işlemci ve ekran kartı bakımında bir hiç eksik yok. ssd'si inanlızmaz derecede hızlı ve bilgisayar ince bir o kadar da sağlam yapılmıştır. sarj adaptörü telefon adaptörleri gibi küçücük farklı yerlerde kullanmak isterseniz çok rahat. bataryası baya uzun gidiyor. ekran ips ekran ve görüntüsü süper. fan soruna dair yazılar okumuştum bende almadan önce fakat şunu söylemeliyim kesinlikle fan sorunu yok laptopda oyun çalıştırdım ettim hiçbir abartı fan sessine rastlamadım. laptop ısınıyor diyenler olmuş galiba hiç laptop kullanmamışlar laptoplar aşırı zorladığımız zaman ısınır doğrudur fakat onun dışında ısıyı fazla hissetmemiz işlemcinin bizi yakın olmasındandır. ayrıca laptopun altında ki fanı hava almayacak şekilde kesemeniz gerekir ayaklıkla kullanmak nazicane tavsiyemdir. sonuç olarak aklınızda ince, hafif, uzun ömürlü ve orta seviye güçlü bir laptop almak isterseniz hiç düşünmeden alın derim. teşekkürler.Değerlendirme sahibi bu ürünü Techburada satıcısından aldı.",5
İ********** S*** (22) - Bursa,5,"Mükemmel bir pc.Bu fiyata bu pc ne diyim mükemmel cidden.Çok kompakt bir bilgisayar.Bugün elime ulaştı.Autocad ile zorlamaya çalıştım.Zorlanma olmadı.Gayet seri bir pc.Fan ses yok.Neden şikayet edilmiş onu da anlamadım.Herkese tavsiye ederimDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
F**** T**** - İstanbul,5,"Huawei laptopları uzun bir süre bekledim ülkeye gelmesi için sonunda kavuştum. Beklentimin üzerinde çıktığını söyleyebilirim. İnternette hakkında videolar izlemiştim biraz beklentimi düşürmüştüm bunlar üzerine. Photoshop'u şu anlık sıkıntısız çalıştırıyor. Küçük olduğu için endişelerim vardı ama daha önce kullanmış olduğum 15 inchlik bilgisayarımdan çok daha iyi bir görüntü ile karşı karşıyayım. Paladins oynadım yüksek ayarda ve kasmadan çalıştırdı ama bu esnada fan sesini bi hayli duyuyorsunuz. Ufaktan ısınıyor bunları yaparken. Dizi izlerken ya da normal kullanımda ısınmıyor. Umarım çalışma performansı böyle devam eder. Ek olarak parmak izi okuyucusu ile aşırı hızlı açılıyor bilgisayar. Gayet şık olduğunu da eklemeliyim :)Değerlendirme sahibi bu ürünü Techburada satıcısından aldı.",5
elif d**** - Tekirdağ,4,"Yaklaşık 3 hafta önce hepsiburada’dan bilgisayarı satın aldım. Ürün elime hızlı ulaştı. Paketlemesinde herhangi bir sıkıntı yoktu. Uzun zamandır bilgisayar almak istiyordum. Üründe aradığım en önemli özellik ürünün şık, hafif ve hızlı olmasıydı. Ürün görsel olarak apple macbook’a benziyor. Tasarımı gayet güzel ve estetik. Klavyesi rahat. Bilgisayarı kullanırken herhangi bir kasılma yaşamadım. Genel anlamda ofis işlerini yapmak için almıştım bilgisayarı. Oyun yüklemediğim için bilgisayarda kasma olacağını düşünmüyorum. Ürün genel anlamda iyi ancak diğer yorum yapan arkadaşların da değindiği gibi bilgisayarda çok fazla işlem yapılmasa da fan kısmından çok ses geliyor ve çabuk ısınıyor. Ayrıca da normal ses sistemi çok kötü. Kulaklıkla müzik dinlemekte fayda var. Ekran görüntüsü de parlak değil mat. Yani öyle çok abartılacak şekilde iyi bir bilgisayar değil ama parasına göre yine de idare eder. Apple macbook almaya gücü yetmeyen ve tasarıma önem verenler bu bilgisayarı tercih edebilir.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5
