author,author_rating,body,real_rating
M******* Ö***** - Ankara,5,"Arkadaşlar saçma saçma kargoyu siparişin hızını değerlendirmiş oysa önemli olan telefon bunun için ayrıntılı bilgi vermek istiyorum öncelikle ben 5.5 inç Huawei g7 kullanıyordum bu telefon 6.5 inç ama nerdeyse ikisinin boyutu aynı yani telefon çok büyük değil ele oturuyor.3 gün sonra kargo teslim etti şarjı günlük kullanımda yeterli olur ama oyle 2 gün 3 gün gider diye beklemeyin sadece arama yapıyorsanız o başka ama günlük kullanimda kesin 1 gün gider. Telefon gayet kolay bir şekilde ısınıyor havalar sıcak bunun da etkisi var arkadaşlarıma test ettirdim bu sıcaklik normal dediler. Şarj aleti hafif ısınıyor. Gece modu iyi çekiyor normal yani ben pastel boya gibi çeker zannediyodum ama kamerası beni çok üzmedi ideal diyebilirim. E devletten ve Xiaominin sitesinden IMEI sorgulayın ben sorgulattim kayıtlı çıktı ama gelelim en önemli soruna sitede Türkiye garantili yazıyor gelen faturada ithalat garantili yazıyor ben para iadesinin çok sıkıntı olduğunu bir çok musteride gördüğüm için iade yapmadım kullanıyorum dikkat edin. Normalde bana sorsanız bu satıcı 1 yıldız bile hak etmiyor Türkiye garantili göndermediği için ama sağlam geldiği ve Türkiye kayıtlı olduğu için bir yıldız verirdim. Yorum üstte çıksın diye 5 yıldız verdim. Bu arada gece mavisi rengi çok güzel. Telefon tam bir standart kullanıcı telefonu bu yüzden ben sevdim.Değerlendirme sahibi bu ürünü CEPSTAR satıcısından aldı.",5.0
A******** S******** (29) - Ankara,4,"Genel olarak güzel fakat gelen modelde NFC desteği yok. Ürün aciklamalarinda ise var görünüyordu.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Berkay A**** (28) - Kocaeli,5,"Görüntü kalitesi ve kamerası muazzam. Bu fiyata alınabilecek en iyi cihaz denebilir. Cumartesi sipariş verdim pazartesi elimdeydi. Hediye paketi ve not istemiştim ama direk kutuda geldi. Unutulmuş olabilir. Bu zor günlerde emekçilerin emeğine sağlıkDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Uğur B****** (28) - İstanbul,5,"Kesinlikle mükemmel bir telefon. 2 gündür kullanıyorum ve son derece memnunum. Tüm arkadaşlarım telefonun çok şık göründüğünü söyledi. Her yerde yazan özellikleri belirtmicem burda. Mesela gri rengine kılıf takınca siyah gibi görünüyor. Xiaomi Müzik uygulaması içinde youtube var ve arka planda youtube videosu oynatabiliyorsunuz. Arka kamera kılıfa sıfır gibi duruyor ve masaya koymaya çekiniyorum kamera ekranı çizilecek diye. Telefonu indirimle aldım ve bu fiyat bandında alınabilecek en iyi model olduğunu düşünüyorum. Herkese tavsiye ederim.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Barış E**** (19) - Ankara,5,"+Şarjı çok uzun dayanıyor 5020 mah ve optimize +Ekranı gayet büyük ve delik kameranın solda olması nerdeyse ön yüzü full ekranmış gibi gösteriyor. +Bu fiyata ve özelliklere bu kadar yeni telefon yok, Android 11 ve MIUI 12 gelmesi kesin gibi. +Kutu içeriği güzel dandik bir kulaklık yerine iş gören kılıf ve ekran koruyucu var bence daha iyi. -Kamera maalesef hayal kırıklığı, 48MP olunca bir de iyi olmasa da çok yer kaplıyor fotoğraflar. öneri:Kamera ayarlarından elle odaklayıp aynı noktaya basarak çekme ayarını açın focusu hızlı bozuyor çünkü elle odaklayıp butona giderseniz yetmeyebilir süre. Bunu yaparsanız fena sayılmaz ama kamerası. Hala pek çok yazılım güncellemesi alması beklenen bir telefon bu, işletim sistemi zaten kesin güncellenecek süresi belli değil ama onun dışında optimizasyon ve kamera iyileştirmeleri gelebilir. Pubg gibi büyük oyunlar oynamam diyorsanız kesin alın bence bu fiyata daha iyi android yok çok güzel f/p ürünü.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
Y********** K******* (34) - Adana,5,"Ürünü arkadaşımın annesi İçin sipariş verdim ürün ile ilgili bir sıkıntı yok sapasağlam şekilde elime ulaştı teşekkürler Hepsiburada ancak ürünü alırken indirimli fiyatı ile alayım dedim yani fiyatı 2.499,90 TL iken sepete ekledim bir baktım sepette bir indirimle daha karşılaştım fiyat 2479,90tl olarak göründü. Sonra arkadaşıma Bilgi vereyim dediğim sırada sepetteki ürünün fiyatının arttığını ancak sitedeki ürünün fiyatının aramadığını yani bir güncelleme olmadığını gördüm. Ekran resimlerinde göründüğü gibi ürün fiyatı satın alma ekranında normal fiyat sepetindeki fiyat zamlı fiyat. Bu durumu Bildirmek için müşteri hizmetlerini aradığımda ürün fiyatının Sepetinizdeki fiyat olduğunu söylediler Ve akabinde sitedeki HEPSİBURADA satıcısının fiyatı da güncellendi bana bu olay çok garip geldi.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
A******* A**** - Bursa,4,"Hızlı kargo için teşekkürler. Rengi maviye yakın çok güzel.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
G***** R********** - Ankara,5,"Ürünü alalı 1 aydan fazla oluyor gayet iyi memnunum şarji oynadığim halde 2 gün gidiyor hızlı şarj özelliği de cezbedici kamera olarak orta derecede ekledigim fotoğraflardan bakabilirsiniz makro kamerası başarılı ses desen mükemmel zaten cam koruma direk üstünde geldi fabrika yapıştırmış beğendim genel itibarıylaDeğerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
AYHAN K****** (37) - Düzce,5,"Bu fiyata alınabilecek en iyi telefon sanırım bu. Hızlı ve güvenli kargo. Şeffaf kılıf var, ekrana kırılmaz takılı. Çevremdeki yorumlar hep olumluydu, önyargılı olmama rağmen bunu tercih ettim. Kurulumu basit, 2 gündür kullanıyorum şu ana kadar çok memnunum. Kamera,pil süresi,hafızası,kullanım, görüntü, şıklık, tüm özellikleri gayet iyi. Telefona çok büyük paralar vermek akıl kârı değil, umarım uzun yıllar kullanabilirim. Bu telefonu tavsiye ediyorum. Bu arada Hepsiburada ya teşekkürler, her zaman 1 numara.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
m******* k****** (42) - Zonguldak,5,"Çok beğendik ,indirimde aldık piyasadaki alınabilecek en iyi performansta ki bu fiyatta en iyi telefon kızım çok beğendi. Rengi parlak yeşil aldik. kutu içinden şeffaf kılıfı var ve kılıf şarj yerinde koruyucu kapak koymuslar harika. ekran koruyucusu telefonun üstünde geliyor. Şarj cihazı type-c çıkışlı. Kartı tak kullan hazır telefon. Tavsiye edilir. Hızlıca ve güvenli bir şekilde kargo geldi. Teşekkürler Hepsiburada.Değerlendirme sahibi bu ürünü Hepsiburada satıcısından aldı.",5.0
